,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,JM How,SCJ Broad,BB McCullum,0,0,0,0,74,0,1,0,1,1,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
1,JM How,SCJ Broad,BB McCullum,0,0,0,0,74,0,2,0,2,1,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
2,JM How,SCJ Broad,BB McCullum,0,0,0,0,74,0,3,0,3,1,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
3,JM How,SCJ Broad,BB McCullum,1,0,1,1,73,1,4,0,4,1,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
4,BB McCullum,SCJ Broad,JM How,0,0,0,1,73,0,1,0,5,1,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
5,BB McCullum,SCJ Broad,JM How,0,0,0,1,73,0,2,0,6,1,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
6,JM How,JM Anderson,BB McCullum,0,0,0,1,73,1,5,1,1,2,caught,JM How,OA Shah,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
7,JAH Marshall,JM Anderson,BB McCullum,0,0,0,1,73,0,1,1,2,2,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
8,JAH Marshall,JM Anderson,BB McCullum,0,0,0,1,73,0,2,1,3,2,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
9,JAH Marshall,JM Anderson,BB McCullum,4,0,4,5,69,4,3,1,4,2,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
10,JAH Marshall,JM Anderson,BB McCullum,0,0,0,5,69,4,4,1,5,2,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
11,JAH Marshall,JM Anderson,BB McCullum,1,0,1,6,68,5,5,1,6,2,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
12,JAH Marshall,SCJ Broad,BB McCullum,2,0,2,8,66,7,6,1,1,3,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
13,JAH Marshall,SCJ Broad,BB McCullum,0,0,0,8,66,7,7,1,2,3,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
14,JAH Marshall,SCJ Broad,BB McCullum,2,0,2,10,64,9,8,1,3,3,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
15,JAH Marshall,SCJ Broad,BB McCullum,4,0,4,14,60,13,9,1,4,3,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
16,JAH Marshall,SCJ Broad,BB McCullum,0,0,0,14,60,13,10,1,5,3,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
17,JAH Marshall,SCJ Broad,BB McCullum,0,0,0,14,60,13,11,2,6,3,caught,JAH Marshall,TR Ambrose,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
18,BB McCullum,JM Anderson,LRPL Taylor,0,0,0,14,60,0,3,2,1,4,0,,,-,field,England,1,Old Trafford,2008,06,England_New Zealand_2008-06-13,England,New Zealand,England
