,batter,bowler,non_striker,review,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
28,DJ Malan,MA Starc,JC Buttler,,,4,0,4,32,6,7,5,-,5,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
29,DJ Malan,MA Starc,JC Buttler,,,1,0,1,33,7,8,6,-,5,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
30,JC Buttler,MA Starc,DJ Malan,,,4,0,4,37,16,12,7,-,5,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
31,DJ Malan,PJ Cummins,JC Buttler,,,1,0,1,38,8,9,1,-,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
32,JC Buttler,PJ Cummins,DJ Malan,,,0,0,0,38,16,13,2,-,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
33,JC Buttler,PJ Cummins,DJ Malan,,,1,0,1,39,17,14,3,-,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
34,DJ Malan,PJ Cummins,JC Buttler,,,0,0,0,39,8,10,4,-,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
35,DJ Malan,PJ Cummins,JC Buttler,,{'wides': 1},0,1,1,40,8,11,5,wides,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
36,DJ Malan,PJ Cummins,JC Buttler,,,0,0,0,40,8,12,6,-,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
37,DJ Malan,PJ Cummins,JC Buttler,,,4,0,4,44,12,13,7,-,6,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
38,JC Buttler,GJ Maxwell,DJ Malan,,,0,0,0,44,17,15,1,-,7,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
39,JC Buttler,GJ Maxwell,DJ Malan,,,1,0,1,45,18,16,2,-,7,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
