,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,JJ Roy,K Rabada,AD Hales,4,0,4,4,225,4,1,0,1,-,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
1,JJ Roy,K Rabada,AD Hales,4,0,4,8,221,8,2,0,2,-,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
2,JJ Roy,K Rabada,AD Hales,0,0,0,8,221,8,3,0,3,-,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
3,JJ Roy,K Rabada,AD Hales,0,5,5,13,216,8,4,0,4,wides,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
4,JJ Roy,K Rabada,AD Hales,4,0,4,17,212,12,5,0,5,-,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
5,JJ Roy,K Rabada,AD Hales,0,0,0,17,212,12,6,0,6,-,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
6,JJ Roy,K Rabada,AD Hales,4,0,4,21,208,16,7,0,7,-,1,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
7,AD Hales,DW Steyn,JJ Roy,4,0,4,25,204,4,1,0,1,-,2,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
8,AD Hales,DW Steyn,JJ Roy,4,0,4,29,200,8,2,0,2,-,2,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
9,AD Hales,DW Steyn,JJ Roy,4,0,4,33,196,12,3,0,3,-,2,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
10,AD Hales,DW Steyn,JJ Roy,1,0,1,34,195,13,4,0,4,-,2,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
11,JJ Roy,DW Steyn,AD Hales,4,0,4,38,191,20,8,0,5,-,2,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
12,JJ Roy,DW Steyn,AD Hales,6,0,6,44,185,26,9,0,6,-,2,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
13,AD Hales,KJ Abbott,JJ Roy,4,0,4,48,181,17,5,0,1,-,3,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
14,AD Hales,KJ Abbott,JJ Roy,0,0,0,48,181,17,6,0,2,-,3,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
15,AD Hales,KJ Abbott,JJ Roy,0,0,0,48,181,17,7,1,3,-,3,lbw,AD Hales,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
16,BA Stokes,KJ Abbott,JJ Roy,1,0,1,49,180,1,1,1,4,-,3,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
17,JJ Roy,KJ Abbott,BA Stokes,6,0,6,55,174,32,10,1,5,-,3,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
18,JJ Roy,KJ Abbott,BA Stokes,1,0,1,56,173,33,11,1,6,-,3,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
19,JJ Roy,K Rabada,BA Stokes,2,0,2,58,171,35,12,1,1,-,4,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
20,JJ Roy,K Rabada,BA Stokes,1,0,1,59,170,36,13,1,2,-,4,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
21,BA Stokes,K Rabada,JJ Roy,4,0,4,63,166,5,2,1,3,-,4,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
22,BA Stokes,K Rabada,JJ Roy,0,0,0,63,166,5,3,1,4,-,4,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
23,BA Stokes,K Rabada,JJ Roy,1,0,1,64,165,6,4,1,5,-,4,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
24,JJ Roy,K Rabada,BA Stokes,1,0,1,65,164,37,14,1,6,-,4,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
25,JJ Roy,KJ Abbott,BA Stokes,0,0,0,65,164,37,15,1,1,-,5,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
26,JJ Roy,KJ Abbott,BA Stokes,6,0,6,71,158,43,16,1,2,-,5,0,,,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
27,JJ Roy,KJ Abbott,BA Stokes,0,0,0,71,158,43,17,2,3,-,5,caught,JJ Roy,Q de Kock,field,England,2,Wankhede Stadium,2016,03,England_South Africa_2016-03-18,England,England,South Africa,230
