,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,J Charles,K Rabada,CH Gayle,0,0,0,0,122,0,1,0,1,-,0,,,1,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
1,J Charles,K Rabada,CH Gayle,0,0,0,0,122,0,2,0,2,-,0,,,1,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
2,J Charles,K Rabada,CH Gayle,0,1,1,1,121,0,3,0,3,legbyes,0,,,1,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
3,CH Gayle,K Rabada,J Charles,4,0,4,5,117,4,1,0,4,-,0,,,1,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
4,CH Gayle,K Rabada,J Charles,0,0,0,5,117,4,2,1,5,-,bowled,CH Gayle,,1,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
5,ADS Fletcher,K Rabada,J Charles,0,0,0,5,117,0,1,1,6,-,0,,,1,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
6,J Charles,CH Morris,ADS Fletcher,0,0,0,5,117,0,4,1,1,-,0,,,2,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
7,J Charles,CH Morris,ADS Fletcher,1,0,1,6,116,1,5,1,2,-,0,,,2,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
8,ADS Fletcher,CH Morris,J Charles,0,0,0,6,116,0,2,1,3,-,0,,,2,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
9,ADS Fletcher,CH Morris,J Charles,0,0,0,6,116,0,3,1,4,-,0,,,2,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
10,ADS Fletcher,CH Morris,J Charles,0,1,1,7,115,0,4,1,5,wides,0,,,2,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
11,ADS Fletcher,CH Morris,J Charles,1,0,1,8,114,1,5,1,6,-,0,,,2,field,West Indies,2,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,South Africa_West Indies_2016-03-25,West Indies,West Indies,South Africa,123
