,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,BB McCullum,Mohammad Amir,JD Ryder,0,1,1,1,194,0,1,0,1,wides,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
1,BB McCullum,Mohammad Amir,JD Ryder,0,0,0,1,194,0,2,0,2,-,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
2,BB McCullum,Mohammad Amir,JD Ryder,0,0,0,1,194,0,3,0,3,-,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
3,BB McCullum,Mohammad Amir,JD Ryder,0,0,0,1,194,0,4,0,4,-,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
4,BB McCullum,Mohammad Amir,JD Ryder,1,0,1,2,193,1,5,0,5,-,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
5,JD Ryder,Mohammad Amir,BB McCullum,0,0,0,2,193,0,1,0,6,-,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
6,JD Ryder,Mohammad Amir,BB McCullum,0,1,1,3,192,0,2,0,7,wides,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
7,JD Ryder,Mohammad Amir,BB McCullum,4,0,4,7,188,4,3,0,8,-,1,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
8,BB McCullum,Mohammad Sami,JD Ryder,2,0,2,9,186,3,6,0,1,-,2,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
9,BB McCullum,Mohammad Sami,JD Ryder,0,0,0,9,186,3,7,0,2,-,2,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
10,BB McCullum,Mohammad Sami,JD Ryder,4,0,4,13,182,7,8,0,3,-,2,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
11,BB McCullum,Mohammad Sami,JD Ryder,0,5,5,18,177,7,9,0,4,wides,2,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
12,BB McCullum,Mohammad Sami,JD Ryder,0,0,0,18,177,7,10,0,5,-,2,0,,,field,Pakistan,1,"Kensington Oval, Bridgetown",2010,05,New Zealand_Pakistan_2010-05-08,New Zealand,New Zealand,Pakistan,133
