,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,KR Mayers,TA Boult,SSJ Brooks,1,0,1,1,184,1,1,0,-,1.0,0,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
1,SSJ Brooks,TA Boult,KR Mayers,2,0,2,3,182,2,1,0,-,2.0,0,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
2,SSJ Brooks,TA Boult,KR Mayers,4,0,4,7,178,6,2,0,-,3.0,0,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
3,SSJ Brooks,TA Boult,KR Mayers,0,0,0,7,178,6,3,0,-,4.0,0,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
4,SSJ Brooks,TA Boult,KR Mayers,4,0,4,11,174,10,4,0,-,5.0,0,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
5,SSJ Brooks,TA Boult,KR Mayers,0,0,0,11,174,10,5,0,-,6.0,0,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
6,KR Mayers,TG Southee,SSJ Brooks,0,1,1,12,173,1,2,0,wides,0.0,1,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
7,KR Mayers,TG Southee,SSJ Brooks,0,0,0,12,173,1,3,0,-,1.0,1,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
8,KR Mayers,TG Southee,SSJ Brooks,0,1,1,13,172,1,4,0,legbyes,2.0,1,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
9,SSJ Brooks,TG Southee,KR Mayers,1,0,1,14,171,11,6,0,-,3.0,1,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
10,KR Mayers,TG Southee,SSJ Brooks,0,0,0,14,171,1,5,1,-,4.0,1,"{'by': 'West Indies', 'umpire': 'PA Gustard', 'batter': 'KR Mayers', 'decision': 'struck down', 'umpires_call': True}",lbw,KR Mayers,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
11,N Pooran,TG Southee,SSJ Brooks,4,0,4,18,167,4,1,1,-,5.0,1,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
12,N Pooran,TG Southee,SSJ Brooks,0,0,0,18,167,4,2,1,-,6.0,1,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
13,SSJ Brooks,TA Boult,N Pooran,0,0,0,18,167,11,7,1,-,1.0,2,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
14,SSJ Brooks,TA Boult,N Pooran,0,0,0,18,167,11,8,1,-,2.0,2,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
15,SSJ Brooks,TA Boult,N Pooran,0,0,0,18,167,11,9,1,-,3.0,2,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
16,SSJ Brooks,TA Boult,N Pooran,1,0,1,19,166,12,10,1,-,4.0,2,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
17,N Pooran,TA Boult,SSJ Brooks,0,0,0,19,166,4,3,1,-,5.0,2,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
18,N Pooran,TA Boult,SSJ Brooks,0,1,1,20,165,4,4,1,legbyes,6.0,2,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
19,N Pooran,TG Southee,SSJ Brooks,6,0,6,26,159,10,5,1,-,1.0,3,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
20,N Pooran,TG Southee,SSJ Brooks,4,0,4,30,155,14,6,1,-,2.0,3,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
21,N Pooran,TG Southee,SSJ Brooks,1,0,1,31,154,15,7,1,-,3.0,3,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
22,SSJ Brooks,TG Southee,N Pooran,2,0,2,33,152,14,11,1,-,4.0,3,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
23,SSJ Brooks,TG Southee,N Pooran,6,0,6,39,146,20,12,1,-,5.0,3,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
24,SSJ Brooks,TG Southee,N Pooran,0,0,0,39,146,20,13,1,-,6.0,3,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
25,N Pooran,MJ Santner,SSJ Brooks,0,0,0,39,146,15,8,2,-,1.0,4,,caught,N Pooran,GD Phillips,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
26,SSJ Brooks,MJ Santner,DC Thomas,0,0,0,39,146,20,14,2,-,2.0,4,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
27,SSJ Brooks,MJ Santner,DC Thomas,1,0,1,40,145,21,15,2,-,3.0,4,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
28,DC Thomas,MJ Santner,SSJ Brooks,0,0,0,40,145,0,1,2,-,4.0,4,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
29,DC Thomas,MJ Santner,SSJ Brooks,1,0,1,41,144,1,2,2,-,5.0,4,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
30,SSJ Brooks,MJ Santner,DC Thomas,0,0,0,41,144,21,16,2,-,6.0,4,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
31,DC Thomas,LH Ferguson,SSJ Brooks,0,0,0,41,144,1,3,3,-,1.0,5,,caught,DC Thomas,IS Sodhi,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
32,SSJ Brooks,LH Ferguson,SO Hetmyer,0,0,0,41,144,21,17,3,-,2.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
33,SSJ Brooks,LH Ferguson,SO Hetmyer,0,0,0,41,144,21,18,3,-,3.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
34,SSJ Brooks,LH Ferguson,SO Hetmyer,0,1,1,42,143,21,19,3,legbyes,4.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
35,SO Hetmyer,LH Ferguson,SSJ Brooks,1,0,1,43,142,1,1,3,-,5.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
36,SSJ Brooks,LH Ferguson,SO Hetmyer,0,1,1,44,141,21,20,3,wides,5.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
37,SSJ Brooks,LH Ferguson,SO Hetmyer,0,1,1,45,140,21,21,3,wides,5.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
38,SSJ Brooks,LH Ferguson,SO Hetmyer,0,0,0,45,140,21,22,3,-,6.0,5,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
39,SO Hetmyer,MJ Santner,SSJ Brooks,1,0,1,46,139,2,2,3,-,1.0,6,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
40,SSJ Brooks,MJ Santner,SO Hetmyer,0,0,0,46,139,21,23,3,-,2.0,6,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
41,SSJ Brooks,MJ Santner,SO Hetmyer,2,0,2,48,137,23,24,3,-,3.0,6,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
42,SSJ Brooks,MJ Santner,SO Hetmyer,1,0,1,49,136,24,25,3,-,4.0,6,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
43,SO Hetmyer,MJ Santner,SSJ Brooks,0,0,0,49,136,2,3,4,-,5.0,6,,caught,SO Hetmyer,JDS Neesham,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
44,JO Holder,MJ Santner,SSJ Brooks,1,0,1,50,135,1,1,4,-,6.0,6,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
45,JO Holder,IS Sodhi,SSJ Brooks,1,0,1,51,134,2,2,4,-,1.0,7,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
46,SSJ Brooks,IS Sodhi,JO Holder,6,0,6,57,128,30,26,4,-,2.0,7,,0,,,field,West Indies,2,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-10,New Zealand,West Indies,New Zealand,False,172
