,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,KL Rahul,GJ Maxwell,S Dhawan,0,0,0,0,186,0,1,0,1,0,,,1,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
1,KL Rahul,GJ Maxwell,S Dhawan,0,0,0,0,186,0,2,1,2,caught,KL Rahul,SPD Smith,1,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
2,V Kohli,GJ Maxwell,S Dhawan,1,0,1,1,185,1,1,1,3,0,,,1,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
3,S Dhawan,GJ Maxwell,V Kohli,1,0,1,2,184,1,1,1,4,0,,,1,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
4,V Kohli,GJ Maxwell,S Dhawan,1,0,1,3,183,2,2,1,5,0,,,1,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
5,S Dhawan,GJ Maxwell,V Kohli,1,0,1,4,182,2,2,1,6,0,,,1,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
6,S Dhawan,SA Abbott,V Kohli,1,0,1,5,181,3,3,1,1,0,,,2,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
7,V Kohli,SA Abbott,S Dhawan,0,2,2,7,179,2,3,1,2,0,,,2,wides,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
8,S Dhawan,SA Abbott,V Kohli,1,0,1,8,178,4,4,1,3,0,,,2,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
9,V Kohli,SA Abbott,S Dhawan,2,0,2,10,176,4,4,1,4,0,,,2,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
10,V Kohli,SA Abbott,S Dhawan,1,0,1,11,175,5,5,1,5,0,,,2,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
11,S Dhawan,SA Abbott,V Kohli,1,0,1,12,174,5,5,1,6,0,,,2,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
12,V Kohli,SA Abbott,S Dhawan,3,0,3,15,171,8,6,1,7,0,,,2,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
13,V Kohli,GJ Maxwell,S Dhawan,1,0,1,16,170,9,7,1,1,0,,,3,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
14,S Dhawan,GJ Maxwell,V Kohli,0,2,2,18,168,5,6,1,2,0,,,3,wides,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
15,V Kohli,GJ Maxwell,S Dhawan,1,0,1,19,167,10,8,1,3,0,,,3,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
16,S Dhawan,GJ Maxwell,V Kohli,1,0,1,20,166,6,7,1,4,0,,,3,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
17,V Kohli,GJ Maxwell,S Dhawan,1,0,1,21,165,11,9,1,5,0,,,3,-,,field,India,2,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,India,Australia
