,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
10,BKG Mendis,PJ Cummins,P Nissanka,0,0,0,6,73,5,6,1,5,2,caught,BKG Mendis,MR Marsh,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
11,DM de Silva,PJ Cummins,P Nissanka,0,0,0,6,73,0,1,1,6,2,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
12,P Nissanka,JR Hazlewood,DM de Silva,0,0,0,6,73,1,6,1,1,3,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
13,P Nissanka,JR Hazlewood,DM de Silva,4,0,4,10,69,5,7,1,2,3,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
14,P Nissanka,JR Hazlewood,DM de Silva,2,0,2,12,67,7,8,1,3,3,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
15,P Nissanka,JR Hazlewood,DM de Silva,1,0,1,13,66,8,9,1,4,3,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
16,DM de Silva,JR Hazlewood,P Nissanka,1,0,1,14,65,1,2,1,5,3,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
17,P Nissanka,JR Hazlewood,DM de Silva,0,1,1,15,64,8,10,1,6,3,0,,,wides,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
18,P Nissanka,JR Hazlewood,DM de Silva,0,1,1,16,63,8,11,1,7,3,0,,,wides,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
19,P Nissanka,JR Hazlewood,DM de Silva,0,0,0,16,63,8,12,1,8,3,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
20,DM de Silva,PJ Cummins,P Nissanka,1,0,1,17,62,2,3,1,1,4,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
21,P Nissanka,PJ Cummins,DM de Silva,0,0,0,17,62,8,13,1,2,4,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
22,P Nissanka,PJ Cummins,DM de Silva,0,0,0,17,62,8,14,1,3,4,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
23,P Nissanka,PJ Cummins,DM de Silva,1,0,1,18,61,9,15,1,4,4,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
24,DM de Silva,PJ Cummins,P Nissanka,4,0,4,22,57,6,4,1,5,4,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
25,DM de Silva,PJ Cummins,P Nissanka,0,0,0,22,57,6,5,1,6,4,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
26,P Nissanka,MA Starc,DM de Silva,0,0,0,22,57,9,16,1,1,5,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
27,P Nissanka,MA Starc,DM de Silva,0,0,0,22,57,9,17,1,2,5,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
28,P Nissanka,MA Starc,DM de Silva,1,0,1,23,56,10,18,1,3,5,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
29,DM de Silva,MA Starc,P Nissanka,0,1,1,24,55,6,6,1,4,5,0,,,legbyes,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
30,P Nissanka,MA Starc,DM de Silva,0,0,0,24,55,10,19,1,5,5,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
31,P Nissanka,MA Starc,DM de Silva,0,1,1,25,54,10,20,1,6,5,0,,,legbyes,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
32,P Nissanka,JR Hazlewood,DM de Silva,0,0,0,25,54,10,21,1,1,6,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
33,P Nissanka,JR Hazlewood,DM de Silva,2,0,2,27,52,12,22,1,2,6,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
34,P Nissanka,JR Hazlewood,DM de Silva,4,0,4,31,48,16,23,1,3,6,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
35,P Nissanka,JR Hazlewood,DM de Silva,0,0,0,31,48,16,24,1,4,6,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
36,P Nissanka,JR Hazlewood,DM de Silva,1,0,1,32,47,17,25,1,5,6,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
37,DM de Silva,JR Hazlewood,P Nissanka,0,4,4,36,43,6,7,1,6,6,0,,,byes,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
38,P Nissanka,AC Agar,DM de Silva,1,0,1,37,42,18,26,1,1,7,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
39,DM de Silva,AC Agar,P Nissanka,1,0,1,38,41,7,8,1,2,7,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
40,P Nissanka,AC Agar,DM de Silva,0,0,0,38,41,18,27,1,3,7,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
41,P Nissanka,AC Agar,DM de Silva,0,0,0,38,41,18,28,1,4,7,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
42,P Nissanka,AC Agar,DM de Silva,1,0,1,39,40,19,29,1,5,7,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
