,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,AK Markram,MDKJ Perera,1,0,1,1,1,1,1,1,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
1,MDKJ Perera,AK Markram,P Nissanka,1,0,1,2,1,1,2,1,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
2,P Nissanka,AK Markram,MDKJ Perera,1,0,1,3,2,2,3,1,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
3,MDKJ Perera,AK Markram,P Nissanka,1,0,1,4,2,2,4,1,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
4,P Nissanka,AK Markram,MDKJ Perera,0,0,0,4,2,3,5,1,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
5,P Nissanka,AK Markram,MDKJ Perera,1,0,1,5,3,4,6,1,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
6,P Nissanka,K Rabada,MDKJ Perera,0,0,0,5,3,5,1,2,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
7,P Nissanka,K Rabada,MDKJ Perera,4,0,4,9,7,6,2,2,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
8,P Nissanka,K Rabada,MDKJ Perera,1,0,1,10,8,7,3,2,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
9,MDKJ Perera,K Rabada,P Nissanka,0,0,0,10,2,3,4,2,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
10,MDKJ Perera,K Rabada,P Nissanka,0,0,0,10,2,4,5,2,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
11,MDKJ Perera,K Rabada,P Nissanka,4,0,4,14,6,5,6,2,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
12,P Nissanka,AK Markram,MDKJ Perera,1,0,1,15,9,8,1,3,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
13,MDKJ Perera,AK Markram,P Nissanka,0,0,0,15,6,6,2,3,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
14,MDKJ Perera,AK Markram,P Nissanka,0,0,0,15,6,7,3,3,"{'by': 'South Africa', 'umpire': 'JS Wilson', 'batter': 'MDKJ Perera', 'decision': 'struck down'}",-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
15,MDKJ Perera,AK Markram,P Nissanka,1,0,1,16,7,8,4,3,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
16,P Nissanka,AK Markram,MDKJ Perera,0,0,0,16,9,9,5,3,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
17,P Nissanka,AK Markram,MDKJ Perera,1,0,1,17,10,10,6,3,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
18,P Nissanka,A Nortje,MDKJ Perera,1,0,1,18,11,11,1,4,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
19,MDKJ Perera,A Nortje,P Nissanka,0,1,1,19,7,9,2,4,,legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
20,P Nissanka,A Nortje,MDKJ Perera,0,0,0,19,11,12,3,4,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
21,P Nissanka,A Nortje,MDKJ Perera,1,0,1,20,12,13,4,4,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
22,MDKJ Perera,A Nortje,P Nissanka,0,0,0,20,7,10,5,4,,-,bowled,MDKJ Perera,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
23,KIC Asalanka,A Nortje,P Nissanka,0,0,0,20,0,1,6,4,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
24,P Nissanka,K Rabada,KIC Asalanka,0,0,0,20,12,14,1,5,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
25,P Nissanka,K Rabada,KIC Asalanka,0,0,0,20,12,15,2,5,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
26,P Nissanka,K Rabada,KIC Asalanka,4,0,4,24,16,16,3,5,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
27,P Nissanka,K Rabada,KIC Asalanka,1,0,1,25,17,17,4,5,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
28,KIC Asalanka,K Rabada,P Nissanka,1,0,1,26,1,2,5,5,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
29,P Nissanka,K Rabada,KIC Asalanka,0,0,0,26,17,18,6,5,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
30,KIC Asalanka,A Nortje,P Nissanka,0,1,1,27,1,3,1,6,,legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
31,P Nissanka,A Nortje,KIC Asalanka,1,0,1,28,18,19,2,6,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
32,KIC Asalanka,A Nortje,P Nissanka,4,0,4,32,5,4,3,6,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
33,KIC Asalanka,A Nortje,P Nissanka,4,0,4,36,9,5,4,6,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
34,KIC Asalanka,A Nortje,P Nissanka,0,1,1,37,9,6,5,6,,wides,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
35,KIC Asalanka,A Nortje,P Nissanka,1,0,1,38,10,7,6,6,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
36,P Nissanka,A Nortje,KIC Asalanka,0,1,1,39,18,20,7,6,,legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
37,P Nissanka,KA Maharaj,KIC Asalanka,1,0,1,40,19,21,1,7,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
38,KIC Asalanka,KA Maharaj,P Nissanka,1,0,1,41,11,8,2,7,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
39,P Nissanka,KA Maharaj,KIC Asalanka,1,0,1,42,20,22,3,7,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
40,KIC Asalanka,KA Maharaj,P Nissanka,1,0,1,43,12,9,4,7,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
41,P Nissanka,KA Maharaj,KIC Asalanka,1,0,1,44,21,23,5,7,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
42,KIC Asalanka,KA Maharaj,P Nissanka,0,0,0,44,12,10,6,7,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
43,P Nissanka,T Shamsi,KIC Asalanka,0,0,0,44,21,24,1,8,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
44,P Nissanka,T Shamsi,KIC Asalanka,0,0,0,44,21,25,2,8,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
45,P Nissanka,T Shamsi,KIC Asalanka,0,1,1,45,21,26,3,8,,legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
46,KIC Asalanka,T Shamsi,P Nissanka,0,0,0,45,12,11,4,8,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
47,KIC Asalanka,T Shamsi,P Nissanka,1,0,1,46,13,12,5,8,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
48,P Nissanka,T Shamsi,KIC Asalanka,0,0,0,46,21,27,6,8,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
49,KIC Asalanka,KA Maharaj,P Nissanka,6,0,6,52,19,13,1,9,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
50,KIC Asalanka,KA Maharaj,P Nissanka,1,0,1,53,20,14,2,9,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
51,P Nissanka,KA Maharaj,KIC Asalanka,6,0,6,59,27,28,3,9,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
52,P Nissanka,KA Maharaj,KIC Asalanka,1,0,1,60,28,29,4,9,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
53,KIC Asalanka,KA Maharaj,P Nissanka,1,0,1,61,21,15,5,9,,-,run out,KIC Asalanka,Q de Kock;K Rabada,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
54,PBB Rajapaksa,KA Maharaj,P Nissanka,0,0,0,61,0,1,6,9,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
55,P Nissanka,T Shamsi,PBB Rajapaksa,1,0,1,62,29,30,1,10,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
56,PBB Rajapaksa,T Shamsi,P Nissanka,0,0,0,62,0,2,2,10,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
57,PBB Rajapaksa,T Shamsi,P Nissanka,0,0,0,62,0,3,3,10,,-,caught and bowled,PBB Rajapaksa,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
58,WIA Fernando,T Shamsi,P Nissanka,0,0,0,62,0,1,4,10,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
59,WIA Fernando,T Shamsi,P Nissanka,1,0,1,63,1,2,5,10,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
60,P Nissanka,T Shamsi,WIA Fernando,0,1,1,64,29,31,6,10,,wides,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
61,P Nissanka,T Shamsi,WIA Fernando,3,0,3,67,32,32,7,10,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
62,P Nissanka,KA Maharaj,WIA Fernando,0,1,1,68,32,33,1,11,"{'by': 'South Africa', 'umpire': 'JS Wilson', 'batter': 'P Nissanka', 'decision': 'struck down', 'umpires_call': True}",legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
63,WIA Fernando,KA Maharaj,P Nissanka,1,0,1,69,2,3,2,11,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
64,P Nissanka,KA Maharaj,WIA Fernando,0,0,0,69,32,34,3,11,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
65,P Nissanka,KA Maharaj,WIA Fernando,1,0,1,70,33,35,4,11,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
66,WIA Fernando,KA Maharaj,P Nissanka,1,0,1,71,3,4,5,11,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
67,P Nissanka,KA Maharaj,WIA Fernando,1,0,1,72,34,36,6,11,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
68,P Nissanka,T Shamsi,WIA Fernando,4,0,4,76,38,37,1,12,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
69,P Nissanka,T Shamsi,WIA Fernando,0,0,0,76,38,38,2,12,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
70,P Nissanka,T Shamsi,WIA Fernando,1,0,1,77,39,39,3,12,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
71,WIA Fernando,T Shamsi,P Nissanka,0,0,0,77,3,5,4,12,,-,caught and bowled,WIA Fernando,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
72,PWH de Silva,T Shamsi,P Nissanka,1,0,1,78,1,1,5,12,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
73,P Nissanka,T Shamsi,PWH de Silva,1,0,1,79,40,40,6,12,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
74,P Nissanka,KA Maharaj,PWH de Silva,6,0,6,85,46,41,1,13,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
75,P Nissanka,KA Maharaj,PWH de Silva,1,0,1,86,47,42,2,13,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
76,PWH de Silva,KA Maharaj,P Nissanka,1,0,1,87,2,2,3,13,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
77,P Nissanka,KA Maharaj,PWH de Silva,1,0,1,88,48,43,4,13,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
78,PWH de Silva,KA Maharaj,P Nissanka,1,0,1,89,3,3,5,13,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
79,P Nissanka,KA Maharaj,PWH de Silva,0,0,0,89,48,44,6,13,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
80,PWH de Silva,T Shamsi,P Nissanka,1,0,1,90,4,4,1,14,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
81,P Nissanka,T Shamsi,PWH de Silva,0,0,0,90,48,45,2,14,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
82,P Nissanka,T Shamsi,PWH de Silva,1,0,1,91,49,46,3,14,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
83,PWH de Silva,T Shamsi,P Nissanka,0,0,0,91,4,5,4,14,,-,caught,PWH de Silva,AK Markram,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
84,MD Shanaka,T Shamsi,P Nissanka,0,0,0,91,0,1,5,14,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
85,MD Shanaka,T Shamsi,P Nissanka,1,0,1,92,1,2,6,14,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
86,MD Shanaka,D Pretorius,P Nissanka,0,0,0,92,1,3,1,15,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
87,MD Shanaka,D Pretorius,P Nissanka,0,0,0,92,1,4,2,15,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
88,MD Shanaka,D Pretorius,P Nissanka,0,0,0,92,1,5,3,15,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
89,MD Shanaka,D Pretorius,P Nissanka,0,0,0,92,1,6,4,15,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
90,MD Shanaka,D Pretorius,P Nissanka,1,0,1,93,2,7,5,15,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
91,P Nissanka,D Pretorius,MD Shanaka,1,0,1,94,50,47,6,15,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
92,P Nissanka,A Nortje,MD Shanaka,0,0,0,94,50,48,1,16,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
93,P Nissanka,A Nortje,MD Shanaka,1,0,1,95,51,49,2,16,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
94,MD Shanaka,A Nortje,P Nissanka,1,0,1,96,3,8,3,16,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
95,P Nissanka,A Nortje,MD Shanaka,1,0,1,97,52,50,4,16,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
96,MD Shanaka,A Nortje,P Nissanka,0,0,0,97,3,9,5,16,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
97,MD Shanaka,A Nortje,P Nissanka,4,0,4,101,7,10,6,16,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
98,P Nissanka,D Pretorius,MD Shanaka,4,0,4,105,56,51,1,17,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
99,P Nissanka,D Pretorius,MD Shanaka,0,1,1,106,56,52,2,17,,legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
100,MD Shanaka,D Pretorius,P Nissanka,4,0,4,110,11,11,3,17,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
101,MD Shanaka,D Pretorius,P Nissanka,0,0,0,110,11,12,4,17,,-,caught,MD Shanaka,K Rabada,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
102,P Nissanka,D Pretorius,C Karunaratne,1,0,1,111,57,53,5,17,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
103,C Karunaratne,D Pretorius,P Nissanka,1,0,1,112,1,1,6,17,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
104,C Karunaratne,K Rabada,P Nissanka,1,0,1,113,2,2,1,18,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
105,P Nissanka,K Rabada,C Karunaratne,6,0,6,119,63,54,2,18,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
106,P Nissanka,K Rabada,C Karunaratne,1,0,1,120,64,55,3,18,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
107,C Karunaratne,K Rabada,P Nissanka,1,0,1,121,3,3,4,18,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
108,P Nissanka,K Rabada,C Karunaratne,4,0,4,125,68,56,5,18,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
109,P Nissanka,K Rabada,C Karunaratne,4,0,4,129,72,57,6,18,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
110,C Karunaratne,D Pretorius,P Nissanka,2,0,2,131,5,4,1,19,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
111,C Karunaratne,D Pretorius,P Nissanka,0,0,0,131,5,5,2,19,,-,caught,C Karunaratne,HE van der Dussen,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
112,P Nissanka,D Pretorius,PVD Chameera,0,0,0,131,72,58,3,19,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
113,P Nissanka,D Pretorius,PVD Chameera,0,0,0,131,72,59,4,19,,-,caught,P Nissanka,A Nortje,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
114,PVD Chameera,D Pretorius,M Theekshana,2,0,2,133,2,1,5,19,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
115,PVD Chameera,D Pretorius,M Theekshana,1,0,1,134,3,2,6,19,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
116,PVD Chameera,A Nortje,M Theekshana,0,1,1,135,3,3,1,20,,legbyes,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
117,M Theekshana,A Nortje,PVD Chameera,2,0,2,137,2,1,2,20,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
118,M Theekshana,A Nortje,PVD Chameera,4,0,4,141,6,2,3,20,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
119,M Theekshana,A Nortje,PVD Chameera,1,0,1,142,7,3,4,20,,-,0,,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
120,PVD Chameera,A Nortje,M Theekshana,0,0,0,142,3,4,5,20,,-,bowled,PVD Chameera,,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
121,CBRLS Kumara,A Nortje,M Theekshana,0,0,0,142,0,1,6,20,,-,run out,CBRLS Kumara,Q de Kock;A Nortje,field,South Africa,1,Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa
