,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,B Kumar,JC Buttler,0,0,0,0,224,0,1,0,1,0,,,1,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
1,JJ Roy,B Kumar,JC Buttler,0,0,0,0,224,0,2,1,2,bowled,JJ Roy,,1,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
2,DJ Malan,B Kumar,JC Buttler,0,0,0,0,224,0,1,1,3,0,,,1,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
3,DJ Malan,B Kumar,JC Buttler,0,0,0,0,224,0,2,1,4,0,,,1,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
4,DJ Malan,B Kumar,JC Buttler,0,0,0,0,224,0,3,1,5,0,,,1,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
5,DJ Malan,B Kumar,JC Buttler,1,0,1,1,223,1,4,1,6,0,,,1,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
6,DJ Malan,HH Pandya,JC Buttler,0,0,0,1,223,1,5,1,1,0,,,2,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
7,DJ Malan,HH Pandya,JC Buttler,0,1,1,2,222,1,6,1,2,0,,,2,wides,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
8,DJ Malan,HH Pandya,JC Buttler,4,0,4,6,218,5,7,1,3,0,,,2,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
9,DJ Malan,HH Pandya,JC Buttler,6,0,6,12,212,11,8,1,4,0,,,2,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
10,DJ Malan,HH Pandya,JC Buttler,4,0,4,16,208,15,9,1,5,0,,,2,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
11,DJ Malan,HH Pandya,JC Buttler,2,0,2,18,206,17,10,1,6,0,,,2,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
12,DJ Malan,HH Pandya,JC Buttler,0,1,1,19,205,17,11,1,7,0,,,2,wides,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
13,DJ Malan,HH Pandya,JC Buttler,0,0,0,19,205,17,12,1,8,0,,,2,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
14,JC Buttler,B Kumar,DJ Malan,0,0,0,19,205,0,1,1,1,0,,,3,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
15,JC Buttler,B Kumar,DJ Malan,0,0,0,19,205,0,2,1,2,0,,,3,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
16,JC Buttler,B Kumar,DJ Malan,1,0,1,20,204,1,3,1,3,0,,,3,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
17,DJ Malan,B Kumar,JC Buttler,0,0,0,20,204,17,13,1,4,0,,,3,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
18,DJ Malan,B Kumar,JC Buttler,4,0,4,24,200,21,14,1,5,0,,,3,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
19,DJ Malan,B Kumar,JC Buttler,0,4,4,28,196,21,15,1,6,0,,,3,legbyes,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
20,JC Buttler,Washington Sundar,DJ Malan,1,0,1,29,195,2,4,1,1,0,,,4,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
21,DJ Malan,Washington Sundar,JC Buttler,1,0,1,30,194,22,16,1,2,0,,,4,-,,field,England,2,Narendra Modi Stadium,2021,03,India_England_2021-03-20,India,England,India,188
