,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,ADS Fletcher,Mohammad Hafeez,CH Gayle,1,0,1,1,,1,1,0,-,1.0,0,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Offbreak
1,CH Gayle,Mohammad Hafeez,ADS Fletcher,1,0,1,2,,1,1,0,-,2.0,0,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Left hand Bat,Right hand Bat,Right arm Offbreak
2,ADS Fletcher,Mohammad Hafeez,CH Gayle,6,0,6,8,,7,2,0,-,3.0,0,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Offbreak
3,ADS Fletcher,Mohammad Hafeez,CH Gayle,0,0,0,8,,7,3,0,-,4.0,0,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Offbreak
4,ADS Fletcher,Mohammad Hafeez,CH Gayle,0,0,0,8,,7,4,0,-,5.0,0,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Offbreak
5,ADS Fletcher,Mohammad Hafeez,CH Gayle,6,0,6,14,,13,5,0,-,6.0,0,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Offbreak
6,CH Gayle,Mohammad Wasim,ADS Fletcher,4,0,4,18,,5,2,0,-,1.0,1,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Left hand Bat,Right hand Bat,Right arm Fast
7,CH Gayle,Mohammad Wasim,ADS Fletcher,4,0,4,22,,9,3,0,-,2.0,1,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Left hand Bat,Right hand Bat,Right arm Fast
8,CH Gayle,Mohammad Wasim,ADS Fletcher,1,0,1,23,,10,4,0,-,3.0,1,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Left hand Bat,Right hand Bat,Right arm Fast
9,ADS Fletcher,Mohammad Wasim,CH Gayle,0,1,1,24,,13,6,0,legbyes,4.0,1,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Fast
10,CH Gayle,Mohammad Wasim,ADS Fletcher,0,0,0,24,,10,5,0,-,5.0,1,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Left hand Bat,Right hand Bat,Right arm Fast
11,CH Gayle,Mohammad Wasim,ADS Fletcher,2,0,2,26,,12,6,0,-,6.0,1,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Left hand Bat,Right hand Bat,Right arm Fast
12,ADS Fletcher,Hasan Ali,CH Gayle,0,0,0,26,,13,7,0,-,1.0,2,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Medium
13,ADS Fletcher,Hasan Ali,CH Gayle,4,0,4,30,,17,8,0,-,2.0,2,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Medium
14,ADS Fletcher,Hasan Ali,CH Gayle,0,0,0,30,,17,9,0,-,3.0,2,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Medium
15,ADS Fletcher,Hasan Ali,CH Gayle,0,0,0,30,,17,10,0,-,4.0,2,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Medium
16,ADS Fletcher,Hasan Ali,CH Gayle,0,0,0,30,,17,11,0,-,5.0,2,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Medium
17,ADS Fletcher,Hasan Ali,CH Gayle,0,0,0,30,,17,12,0,-,6.0,2,0,field,Pakistan,1,"Providence Stadium, Guyana",2021,08,West Indies_Pakistan_2021-08-03,no result,West Indies,,,30,Right hand Bat,Left hand Bat,Right arm Medium
