,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,JL Denly,CK Langeveldt,AN Cook,0,0,0,0,171,0,1,1,1,-,lbw,JL Denly,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
1,IJL Trott,CK Langeveldt,AN Cook,0,1,1,1,170,0,1,1,2,wides,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
2,IJL Trott,CK Langeveldt,AN Cook,0,0,0,1,170,0,2,1,3,-,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
3,IJL Trott,CK Langeveldt,AN Cook,0,0,0,1,170,0,3,1,4,-,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
4,IJL Trott,CK Langeveldt,AN Cook,0,1,1,2,169,0,4,1,5,wides,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
5,IJL Trott,CK Langeveldt,AN Cook,0,0,0,2,169,0,5,1,6,-,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
6,IJL Trott,CK Langeveldt,AN Cook,0,0,0,2,169,0,6,1,7,-,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
7,IJL Trott,CK Langeveldt,AN Cook,0,0,0,2,169,0,7,1,8,-,0,,,1,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
8,AN Cook,R McLaren,IJL Trott,0,0,0,2,169,0,1,1,1,-,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
9,AN Cook,R McLaren,IJL Trott,1,0,1,3,168,1,2,1,2,-,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
10,IJL Trott,R McLaren,AN Cook,1,0,1,4,167,1,8,1,3,-,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
11,AN Cook,R McLaren,IJL Trott,0,1,1,5,166,1,3,1,4,wides,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
12,AN Cook,R McLaren,IJL Trott,4,0,4,9,162,5,4,1,5,-,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
13,AN Cook,R McLaren,IJL Trott,0,0,0,9,162,5,5,1,6,-,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
14,AN Cook,R McLaren,IJL Trott,0,0,0,9,162,5,6,1,7,-,0,,,2,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
15,IJL Trott,CK Langeveldt,AN Cook,0,0,0,9,162,1,9,1,1,-,0,,,3,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
16,IJL Trott,CK Langeveldt,AN Cook,4,0,4,13,158,5,10,1,2,-,0,,,3,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
17,IJL Trott,CK Langeveldt,AN Cook,0,0,0,13,158,5,11,1,3,-,0,,,3,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
18,IJL Trott,CK Langeveldt,AN Cook,3,0,3,16,155,8,12,1,4,-,0,,,3,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
19,AN Cook,CK Langeveldt,IJL Trott,3,0,3,19,152,8,7,1,5,-,0,,,3,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
20,IJL Trott,CK Langeveldt,AN Cook,1,0,1,20,151,9,13,1,6,-,0,,,3,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
21,IJL Trott,R McLaren,AN Cook,1,0,1,21,150,10,14,1,1,-,0,,,4,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
22,AN Cook,R McLaren,IJL Trott,3,0,3,24,147,11,8,1,2,-,0,,,4,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
23,IJL Trott,R McLaren,AN Cook,1,0,1,25,146,11,15,1,3,-,0,,,4,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
24,AN Cook,R McLaren,IJL Trott,0,0,0,25,146,11,9,2,4,-,lbw,AN Cook,,4,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
25,PD Collingwood,R McLaren,IJL Trott,0,0,0,25,146,0,1,2,5,-,0,,,4,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
26,PD Collingwood,R McLaren,IJL Trott,2,0,2,27,144,2,2,2,6,-,0,,,4,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
27,IJL Trott,DW Steyn,PD Collingwood,0,0,0,27,144,11,16,2,1,-,0,,,5,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
28,IJL Trott,DW Steyn,PD Collingwood,2,0,2,29,142,13,17,2,2,-,0,,,5,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
29,IJL Trott,DW Steyn,PD Collingwood,4,0,4,33,138,17,18,2,3,-,0,,,5,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
30,IJL Trott,DW Steyn,PD Collingwood,4,0,4,37,134,21,19,2,4,-,0,,,5,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
31,IJL Trott,DW Steyn,PD Collingwood,4,0,4,41,130,25,20,2,5,-,0,,,5,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
32,IJL Trott,DW Steyn,PD Collingwood,4,0,4,45,126,29,21,2,6,-,0,,,5,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
33,PD Collingwood,JA Morkel,IJL Trott,1,0,1,46,125,3,3,2,1,-,0,,,6,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
34,IJL Trott,JA Morkel,PD Collingwood,0,0,0,46,125,29,22,2,2,-,0,,,6,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
35,IJL Trott,JA Morkel,PD Collingwood,1,0,1,47,124,30,23,2,3,-,0,,,6,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
36,PD Collingwood,JA Morkel,IJL Trott,6,0,6,53,118,9,4,2,4,-,0,,,6,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
37,PD Collingwood,JA Morkel,IJL Trott,1,0,1,54,117,10,5,2,5,-,0,,,6,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
38,IJL Trott,JA Morkel,PD Collingwood,2,0,2,56,115,32,24,2,6,-,0,,,6,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
39,PD Collingwood,RE van der Merwe,IJL Trott,2,0,2,58,113,12,6,2,1,-,0,,,7,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
40,PD Collingwood,RE van der Merwe,IJL Trott,1,0,1,59,112,13,7,2,2,-,0,,,7,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
41,IJL Trott,RE van der Merwe,PD Collingwood,0,0,0,59,112,32,25,2,3,-,0,,,7,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
42,IJL Trott,RE van der Merwe,PD Collingwood,1,0,1,60,111,33,26,2,4,-,0,,,7,field,South Africa,1,New Wanderers Stadium,2009,11,South Africa_England_2009-11-13,England,England,South Africa,202
