,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
16,CH Gayle,TG Southee,DR Smith,4,0,4,20,,6,9,0,-,4.0,2,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,Right hand Bat,Right arm Medium
17,CH Gayle,TG Southee,DR Smith,0,0,0,20,,6,10,0,-,5.0,2,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,Right hand Bat,Right arm Medium
18,CH Gayle,TG Southee,DR Smith,0,0,0,20,,6,11,0,-,6.0,2,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,Right hand Bat,Right arm Medium
19,DR Smith,DAJ Bracewell,CH Gayle,0,0,0,20,,13,9,0,-,1.0,3,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Fast
20,DR Smith,DAJ Bracewell,CH Gayle,0,0,0,20,,13,10,0,-,2.0,3,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Fast
21,DR Smith,DAJ Bracewell,CH Gayle,4,0,4,24,,17,11,0,-,3.0,3,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Fast
22,DR Smith,DAJ Bracewell,CH Gayle,0,1,1,25,,17,12,0,legbyes,4.0,3,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Fast
23,CH Gayle,DAJ Bracewell,DR Smith,0,1,1,26,,6,12,0,wides,4.0,3,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,Right hand Bat,Right arm Fast
24,CH Gayle,DAJ Bracewell,DR Smith,1,0,1,27,,7,13,0,-,5.0,3,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,Right hand Bat,Right arm Fast
25,DR Smith,DAJ Bracewell,CH Gayle,0,0,0,27,,17,13,1,-,6.0,3,bowled,DR Smith,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Fast
26,CH Gayle,TG Southee,J Charles,1,0,1,28,,8,14,1,-,1.0,4,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Medium
27,J Charles,TG Southee,CH Gayle,0,0,0,28,,0,1,1,-,2.0,4,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
28,J Charles,TG Southee,CH Gayle,0,0,0,28,,0,2,1,-,3.0,4,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
29,J Charles,TG Southee,CH Gayle,0,0,0,28,,0,3,1,-,4.0,4,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
30,J Charles,TG Southee,CH Gayle,4,0,4,32,,4,4,1,-,5.0,4,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
31,J Charles,TG Southee,CH Gayle,0,0,0,32,,4,5,1,-,6.0,4,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
32,CH Gayle,JDP Oram,J Charles,0,0,0,32,,8,15,1,-,1.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Fast
