,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,DJ Malan,Tanvir Islam,PD Salt,4,0,4,4,154,4,1,0,1,0,,,1,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
1,DJ Malan,Tanvir Islam,PD Salt,1,0,1,5,153,5,2,0,2,0,,,1,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
2,PD Salt,Tanvir Islam,DJ Malan,0,0,0,5,153,0,1,1,3,stumped,PD Salt,Liton Das,1,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
3,JC Buttler,Tanvir Islam,DJ Malan,1,0,1,6,152,1,1,1,4,0,,,1,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
4,DJ Malan,Tanvir Islam,JC Buttler,1,0,1,7,151,6,3,1,5,0,,,1,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
5,JC Buttler,Tanvir Islam,DJ Malan,0,0,0,7,151,1,2,1,6,0,,,1,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
6,DJ Malan,Taskin Ahmed,JC Buttler,0,1,1,8,150,6,4,1,1,0,,,2,,wides,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
7,DJ Malan,Taskin Ahmed,JC Buttler,0,0,0,8,150,6,5,1,2,0,,,2,"{'by': 'England', 'umpire': 'Tanvir Ahmed', 'batter': 'DJ Malan', 'decision': 'upheld'}",-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
8,DJ Malan,Taskin Ahmed,JC Buttler,0,0,0,8,150,6,6,1,3,0,,,2,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
9,DJ Malan,Taskin Ahmed,JC Buttler,0,4,4,12,146,6,7,1,4,0,,,2,,legbyes,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
10,DJ Malan,Taskin Ahmed,JC Buttler,0,0,0,12,146,6,8,1,5,0,,,2,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
11,DJ Malan,Taskin Ahmed,JC Buttler,0,0,0,12,146,6,9,1,6,0,,,2,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
12,DJ Malan,Taskin Ahmed,JC Buttler,1,0,1,13,145,7,10,1,7,0,,,2,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
13,DJ Malan,Tanvir Islam,JC Buttler,1,0,1,14,144,8,11,1,1,0,,,3,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
14,JC Buttler,Tanvir Islam,DJ Malan,1,0,1,15,143,2,3,1,2,0,,,3,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
15,DJ Malan,Tanvir Islam,JC Buttler,6,0,6,21,137,14,12,1,3,0,,,3,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
16,DJ Malan,Tanvir Islam,JC Buttler,0,0,0,21,137,14,13,1,4,0,,,3,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
17,DJ Malan,Tanvir Islam,JC Buttler,1,0,1,22,136,15,14,1,5,0,,,3,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
18,JC Buttler,Tanvir Islam,DJ Malan,1,0,1,23,135,3,4,1,6,0,,,3,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
19,JC Buttler,Taskin Ahmed,DJ Malan,2,0,2,25,133,5,5,1,1,0,,,4,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
20,JC Buttler,Taskin Ahmed,DJ Malan,4,0,4,29,129,9,6,1,2,0,,,4,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
21,JC Buttler,Taskin Ahmed,DJ Malan,0,0,0,29,129,9,7,1,3,0,,,4,,-,field,England,2,"Shere Bangla National Stadium, Mirpur",2023,03,Bangladesh_England_2023-03-14,Bangladesh,England,Bangladesh,142
