,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,DJ Willey,DJM Short,0,0,0,0,137,0,1,0,-,1.0,0,,,0,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
1,DA Warner,DJ Willey,DJM Short,2,0,2,2,135,2,2,0,-,2.0,0,,,0,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
2,DA Warner,DJ Willey,DJM Short,0,0,0,2,135,2,3,0,-,3.0,0,,,0,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
3,DA Warner,DJ Willey,DJM Short,0,0,0,2,135,2,4,1,-,4.0,caught,DA Warner,JC Buttler,0,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
4,CA Lynn,DJ Willey,DJM Short,0,0,0,2,135,0,1,1,-,5.0,0,,,0,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
5,CA Lynn,DJ Willey,DJM Short,4,0,4,6,131,4,2,1,-,6.0,0,,,0,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
6,DJM Short,TK Curran,CA Lynn,1,0,1,7,130,1,1,1,-,1.0,0,,,1,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
7,CA Lynn,TK Curran,DJM Short,4,0,4,11,126,8,3,1,-,2.0,0,,,1,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
8,CA Lynn,TK Curran,DJM Short,0,0,0,11,126,8,4,1,-,3.0,0,,,1,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
9,CA Lynn,TK Curran,DJM Short,4,0,4,15,122,12,5,1,-,4.0,0,,,1,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
10,CA Lynn,TK Curran,DJM Short,6,0,6,21,116,18,6,1,-,5.0,0,,,1,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
11,CA Lynn,TK Curran,DJM Short,1,0,1,22,115,19,7,1,-,6.0,0,,,1,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
12,CA Lynn,DJ Willey,DJM Short,0,5,5,27,110,19,8,1,wides,0.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
13,CA Lynn,DJ Willey,DJM Short,0,1,1,28,109,19,9,1,legbyes,1.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
14,DJM Short,DJ Willey,CA Lynn,0,0,0,28,109,1,2,1,-,2.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
15,DJM Short,DJ Willey,CA Lynn,0,0,0,28,109,1,3,1,-,3.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
16,DJM Short,DJ Willey,CA Lynn,0,0,0,28,109,1,4,1,-,4.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
17,DJM Short,DJ Willey,CA Lynn,0,0,0,28,109,1,5,1,-,5.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
18,DJM Short,DJ Willey,CA Lynn,0,0,0,28,109,1,6,1,-,6.0,0,,,2,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
19,CA Lynn,CJ Jordan,DJM Short,1,0,1,29,108,20,10,1,-,1.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
20,DJM Short,CJ Jordan,CA Lynn,0,1,1,30,107,1,7,1,wides,1.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
21,DJM Short,CJ Jordan,CA Lynn,4,0,4,34,103,5,8,1,-,2.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
22,DJM Short,CJ Jordan,CA Lynn,1,0,1,35,102,6,9,1,-,3.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
23,CA Lynn,CJ Jordan,DJM Short,0,0,0,35,102,20,11,1,-,4.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
24,CA Lynn,CJ Jordan,DJM Short,1,0,1,36,101,21,12,1,-,5.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
25,DJM Short,CJ Jordan,CA Lynn,4,0,4,40,97,10,10,1,-,6.0,0,,,3,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
26,CA Lynn,DJ Willey,DJM Short,0,0,0,40,97,21,13,1,-,1.0,0,,,4,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
27,CA Lynn,DJ Willey,DJM Short,0,0,0,40,97,21,14,1,-,2.0,0,,,4,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
28,CA Lynn,DJ Willey,DJM Short,0,0,0,40,97,21,15,1,-,3.0,0,,,4,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
29,CA Lynn,DJ Willey,DJM Short,6,0,6,46,91,27,16,1,-,4.0,0,,,4,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
30,CA Lynn,DJ Willey,DJM Short,0,1,1,47,90,27,17,1,legbyes,5.0,0,,,4,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
31,DJM Short,DJ Willey,CA Lynn,0,0,0,47,90,10,11,1,-,6.0,0,,,4,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
32,CA Lynn,CJ Jordan,DJM Short,4,0,4,51,86,31,18,1,-,1.0,0,,,5,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
33,CA Lynn,CJ Jordan,DJM Short,0,0,0,51,86,31,19,1,-,2.0,0,,,5,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
34,CA Lynn,CJ Jordan,DJM Short,0,0,0,51,86,31,20,2,-,3.0,caught,CA Lynn,JC Buttler,5,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
35,DJM Short,CJ Jordan,GJ Maxwell,0,0,0,51,86,10,12,2,-,4.0,0,,,5,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
36,DJM Short,CJ Jordan,GJ Maxwell,1,0,1,52,85,11,13,2,-,5.0,0,,,5,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
37,GJ Maxwell,CJ Jordan,DJM Short,0,0,0,52,85,0,1,2,-,6.0,0,,,5,,field,Australia,2,Melbourne Cricket Ground,2018,02,England_Australia_2018-02-10,Australia,Australia,England,True,138
