,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
11,Hazratullah,AM Fernando,Rahmanullah Gurbaz,0,0,0,11,172,10,10,0,6,2,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
12,Rahmanullah Gurbaz,M Theekshana,Hazratullah,1,0,1,12,171,2,3,0,1,3,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
13,Hazratullah,M Theekshana,Rahmanullah Gurbaz,1,0,1,13,170,11,11,0,2,3,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
14,Rahmanullah Gurbaz,M Theekshana,Hazratullah,0,0,0,13,170,2,4,0,3,3,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
15,Rahmanullah Gurbaz,M Theekshana,Hazratullah,6,0,6,19,164,8,5,0,4,3,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
16,Rahmanullah Gurbaz,M Theekshana,Hazratullah,6,0,6,25,158,14,6,0,5,3,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
17,Rahmanullah Gurbaz,M Theekshana,Hazratullah,1,0,1,26,157,15,7,0,6,3,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
18,Rahmanullah Gurbaz,AM Fernando,Hazratullah,6,0,6,32,151,21,8,0,1,4,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
19,Rahmanullah Gurbaz,AM Fernando,Hazratullah,2,0,2,34,149,23,9,0,2,4,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
20,Rahmanullah Gurbaz,AM Fernando,Hazratullah,4,0,4,38,145,27,10,0,3,4,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
