,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Rizwan,TA Boult,Babar Azam,4,0,4,4,4,1,1,1,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
1,Mohammad Rizwan,TA Boult,Babar Azam,0,0,0,4,4,2,2,1,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
2,Mohammad Rizwan,TA Boult,Babar Azam,1,0,1,5,5,3,3,1,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
3,Babar Azam,TA Boult,Mohammad Rizwan,1,0,1,6,1,1,4,1,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
4,Mohammad Rizwan,TA Boult,Babar Azam,1,0,1,7,6,4,5,1,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
5,Babar Azam,TA Boult,Mohammad Rizwan,0,0,0,7,1,2,6,1,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
6,Mohammad Rizwan,TG Southee,Babar Azam,0,0,0,7,6,5,1,2,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
7,Mohammad Rizwan,TG Southee,Babar Azam,1,0,1,8,7,6,2,2,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
8,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,8,1,3,3,2,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
9,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,8,1,4,4,2,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
10,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,8,1,5,5,2,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
11,Babar Azam,TG Southee,Mohammad Rizwan,1,0,1,9,2,6,6,2,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
12,Babar Azam,TA Boult,Mohammad Rizwan,0,0,0,9,2,7,1,3,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
13,Babar Azam,TA Boult,Mohammad Rizwan,4,0,4,13,6,8,2,3,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
14,Babar Azam,TA Boult,Mohammad Rizwan,1,0,1,14,7,9,3,3,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
15,Mohammad Rizwan,TA Boult,Babar Azam,4,0,4,18,11,7,4,3,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
16,Mohammad Rizwan,TA Boult,Babar Azam,2,0,2,20,13,8,5,3,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
17,Mohammad Rizwan,TA Boult,Babar Azam,4,0,4,24,17,9,6,3,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
18,Babar Azam,LH Ferguson,Mohammad Rizwan,4,0,4,28,11,10,1,4,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
19,Babar Azam,LH Ferguson,Mohammad Rizwan,2,0,2,30,13,11,2,4,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
20,Babar Azam,LH Ferguson,Mohammad Rizwan,1,0,1,31,14,12,3,4,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
21,Mohammad Rizwan,LH Ferguson,Babar Azam,0,0,0,31,17,10,4,4,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
22,Mohammad Rizwan,LH Ferguson,Babar Azam,1,0,1,32,18,11,5,4,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
23,Babar Azam,LH Ferguson,Mohammad Rizwan,0,0,0,32,14,13,6,4,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
24,Mohammad Rizwan,TG Southee,Babar Azam,4,0,4,36,22,12,1,5,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
25,Mohammad Rizwan,TG Southee,Babar Azam,4,0,4,40,26,13,2,5,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
26,Mohammad Rizwan,TG Southee,Babar Azam,1,0,1,41,27,14,3,5,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
27,Babar Azam,TG Southee,Mohammad Rizwan,0,1,1,42,14,14,4,5,{'wides': 1},wides,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
28,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,42,14,15,5,5,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
29,Babar Azam,TG Southee,Mohammad Rizwan,4,0,4,46,18,16,6,5,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
30,Babar Azam,TG Southee,Mohammad Rizwan,1,0,1,47,19,17,7,5,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
31,Babar Azam,LH Ferguson,Mohammad Rizwan,1,0,1,48,20,18,1,6,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
32,Mohammad Rizwan,LH Ferguson,Babar Azam,0,0,0,48,27,15,2,6,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
33,Mohammad Rizwan,LH Ferguson,Babar Azam,0,1,1,49,27,16,3,6,{'legbyes': 1},legbyes,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
34,Babar Azam,LH Ferguson,Mohammad Rizwan,4,0,4,53,24,19,4,6,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
35,Babar Azam,LH Ferguson,Mohammad Rizwan,1,0,1,54,25,20,5,6,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
36,Mohammad Rizwan,LH Ferguson,Babar Azam,1,0,1,55,28,17,6,6,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
37,Mohammad Rizwan,MJ Santner,Babar Azam,1,0,1,56,29,18,1,7,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
38,Babar Azam,MJ Santner,Mohammad Rizwan,0,0,0,56,25,21,2,7,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
39,Babar Azam,MJ Santner,Mohammad Rizwan,1,0,1,57,26,22,3,7,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
40,Mohammad Rizwan,MJ Santner,Babar Azam,1,0,1,58,30,19,4,7,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
41,Babar Azam,MJ Santner,Mohammad Rizwan,4,0,4,62,30,23,5,7,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
42,Babar Azam,MJ Santner,Mohammad Rizwan,0,1,1,63,30,24,6,7,{'legbyes': 1},legbyes,"{'by': 'New Zealand', 'umpire': 'M Erasmus', 'batter': 'Babar Azam', 'decision': 'struck down'}",0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
43,Babar Azam,IS Sodhi,Mohammad Rizwan,0,0,0,63,30,25,1,8,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
44,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,64,31,26,2,8,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
45,Mohammad Rizwan,IS Sodhi,Babar Azam,1,0,1,65,31,20,3,8,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
46,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,66,32,27,4,8,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
47,Mohammad Rizwan,IS Sodhi,Babar Azam,1,0,1,67,32,21,5,8,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
48,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,68,33,28,6,8,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
49,Babar Azam,MJ Santner,Mohammad Rizwan,0,0,0,68,33,29,1,9,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
50,Babar Azam,MJ Santner,Mohammad Rizwan,1,0,1,69,34,30,2,9,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
51,Mohammad Rizwan,MJ Santner,Babar Azam,2,0,2,71,34,22,3,9,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
52,Mohammad Rizwan,MJ Santner,Babar Azam,1,0,1,72,35,23,4,9,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
53,Babar Azam,MJ Santner,Mohammad Rizwan,1,0,1,73,35,31,5,9,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
54,Mohammad Rizwan,MJ Santner,Babar Azam,2,0,2,75,37,24,6,9,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
55,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,76,36,32,1,10,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
56,Mohammad Rizwan,IS Sodhi,Babar Azam,3,0,3,79,40,25,2,10,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
57,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,80,37,33,3,10,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
58,Mohammad Rizwan,IS Sodhi,Babar Azam,1,0,1,81,41,26,4,10,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
59,Babar Azam,IS Sodhi,Mohammad Rizwan,4,0,4,85,41,34,5,10,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
60,Babar Azam,IS Sodhi,Mohammad Rizwan,2,0,2,87,43,35,6,10,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
61,Mohammad Rizwan,LH Ferguson,Babar Azam,0,1,1,88,41,27,1,11,{'wides': 1},wides,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
62,Mohammad Rizwan,LH Ferguson,Babar Azam,1,0,1,89,42,28,2,11,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
63,Babar Azam,LH Ferguson,Mohammad Rizwan,1,0,1,90,44,36,3,11,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
64,Mohammad Rizwan,LH Ferguson,Babar Azam,1,0,1,91,43,29,4,11,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
65,Babar Azam,LH Ferguson,Mohammad Rizwan,4,0,4,95,48,37,5,11,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
66,Babar Azam,LH Ferguson,Mohammad Rizwan,0,0,0,95,48,38,6,11,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
67,Babar Azam,LH Ferguson,Mohammad Rizwan,2,0,2,97,50,39,7,11,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
68,Mohammad Rizwan,IS Sodhi,Babar Azam,1,0,1,98,44,30,1,12,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
69,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,99,51,40,2,12,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
70,Mohammad Rizwan,IS Sodhi,Babar Azam,0,0,0,99,44,31,3,12,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
71,Mohammad Rizwan,IS Sodhi,Babar Azam,1,0,1,100,45,32,4,12,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
72,Babar Azam,IS Sodhi,Mohammad Rizwan,1,0,1,101,52,41,5,12,,-,,0,,,bat,New Zealand,2,Sydney Cricket Ground,2022-11-09,Pakistan,New Zealand
