,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DJM Short,B Kumar,AJ Finch,1,0,1,1,,1,1,0,1,-,0,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
1,AJ Finch,B Kumar,DJM Short,0,0,0,1,,0,1,0,2,-,0,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
2,AJ Finch,B Kumar,DJM Short,1,0,1,2,,1,2,0,3,-,0,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
3,DJM Short,B Kumar,AJ Finch,4,0,4,6,,5,2,0,4,-,0,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
4,DJM Short,B Kumar,AJ Finch,1,0,1,7,,6,3,0,5,-,0,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
5,AJ Finch,B Kumar,DJM Short,0,1,1,8,,1,3,0,6,legbyes,0,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
6,AJ Finch,KK Ahmed,DJM Short,0,0,0,8,,1,4,0,1,-,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
7,AJ Finch,KK Ahmed,DJM Short,4,0,4,12,,5,5,0,2,-,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
8,AJ Finch,KK Ahmed,DJM Short,0,1,1,13,,5,6,0,3,wides,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
9,AJ Finch,KK Ahmed,DJM Short,2,0,2,15,,7,7,0,4,-,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
10,AJ Finch,KK Ahmed,DJM Short,0,1,1,16,,7,8,0,5,wides,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
11,AJ Finch,KK Ahmed,DJM Short,0,0,0,16,,7,9,0,6,-,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
12,AJ Finch,KK Ahmed,DJM Short,0,0,0,16,,7,10,0,7,-,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
13,AJ Finch,KK Ahmed,DJM Short,0,0,0,16,,7,11,0,8,-,1,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
14,DJM Short,B Kumar,AJ Finch,4,0,4,20,,10,4,0,1,-,2,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
15,DJM Short,B Kumar,AJ Finch,0,0,0,20,,10,5,0,2,-,2,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
16,DJM Short,B Kumar,AJ Finch,0,0,0,20,,10,6,0,3,-,2,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
17,DJM Short,B Kumar,AJ Finch,0,0,0,20,,10,7,0,4,-,2,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
18,DJM Short,B Kumar,AJ Finch,0,0,0,20,,10,8,0,5,-,2,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
19,DJM Short,B Kumar,AJ Finch,1,0,1,21,,11,9,0,6,-,2,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
20,DJM Short,JJ Bumrah,AJ Finch,4,0,4,25,,15,10,0,1,-,3,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
21,DJM Short,JJ Bumrah,AJ Finch,0,0,0,25,,15,11,0,2,-,3,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
22,DJM Short,JJ Bumrah,AJ Finch,1,0,1,26,,16,12,0,3,-,3,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
23,AJ Finch,JJ Bumrah,DJM Short,0,0,0,26,,7,12,0,4,-,3,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
24,AJ Finch,JJ Bumrah,DJM Short,1,0,1,27,,8,13,0,5,-,3,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
25,DJM Short,JJ Bumrah,AJ Finch,1,0,1,28,,17,13,0,6,-,3,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
26,DJM Short,KK Ahmed,AJ Finch,0,1,1,29,,17,14,0,1,legbyes,4,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
27,AJ Finch,KK Ahmed,DJM Short,4,0,4,33,,12,14,0,2,-,4,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
28,AJ Finch,KK Ahmed,DJM Short,2,0,2,35,,14,15,0,3,-,4,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
29,AJ Finch,KK Ahmed,DJM Short,1,0,1,36,,15,16,0,4,-,4,,0,,,bat,Australia,1,Sydney Cricket Ground,2018,11,Australia_India_2018-11-25,India,Australia,India,False,164
