,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,HM Amla,Shakib Al Hasan,M Mosehle,0,0,0,0,195,0,1,0,1,1,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
1,HM Amla,Shakib Al Hasan,M Mosehle,0,0,0,0,195,0,2,0,2,1,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
2,HM Amla,Shakib Al Hasan,M Mosehle,0,0,0,0,195,0,3,0,3,1,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
3,HM Amla,Shakib Al Hasan,M Mosehle,4,0,4,4,191,4,4,0,4,1,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
4,HM Amla,Shakib Al Hasan,M Mosehle,1,0,1,5,190,5,5,0,5,1,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
5,M Mosehle,Shakib Al Hasan,HM Amla,4,0,4,9,186,4,1,0,6,1,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
6,HM Amla,Taskin Ahmed,M Mosehle,2,0,2,11,184,7,6,0,1,2,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
7,HM Amla,Taskin Ahmed,M Mosehle,0,0,0,11,184,7,7,0,2,2,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
8,HM Amla,Taskin Ahmed,M Mosehle,4,0,4,15,180,11,8,0,3,2,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
9,HM Amla,Taskin Ahmed,M Mosehle,1,0,1,16,179,12,9,0,4,2,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
10,M Mosehle,Taskin Ahmed,HM Amla,1,0,1,17,178,5,2,0,5,2,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
11,HM Amla,Taskin Ahmed,M Mosehle,6,0,6,23,172,18,10,0,6,2,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
12,M Mosehle,Shakib Al Hasan,HM Amla,0,0,0,23,172,5,3,0,1,3,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
13,M Mosehle,Shakib Al Hasan,HM Amla,0,0,0,23,172,5,4,0,2,3,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
14,M Mosehle,Shakib Al Hasan,HM Amla,0,0,0,23,172,5,5,1,3,3,bowled,M Mosehle,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
15,JP Duminy,Shakib Al Hasan,HM Amla,0,0,0,23,172,0,1,1,4,3,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
16,JP Duminy,Shakib Al Hasan,HM Amla,1,0,1,24,171,1,2,1,5,3,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
17,HM Amla,Shakib Al Hasan,JP Duminy,1,0,1,25,170,19,11,1,6,3,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
18,HM Amla,Mehedi Hasan Miraz,JP Duminy,1,0,1,26,169,20,12,1,1,4,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
19,JP Duminy,Mehedi Hasan Miraz,HM Amla,1,0,1,27,168,2,3,1,2,4,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
20,HM Amla,Mehedi Hasan Miraz,JP Duminy,2,0,2,29,166,22,13,1,3,4,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
21,HM Amla,Mehedi Hasan Miraz,JP Duminy,1,0,1,30,165,23,14,1,4,4,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
22,JP Duminy,Mehedi Hasan Miraz,HM Amla,0,0,0,30,165,2,4,1,5,4,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
23,JP Duminy,Mehedi Hasan Miraz,HM Amla,0,0,0,30,165,2,5,1,6,4,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
24,HM Amla,Shakib Al Hasan,JP Duminy,4,0,4,34,161,27,15,1,1,5,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
25,HM Amla,Shakib Al Hasan,JP Duminy,0,0,0,34,161,27,16,1,2,5,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
26,HM Amla,Shakib Al Hasan,JP Duminy,1,0,1,35,160,28,17,1,3,5,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
27,JP Duminy,Shakib Al Hasan,HM Amla,2,0,2,37,158,4,6,1,4,5,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
28,JP Duminy,Shakib Al Hasan,HM Amla,0,0,0,37,158,4,7,1,5,5,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
29,JP Duminy,Shakib Al Hasan,HM Amla,0,0,0,37,158,4,8,2,6,5,bowled,JP Duminy,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
30,HM Amla,Mehedi Hasan Miraz,AB de Villiers,1,0,1,38,157,29,18,2,1,6,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
31,AB de Villiers,Mehedi Hasan Miraz,HM Amla,1,0,1,39,156,1,1,2,2,6,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
32,HM Amla,Mehedi Hasan Miraz,AB de Villiers,1,0,1,40,155,30,19,2,3,6,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
33,AB de Villiers,Mehedi Hasan Miraz,HM Amla,0,0,0,40,155,1,2,2,4,6,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
34,AB de Villiers,Mehedi Hasan Miraz,HM Amla,1,0,1,41,154,2,3,2,5,6,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
35,HM Amla,Mehedi Hasan Miraz,AB de Villiers,4,0,4,45,150,34,20,2,6,6,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
36,AB de Villiers,Shakib Al Hasan,HM Amla,1,0,1,46,149,3,4,2,1,7,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
37,HM Amla,Shakib Al Hasan,AB de Villiers,1,0,1,47,148,35,21,2,2,7,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
38,AB de Villiers,Shakib Al Hasan,HM Amla,0,0,0,47,148,3,5,2,3,7,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
39,AB de Villiers,Shakib Al Hasan,HM Amla,1,0,1,48,147,4,6,2,4,7,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
40,HM Amla,Shakib Al Hasan,AB de Villiers,0,0,0,48,147,35,22,2,5,7,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
41,HM Amla,Shakib Al Hasan,AB de Villiers,1,0,1,49,146,36,23,2,6,7,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
42,HM Amla,Mehedi Hasan Miraz,AB de Villiers,4,0,4,53,142,40,24,2,1,8,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
43,HM Amla,Mehedi Hasan Miraz,AB de Villiers,1,0,1,54,141,41,25,2,2,8,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
44,AB de Villiers,Mehedi Hasan Miraz,HM Amla,6,0,6,60,135,10,7,2,3,8,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
45,AB de Villiers,Mehedi Hasan Miraz,HM Amla,4,0,4,64,131,14,8,2,4,8,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
46,AB de Villiers,Mehedi Hasan Miraz,HM Amla,1,0,1,65,130,15,9,2,5,8,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
47,HM Amla,Mehedi Hasan Miraz,AB de Villiers,1,0,1,66,129,42,26,2,6,8,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
48,HM Amla,Rubel Hossain,AB de Villiers,1,0,1,67,128,43,27,2,1,9,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
49,AB de Villiers,Rubel Hossain,HM Amla,1,0,1,68,127,16,10,2,2,9,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
50,HM Amla,Rubel Hossain,AB de Villiers,1,0,1,69,126,44,28,2,3,9,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
51,AB de Villiers,Rubel Hossain,HM Amla,1,0,1,70,125,17,11,2,4,9,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
52,HM Amla,Rubel Hossain,AB de Villiers,0,0,0,70,125,44,29,2,5,9,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
53,HM Amla,Rubel Hossain,AB de Villiers,4,0,4,74,121,48,30,2,6,9,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
54,AB de Villiers,Mohammad Saifuddin,HM Amla,0,0,0,74,121,17,12,2,1,10,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
55,AB de Villiers,Mohammad Saifuddin,HM Amla,1,0,1,75,120,18,13,2,2,10,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
56,HM Amla,Mohammad Saifuddin,AB de Villiers,1,0,1,76,119,49,31,2,3,10,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
57,AB de Villiers,Mohammad Saifuddin,HM Amla,2,0,2,78,117,20,14,2,4,10,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
58,AB de Villiers,Mohammad Saifuddin,HM Amla,0,0,0,78,117,20,15,3,5,10,caught,AB de Villiers,Imrul Kayes,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
59,DA Miller,Mohammad Saifuddin,HM Amla,0,0,0,78,117,0,1,3,6,10,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
60,HM Amla,Rubel Hossain,DA Miller,1,0,1,79,116,50,32,3,1,11,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
61,DA Miller,Rubel Hossain,HM Amla,0,0,0,79,116,0,2,3,2,11,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
62,DA Miller,Rubel Hossain,HM Amla,1,0,1,80,115,1,3,3,3,11,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
63,HM Amla,Rubel Hossain,DA Miller,1,0,1,81,114,51,33,3,4,11,0,,,-,field,Bangladesh,1,Senwes Park,2017,10,South Africa_Bangladesh_2017-10-29,South Africa,South Africa,Bangladesh,224
