,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,MN van Wyk,SS Cottrell,RR Hendricks,0,0,0,0,165,0,1,0,1,1,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
1,MN van Wyk,SS Cottrell,RR Hendricks,0,0,0,0,165,0,2,0,2,1,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
2,MN van Wyk,SS Cottrell,RR Hendricks,0,0,0,0,165,0,3,0,3,1,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
3,MN van Wyk,SS Cottrell,RR Hendricks,1,0,1,1,164,1,4,0,4,1,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
4,RR Hendricks,SS Cottrell,MN van Wyk,0,0,0,1,164,0,1,0,5,1,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
5,RR Hendricks,SS Cottrell,MN van Wyk,0,0,0,1,164,0,2,0,6,1,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
6,MN van Wyk,CR Brathwaite,RR Hendricks,0,5,5,6,159,1,5,0,1,2,wides,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
7,MN van Wyk,CR Brathwaite,RR Hendricks,0,1,1,7,158,1,6,0,2,2,wides,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
8,MN van Wyk,CR Brathwaite,RR Hendricks,0,0,0,7,158,1,7,0,3,2,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
9,MN van Wyk,CR Brathwaite,RR Hendricks,1,0,1,8,157,2,8,0,4,2,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
10,RR Hendricks,CR Brathwaite,MN van Wyk,0,1,1,9,156,0,3,0,5,2,wides,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
11,RR Hendricks,CR Brathwaite,MN van Wyk,4,0,4,13,152,4,4,0,6,2,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
12,RR Hendricks,CR Brathwaite,MN van Wyk,0,0,0,13,152,4,5,0,7,2,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
13,RR Hendricks,CR Brathwaite,MN van Wyk,0,0,0,13,152,4,6,0,8,2,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
14,RR Hendricks,CR Brathwaite,MN van Wyk,4,0,4,17,148,8,7,0,9,2,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
15,MN van Wyk,SS Cottrell,RR Hendricks,1,0,1,18,147,3,9,0,1,3,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
16,RR Hendricks,SS Cottrell,MN van Wyk,1,0,1,19,146,9,8,0,2,3,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
17,MN van Wyk,SS Cottrell,RR Hendricks,2,0,2,21,144,5,10,0,3,3,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
18,MN van Wyk,SS Cottrell,RR Hendricks,0,0,0,21,144,5,11,0,4,3,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
19,MN van Wyk,SS Cottrell,RR Hendricks,0,0,0,21,144,5,12,0,5,3,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
20,MN van Wyk,SS Cottrell,RR Hendricks,0,0,0,21,144,5,13,0,6,3,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
21,RR Hendricks,AD Russell,MN van Wyk,4,0,4,25,140,13,9,0,1,4,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
22,RR Hendricks,AD Russell,MN van Wyk,1,0,1,26,139,14,10,0,2,4,-,0,,,field,West Indies,1,Kingsmead,2015,01,South Africa_West Indies_2015-01-14,South Africa,South Africa,West Indies,195
