,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,KL Rahul,SL Malinga,S Dhawan,1,0,1,1,1,1,1,1,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
1,S Dhawan,SL Malinga,KL Rahul,0,0,0,1,0,1,2,1,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
2,S Dhawan,SL Malinga,KL Rahul,0,0,0,1,0,2,3,1,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
3,S Dhawan,SL Malinga,KL Rahul,2,0,2,3,2,3,4,1,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
4,S Dhawan,SL Malinga,KL Rahul,0,0,0,3,2,4,5,1,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
5,S Dhawan,SL Malinga,KL Rahul,5,0,5,8,7,5,6,1,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
6,S Dhawan,CBRLS Kumara,KL Rahul,1,0,1,9,8,6,1,2,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
7,KL Rahul,CBRLS Kumara,S Dhawan,1,0,1,10,2,2,2,2,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
8,S Dhawan,CBRLS Kumara,KL Rahul,1,0,1,11,9,7,3,2,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
9,KL Rahul,CBRLS Kumara,S Dhawan,0,0,0,11,2,3,4,2,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
10,KL Rahul,CBRLS Kumara,S Dhawan,4,0,4,15,6,4,5,2,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
11,KL Rahul,CBRLS Kumara,S Dhawan,1,0,1,16,7,5,6,2,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
12,KL Rahul,SL Malinga,S Dhawan,4,0,4,20,11,6,1,3,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
13,KL Rahul,SL Malinga,S Dhawan,4,0,4,24,15,7,2,3,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
14,KL Rahul,SL Malinga,S Dhawan,0,0,0,24,15,8,3,3,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
15,KL Rahul,SL Malinga,S Dhawan,1,0,1,25,16,9,4,3,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
16,S Dhawan,SL Malinga,KL Rahul,1,0,1,26,10,8,5,3,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
17,KL Rahul,SL Malinga,S Dhawan,2,0,2,28,18,10,6,3,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
18,S Dhawan,DM de Silva,KL Rahul,1,0,1,29,11,9,1,4,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
19,KL Rahul,DM de Silva,S Dhawan,4,0,4,33,22,11,2,4,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
20,KL Rahul,DM de Silva,S Dhawan,2,0,2,35,24,12,3,4,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
21,KL Rahul,DM de Silva,S Dhawan,2,0,2,37,26,13,4,4,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
22,KL Rahul,DM de Silva,S Dhawan,1,0,1,38,27,14,5,4,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
23,S Dhawan,DM de Silva,KL Rahul,1,0,1,39,12,10,6,4,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
24,S Dhawan,CBRLS Kumara,KL Rahul,1,0,1,40,13,11,1,5,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
25,KL Rahul,CBRLS Kumara,S Dhawan,4,0,4,44,31,15,2,5,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
26,KL Rahul,CBRLS Kumara,S Dhawan,4,0,4,48,35,16,3,5,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
27,KL Rahul,CBRLS Kumara,S Dhawan,0,0,0,48,35,17,4,5,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
28,KL Rahul,CBRLS Kumara,S Dhawan,0,1,1,49,35,18,5,5,legbyes,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
29,S Dhawan,CBRLS Kumara,KL Rahul,0,0,0,49,13,12,6,5,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
30,KL Rahul,DM de Silva,S Dhawan,1,0,1,50,36,19,1,6,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
31,S Dhawan,DM de Silva,KL Rahul,0,1,1,51,13,13,2,6,byes,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
32,KL Rahul,DM de Silva,S Dhawan,0,0,0,51,36,20,3,6,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
33,KL Rahul,DM de Silva,S Dhawan,1,0,1,52,37,21,4,6,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
34,S Dhawan,DM de Silva,KL Rahul,1,0,1,53,14,14,5,6,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
35,KL Rahul,DM de Silva,S Dhawan,1,0,1,54,38,22,6,6,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
36,KL Rahul,MD Shanaka,S Dhawan,0,0,0,54,38,23,1,7,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
37,KL Rahul,MD Shanaka,S Dhawan,1,0,1,55,39,24,2,7,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
38,S Dhawan,MD Shanaka,KL Rahul,1,0,1,56,15,15,3,7,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
39,KL Rahul,MD Shanaka,S Dhawan,2,0,2,58,41,25,4,7,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
40,KL Rahul,MD Shanaka,S Dhawan,0,0,0,58,41,26,5,7,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
41,KL Rahul,MD Shanaka,S Dhawan,1,0,1,59,42,27,6,7,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
42,KL Rahul,PWH de Silva,S Dhawan,1,0,1,60,43,28,1,8,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
43,S Dhawan,PWH de Silva,KL Rahul,1,0,1,61,16,16,2,8,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
44,KL Rahul,PWH de Silva,S Dhawan,1,0,1,62,44,29,3,8,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
45,S Dhawan,PWH de Silva,KL Rahul,0,0,0,62,16,17,4,8,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
46,S Dhawan,PWH de Silva,KL Rahul,1,0,1,63,17,18,5,8,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
47,KL Rahul,PWH de Silva,S Dhawan,0,0,0,63,44,30,6,8,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
48,S Dhawan,MD Shanaka,KL Rahul,2,0,2,65,19,19,1,9,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
49,S Dhawan,MD Shanaka,KL Rahul,0,0,0,65,19,20,2,9,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
50,S Dhawan,MD Shanaka,KL Rahul,1,0,1,66,20,21,3,9,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
51,KL Rahul,MD Shanaka,S Dhawan,1,0,1,67,45,31,4,9,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
52,S Dhawan,MD Shanaka,KL Rahul,4,0,4,71,24,22,5,9,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
53,S Dhawan,MD Shanaka,KL Rahul,0,0,0,71,24,23,6,9,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
54,KL Rahul,PWH de Silva,S Dhawan,0,0,0,71,45,32,1,10,-,bowled,KL Rahul,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
55,SS Iyer,PWH de Silva,S Dhawan,2,0,2,73,2,1,2,10,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
56,SS Iyer,PWH de Silva,S Dhawan,1,0,1,74,3,2,3,10,-,0,,,,field,India,2,Holkar Cricket Stadium,2020-01-07,India,Sri Lanka
