,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Liton Das,MM Ali,Mohammad Naim,0,0,0,0,,0,1,0,1,0,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
1,Liton Das,MM Ali,Mohammad Naim,0,0,0,0,,0,2,0,2,0,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
2,Liton Das,MM Ali,Mohammad Naim,1,0,1,1,,1,3,0,3,0,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
3,Mohammad Naim,MM Ali,Liton Das,1,0,1,2,,1,1,0,4,0,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
4,Liton Das,MM Ali,Mohammad Naim,4,0,4,6,,5,4,0,5,0,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
5,Liton Das,MM Ali,Mohammad Naim,4,0,4,10,,9,5,0,6,0,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
6,Mohammad Naim,CR Woakes,Liton Das,0,0,0,10,,1,2,0,1,1,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
7,Mohammad Naim,CR Woakes,Liton Das,0,0,0,10,,1,3,0,2,1,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
8,Mohammad Naim,CR Woakes,Liton Das,2,0,2,12,,3,4,0,3,1,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
9,Mohammad Naim,CR Woakes,Liton Das,1,0,1,13,,4,5,0,4,1,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
10,Liton Das,CR Woakes,Mohammad Naim,0,0,0,13,,9,6,0,5,1,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
11,Liton Das,CR Woakes,Mohammad Naim,0,0,0,13,,9,7,0,6,1,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
12,Mohammad Naim,MM Ali,Liton Das,1,0,1,14,,5,6,0,1,2,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
13,Liton Das,MM Ali,Mohammad Naim,0,0,0,14,,9,8,1,2,2,caught,Liton Das,LS Livingstone,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
14,Mohammad Naim,MM Ali,Shakib Al Hasan,0,0,0,14,,5,7,2,3,2,caught,Mohammad Naim,CR Woakes,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
15,Mushfiqur Rahim,MM Ali,Shakib Al Hasan,0,0,0,14,,0,1,2,4,2,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
16,Mushfiqur Rahim,MM Ali,Shakib Al Hasan,0,0,0,14,,0,2,2,5,2,0,,,-,,bat,Bangladesh,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,Bangladesh,England,False,124
