,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,4,0,4,4,4,1,1,-,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
1,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,1,0,1,5,5,2,2,-,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
2,BKG Mendis,Fazalhaq Farooqi,P Nissanka,,1,0,1,6,1,1,3,-,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
3,P Nissanka,Fazalhaq Farooqi,BKG Mendis,{'wides': 1},0,1,1,7,5,3,4,wides,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
4,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,1,0,1,8,6,4,5,-,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
5,BKG Mendis,Fazalhaq Farooqi,P Nissanka,,1,0,1,9,2,2,6,-,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
6,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,0,0,0,9,6,5,7,-,1,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
7,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,1,0,1,10,3,3,1,-,2,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
8,P Nissanka,Mujeeb Ur Rahman,BKG Mendis,,1,0,1,11,7,6,2,-,2,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
9,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,0,0,0,11,3,4,3,-,2,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
10,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,1,0,1,12,4,5,4,-,2,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
11,P Nissanka,Mujeeb Ur Rahman,BKG Mendis,,0,0,0,12,7,7,5,-,2,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
12,P Nissanka,Mujeeb Ur Rahman,BKG Mendis,,2,0,2,14,9,8,6,-,2,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
13,BKG Mendis,Fazalhaq Farooqi,P Nissanka,,1,0,1,15,5,6,1,-,3,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
14,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,0,0,0,15,9,9,2,-,3,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
15,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,0,0,0,15,9,10,3,-,3,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
16,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,0,0,0,15,9,11,4,-,3,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
17,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,4,0,4,19,13,12,5,-,3,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
18,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,4,0,4,23,17,13,6,-,3,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
19,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,0,0,0,23,5,7,1,-,4,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
