,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Mohammad Naim,AJ Turner,Soumya Sarkar,1,0,1,1,120,1,1,0,1,1,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
1,Soumya Sarkar,AJ Turner,Mohammad Naim,0,0,0,1,120,0,1,0,2,1,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
2,Soumya Sarkar,AJ Turner,Mohammad Naim,0,0,0,1,120,0,2,0,3,1,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
3,Soumya Sarkar,AJ Turner,Mohammad Naim,0,0,0,1,120,0,3,0,4,1,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
4,Soumya Sarkar,AJ Turner,Mohammad Naim,0,0,0,1,120,0,4,0,5,1,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
5,Soumya Sarkar,AJ Turner,Mohammad Naim,1,0,1,2,119,1,5,0,6,1,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
6,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,119,1,6,0,1,2,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
7,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,119,1,7,0,2,2,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
8,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,119,1,8,0,3,2,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
9,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,119,1,9,0,4,2,0,,,,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Bangladesh,Australia,127
