,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,AC Gilchrist,IK Pathan,MJ Clarke,1,0,1,1,73,1,1,0,1,1,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
1,MJ Clarke,IK Pathan,AC Gilchrist,0,0,0,1,73,0,1,0,2,1,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
2,MJ Clarke,IK Pathan,AC Gilchrist,1,0,1,2,72,1,2,0,3,1,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
3,AC Gilchrist,IK Pathan,MJ Clarke,0,0,0,2,72,1,2,0,4,1,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
4,AC Gilchrist,IK Pathan,MJ Clarke,4,0,4,6,68,5,3,0,5,1,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
5,AC Gilchrist,IK Pathan,MJ Clarke,0,0,0,6,68,5,4,0,6,1,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
6,MJ Clarke,S Sreesanth,AC Gilchrist,0,0,0,6,68,1,3,0,1,2,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
7,MJ Clarke,S Sreesanth,AC Gilchrist,0,0,0,6,68,1,4,0,2,2,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
8,MJ Clarke,S Sreesanth,AC Gilchrist,0,0,0,6,68,1,5,0,3,2,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
9,MJ Clarke,S Sreesanth,AC Gilchrist,2,0,2,8,66,3,6,0,4,2,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
10,MJ Clarke,S Sreesanth,AC Gilchrist,1,0,1,9,65,4,7,0,5,2,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
11,AC Gilchrist,S Sreesanth,MJ Clarke,2,0,2,11,63,7,5,0,6,2,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
12,MJ Clarke,IK Pathan,AC Gilchrist,0,0,0,11,63,4,8,0,1,3,-,0,,,bat,India,2,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,Australia,India,75
