,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,G Gambhir,B Lee,V Sehwag,0,1,1,1,,0,1,0,wides,0.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Right arm Fast
1,G Gambhir,B Lee,V Sehwag,0,0,0,1,,0,2,0,-,1.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Right arm Fast
2,G Gambhir,B Lee,V Sehwag,0,1,1,2,,0,3,0,wides,1.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Right arm Fast
3,G Gambhir,B Lee,V Sehwag,3,0,3,5,,3,4,0,-,2.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Right arm Fast
4,V Sehwag,B Lee,G Gambhir,0,0,0,5,,0,1,0,-,3.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Right hand Bat,Left hand Bat,Right arm Fast
5,V Sehwag,B Lee,G Gambhir,0,0,0,5,,0,2,0,-,4.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Right hand Bat,Left hand Bat,Right arm Fast
6,V Sehwag,B Lee,G Gambhir,0,0,0,5,,0,3,1,-,5.0,run out,V Sehwag,MJ Clarke,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Right hand Bat,Left hand Bat,Right arm Fast
7,G Gambhir,B Lee,KD Karthik,0,0,0,5,,3,5,1,-,6.0,0,,,0,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Right arm Fast
8,KD Karthik,NW Bracken,G Gambhir,1,0,1,6,,1,1,1,-,1.0,0,,,1,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Right hand Bat,Left hand Bat,Left arm Fast
9,G Gambhir,NW Bracken,KD Karthik,2,0,2,8,,5,6,1,-,2.0,0,,,1,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Left arm Fast
10,G Gambhir,NW Bracken,KD Karthik,4,0,4,12,,9,7,1,-,3.0,0,,,1,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Left arm Fast
11,G Gambhir,NW Bracken,KD Karthik,0,0,0,12,,9,8,2,-,4.0,caught,G Gambhir,JR Hopes,1,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Left hand Bat,Right hand Bat,Left arm Fast
12,RV Uthappa,NW Bracken,KD Karthik,1,0,1,13,,1,1,2,-,5.0,0,,,1,bat,India,1,Melbourne Cricket Ground,2008,02,Australia_India_2008-02-01,Australia,India,Australia,False,74,Right hand Bat,Right hand Bat,Left arm Fast
