,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,AJ Finch,WP Masakadza,AT Carey,0,1,1,1,150,0,1,0,1,legbyes,1,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
1,AT Carey,WP Masakadza,AJ Finch,1,0,1,2,149,1,1,0,2,-,1,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
2,AJ Finch,WP Masakadza,AT Carey,1,0,1,3,148,1,2,0,3,-,1,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
3,AT Carey,WP Masakadza,AJ Finch,0,0,0,3,148,1,2,0,4,-,1,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
4,AT Carey,WP Masakadza,AJ Finch,4,0,4,7,144,5,3,0,5,-,1,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
5,AT Carey,WP Masakadza,AJ Finch,1,0,1,8,143,6,4,0,6,-,1,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
6,AT Carey,B Muzarabani,AJ Finch,1,0,1,9,142,7,5,0,1,-,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
7,AJ Finch,B Muzarabani,AT Carey,1,0,1,10,141,2,3,0,2,-,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
8,AT Carey,B Muzarabani,AJ Finch,0,0,0,10,141,7,6,0,3,-,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
9,AT Carey,B Muzarabani,AJ Finch,1,0,1,11,140,8,7,0,4,-,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
10,AJ Finch,B Muzarabani,AT Carey,0,1,1,12,139,2,4,0,5,wides,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
11,AJ Finch,B Muzarabani,AT Carey,1,0,1,13,138,3,5,0,6,-,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
12,AT Carey,B Muzarabani,AJ Finch,2,0,2,15,136,10,8,0,7,-,2,0,,,bat,Zimbabwe,2,Harare Sports Club,2018,07,Zimbabwe_Australia_2018-07-06,Australia,Australia,Zimbabwe,154
