,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,TM Head,Shaheen Shah Afridi,AJ Finch,,2,0,2,2,2,1,1,-,1,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
1,TM Head,Shaheen Shah Afridi,AJ Finch,,0,0,0,2,2,2,2,-,1,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
2,TM Head,Shaheen Shah Afridi,AJ Finch,{'legbyes': 4},0,4,4,6,2,3,3,legbyes,1,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
3,TM Head,Shaheen Shah Afridi,AJ Finch,,4,0,4,10,6,4,4,-,1,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
4,TM Head,Shaheen Shah Afridi,AJ Finch,,0,0,0,10,6,5,5,-,1,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
5,TM Head,Shaheen Shah Afridi,AJ Finch,,4,0,4,14,10,6,6,-,1,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
6,AJ Finch,Hasan Ali,TM Head,,4,0,4,18,4,1,1,-,2,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
7,AJ Finch,Hasan Ali,TM Head,,1,0,1,19,5,2,2,-,2,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
8,TM Head,Hasan Ali,AJ Finch,,1,0,1,20,11,7,3,-,2,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
9,AJ Finch,Hasan Ali,TM Head,,1,0,1,21,6,3,4,-,2,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
10,TM Head,Hasan Ali,AJ Finch,,4,0,4,25,15,8,5,-,2,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
11,TM Head,Hasan Ali,AJ Finch,,3,0,3,28,18,9,6,-,2,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
12,TM Head,Shaheen Shah Afridi,AJ Finch,,1,0,1,29,19,10,1,-,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
13,AJ Finch,Shaheen Shah Afridi,TM Head,{'wides': 1},0,1,1,30,6,4,2,wides,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
14,AJ Finch,Shaheen Shah Afridi,TM Head,,0,0,0,30,6,5,3,-,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
15,AJ Finch,Shaheen Shah Afridi,TM Head,,1,0,1,31,7,6,4,-,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
16,TM Head,Shaheen Shah Afridi,AJ Finch,,0,0,0,31,19,11,5,-,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
17,TM Head,Shaheen Shah Afridi,AJ Finch,,1,0,1,32,20,12,6,-,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
18,AJ Finch,Shaheen Shah Afridi,TM Head,,1,0,1,33,8,7,7,-,3,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
19,AJ Finch,Haris Rauf,TM Head,{'legbyes': 1},0,1,1,34,8,8,1,legbyes,4,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
20,TM Head,Haris Rauf,AJ Finch,,6,0,6,40,26,13,2,-,4,0,,,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
21,TM Head,Haris Rauf,AJ Finch,,0,0,0,40,26,14,3,-,4,caught,TM Head,Usman Qadir,field,Australia,2,"Gaddafi Stadium, Lahore",2022-04-05,Australia,Pakistan
