,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JJ Roy,MA Starc,JC Buttler,0,0,0,0,125,0,1,0,1,0,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
1,JJ Roy,MA Starc,JC Buttler,1,0,1,1,124,1,2,0,2,0,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
2,JC Buttler,MA Starc,JJ Roy,0,0,0,1,124,0,1,0,3,0,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
3,JC Buttler,MA Starc,JJ Roy,0,0,0,1,124,0,2,0,4,0,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
4,JC Buttler,MA Starc,JJ Roy,4,0,4,5,120,4,3,0,5,0,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
5,JC Buttler,MA Starc,JJ Roy,0,0,0,5,120,4,4,0,6,0,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
6,JJ Roy,JR Hazlewood,JC Buttler,4,0,4,9,116,5,3,0,1,1,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
7,JJ Roy,JR Hazlewood,JC Buttler,1,0,1,10,115,6,4,0,2,1,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
8,JC Buttler,JR Hazlewood,JJ Roy,1,0,1,11,114,5,5,0,3,1,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
9,JJ Roy,JR Hazlewood,JC Buttler,0,0,0,11,114,6,5,0,4,1,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
10,JJ Roy,JR Hazlewood,JC Buttler,1,0,1,12,113,7,6,0,5,1,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
11,JC Buttler,JR Hazlewood,JJ Roy,0,1,1,13,112,5,6,0,6,1,byes,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
12,JC Buttler,PJ Cummins,JJ Roy,0,1,1,14,111,5,7,0,1,2,wides,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
13,JC Buttler,PJ Cummins,JJ Roy,0,0,0,14,111,5,8,0,2,2,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
14,JC Buttler,PJ Cummins,JJ Roy,3,1,4,18,107,8,9,0,3,2,noballs,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
15,JJ Roy,PJ Cummins,JC Buttler,0,0,0,18,107,7,7,0,4,2,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
16,JJ Roy,PJ Cummins,JC Buttler,6,0,6,24,101,13,8,0,5,2,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
17,JJ Roy,PJ Cummins,JC Buttler,0,0,0,24,101,13,9,0,6,2,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
18,JJ Roy,PJ Cummins,JC Buttler,2,0,2,26,99,15,10,0,7,2,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
19,JJ Roy,PJ Cummins,JC Buttler,1,0,1,27,98,16,11,0,8,2,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
20,JJ Roy,AC Agar,JC Buttler,1,0,1,28,97,17,12,0,1,3,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
21,JC Buttler,AC Agar,JJ Roy,0,1,1,29,96,8,10,0,2,3,wides,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
22,JC Buttler,AC Agar,JJ Roy,0,0,0,29,96,8,11,0,3,3,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
23,JC Buttler,AC Agar,JJ Roy,1,0,1,30,95,9,12,0,4,3,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
24,JJ Roy,AC Agar,JC Buttler,1,0,1,31,94,18,13,0,5,3,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
25,JC Buttler,AC Agar,JJ Roy,6,0,6,37,88,15,13,0,6,3,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
26,JC Buttler,AC Agar,JJ Roy,0,0,0,37,88,15,14,0,7,3,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
27,JJ Roy,JR Hazlewood,JC Buttler,0,0,0,37,88,18,14,0,1,4,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
28,JJ Roy,JR Hazlewood,JC Buttler,1,0,1,38,87,19,15,0,2,4,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
29,JC Buttler,JR Hazlewood,JJ Roy,3,0,3,41,84,18,15,0,3,4,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
30,JJ Roy,JR Hazlewood,JC Buttler,1,0,1,42,83,20,16,0,4,4,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
31,JC Buttler,JR Hazlewood,JJ Roy,2,0,2,44,81,20,16,0,5,4,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
32,JC Buttler,JR Hazlewood,JJ Roy,4,0,4,48,77,24,17,0,6,4,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
33,JJ Roy,MA Starc,JC Buttler,1,0,1,49,76,21,17,0,1,5,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
34,JC Buttler,MA Starc,JJ Roy,6,0,6,55,70,30,18,0,2,5,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
35,JC Buttler,MA Starc,JJ Roy,6,0,6,61,64,36,19,0,3,5,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
36,JC Buttler,MA Starc,JJ Roy,0,0,0,61,64,36,20,0,4,5,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
37,JC Buttler,MA Starc,JJ Roy,0,1,1,62,63,36,21,0,5,5,wides,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
38,JC Buttler,MA Starc,JJ Roy,3,0,3,65,60,39,22,0,6,5,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
39,JJ Roy,MA Starc,JC Buttler,1,0,1,66,59,22,18,0,7,5,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
40,JJ Roy,A Zampa,JC Buttler,0,0,0,66,59,22,19,0,1,6,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
41,JJ Roy,A Zampa,JC Buttler,0,0,0,66,59,22,20,1,2,6,-,"{'by': 'Australia', 'umpire': 'Nitin Menon', 'batter': 'JJ Roy', 'decision': 'upheld'}",lbw,JJ Roy,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
42,DJ Malan,A Zampa,JC Buttler,0,0,0,66,59,0,1,1,3,6,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
43,DJ Malan,A Zampa,JC Buttler,1,0,1,67,58,1,2,1,4,6,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
44,JC Buttler,A Zampa,DJ Malan,0,0,0,67,58,39,23,1,5,6,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
45,JC Buttler,A Zampa,DJ Malan,1,0,1,68,57,40,24,1,6,6,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
46,JC Buttler,MA Starc,DJ Malan,1,0,1,69,56,41,25,1,1,7,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
47,DJ Malan,MA Starc,JC Buttler,0,0,0,69,56,1,3,1,2,7,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
48,DJ Malan,MA Starc,JC Buttler,4,0,4,73,52,5,4,1,3,7,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
49,DJ Malan,MA Starc,JC Buttler,1,0,1,74,51,6,5,1,4,7,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
50,JC Buttler,MA Starc,DJ Malan,4,0,4,78,47,45,26,1,5,7,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
51,JC Buttler,MA Starc,DJ Malan,4,0,4,82,43,49,27,1,6,7,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
52,DJ Malan,A Zampa,JC Buttler,1,0,1,83,42,7,6,1,1,8,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
53,JC Buttler,A Zampa,DJ Malan,6,0,6,89,36,55,28,1,2,8,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
54,JC Buttler,A Zampa,DJ Malan,1,0,1,90,35,56,29,1,3,8,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
55,DJ Malan,A Zampa,JC Buttler,1,0,1,91,34,8,7,1,4,8,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
56,JC Buttler,A Zampa,DJ Malan,2,0,2,93,32,58,30,1,5,8,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
57,JC Buttler,A Zampa,DJ Malan,4,0,4,97,28,62,31,1,6,8,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
58,DJ Malan,AC Agar,JC Buttler,0,0,0,97,28,8,8,2,1,9,-,,caught,DJ Malan,MS Wade,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
59,JM Bairstow,AC Agar,JC Buttler,0,0,0,97,28,0,1,2,2,9,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
60,JM Bairstow,AC Agar,JC Buttler,0,0,0,97,28,0,2,2,3,9,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
61,JM Bairstow,AC Agar,JC Buttler,0,0,0,97,28,0,3,2,4,9,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
62,JM Bairstow,AC Agar,JC Buttler,1,0,1,98,27,1,4,2,5,9,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
63,JC Buttler,AC Agar,JM Bairstow,1,0,1,99,26,63,32,2,6,9,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
64,JC Buttler,A Zampa,JM Bairstow,6,0,6,105,20,69,33,2,1,10,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
65,JC Buttler,A Zampa,JM Bairstow,1,0,1,106,19,70,34,2,2,10,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
66,JM Bairstow,A Zampa,JC Buttler,6,0,6,112,13,7,5,2,3,10,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
67,JM Bairstow,A Zampa,JC Buttler,6,0,6,118,7,13,6,2,4,10,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
68,JM Bairstow,A Zampa,JC Buttler,0,0,0,118,7,13,7,2,5,10,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
69,JM Bairstow,A Zampa,JC Buttler,1,0,1,119,6,14,8,2,6,10,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
70,JM Bairstow,AC Agar,JC Buttler,0,4,4,123,2,14,9,2,1,11,byes,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
71,JM Bairstow,AC Agar,JC Buttler,1,0,1,124,1,15,10,2,2,11,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
72,JC Buttler,AC Agar,JM Bairstow,1,0,1,125,0,71,35,2,3,11,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
73,JM Bairstow,AC Agar,JC Buttler,1,0,1,126,-1,16,11,2,4,11,-,,0,,,field,England,2,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,England,Australia,True,126
