,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Nazmul Hossain Shanto,B Kumar,Liton Das,0,0,0,0,184,0,1,0,1,1,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
1,Nazmul Hossain Shanto,B Kumar,Liton Das,0,0,0,0,184,0,2,0,2,1,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
2,Nazmul Hossain Shanto,B Kumar,Liton Das,1,0,1,1,183,1,3,0,3,1,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
3,Liton Das,B Kumar,Nazmul Hossain Shanto,1,0,1,2,182,1,1,0,4,1,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
4,Nazmul Hossain Shanto,B Kumar,Liton Das,0,0,0,2,182,1,4,0,5,1,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
5,Nazmul Hossain Shanto,B Kumar,Liton Das,0,0,0,2,182,1,5,0,6,1,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
6,Liton Das,Arshdeep Singh,Nazmul Hossain Shanto,4,0,4,6,178,5,2,0,1,2,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
7,Liton Das,Arshdeep Singh,Nazmul Hossain Shanto,0,0,0,6,178,5,3,0,2,2,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
8,Liton Das,Arshdeep Singh,Nazmul Hossain Shanto,4,0,4,10,174,9,4,0,3,2,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
9,Liton Das,Arshdeep Singh,Nazmul Hossain Shanto,0,0,0,10,174,9,5,0,4,2,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
10,Liton Das,Arshdeep Singh,Nazmul Hossain Shanto,0,0,0,10,174,9,6,0,5,2,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
11,Liton Das,Arshdeep Singh,Nazmul Hossain Shanto,4,0,4,14,170,13,7,0,6,2,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
12,Nazmul Hossain Shanto,B Kumar,Liton Das,1,0,1,15,169,2,6,0,1,3,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
13,Liton Das,B Kumar,Nazmul Hossain Shanto,6,0,6,21,163,19,8,0,2,3,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
14,Liton Das,B Kumar,Nazmul Hossain Shanto,4,0,4,25,159,23,9,0,3,3,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
15,Liton Das,B Kumar,Nazmul Hossain Shanto,4,0,4,29,155,27,10,0,4,3,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
16,Liton Das,B Kumar,Nazmul Hossain Shanto,1,0,1,30,154,28,11,0,5,3,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
17,Nazmul Hossain Shanto,B Kumar,Liton Das,0,0,0,30,154,2,7,0,6,3,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
18,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,2,0,2,32,152,30,12,0,1,4,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
19,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,0,0,0,32,152,30,13,0,2,4,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
20,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,3,0,3,35,149,33,14,0,3,4,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
21,Nazmul Hossain Shanto,Mohammed Shami,Liton Das,0,0,0,35,149,2,8,0,4,4,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
22,Nazmul Hossain Shanto,Mohammed Shami,Liton Das,0,0,0,35,149,2,9,0,5,4,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
23,Nazmul Hossain Shanto,Mohammed Shami,Liton Das,0,0,0,35,149,2,10,0,6,4,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
24,Liton Das,B Kumar,Nazmul Hossain Shanto,0,0,0,35,149,33,15,0,1,5,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
25,Liton Das,B Kumar,Nazmul Hossain Shanto,1,0,1,36,148,34,16,0,2,5,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
26,Nazmul Hossain Shanto,B Kumar,Liton Das,1,0,1,37,147,3,11,0,3,5,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
27,Liton Das,B Kumar,Nazmul Hossain Shanto,0,0,0,37,147,34,17,0,4,5,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
28,Liton Das,B Kumar,Nazmul Hossain Shanto,6,0,6,43,141,40,18,0,5,5,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
29,Liton Das,B Kumar,Nazmul Hossain Shanto,1,0,1,44,140,41,19,0,6,5,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
30,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,4,0,4,48,136,45,20,0,1,6,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
31,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,6,0,6,54,130,51,21,0,2,6,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
32,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,0,0,0,54,130,51,22,0,3,6,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
33,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,4,0,4,58,126,55,23,0,4,6,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
34,Liton Das,Mohammed Shami,Nazmul Hossain Shanto,1,0,1,59,125,56,24,0,5,6,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
35,Nazmul Hossain Shanto,Mohammed Shami,Liton Das,1,0,1,60,124,4,12,0,6,6,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
36,Nazmul Hossain Shanto,AR Patel,Liton Das,1,0,1,61,123,5,13,0,1,7,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
37,Liton Das,AR Patel,Nazmul Hossain Shanto,2,0,2,63,121,58,25,0,2,7,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
38,Liton Das,AR Patel,Nazmul Hossain Shanto,1,0,1,64,120,59,26,0,3,7,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
39,Nazmul Hossain Shanto,AR Patel,Liton Das,0,0,0,64,120,5,14,0,4,7,0,,,-,field,Bangladesh,2,Adelaide Oval,2022,11,India_Bangladesh_2022-11-02,India,Bangladesh,India,145
