,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,H Masakadza,DW Steyn,V Sibanda,0,0,0,0,123,0,1,0,1,1,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
1,H Masakadza,DW Steyn,V Sibanda,0,0,0,0,123,0,2,0,2,1,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
2,H Masakadza,DW Steyn,V Sibanda,0,0,0,0,123,0,3,0,3,1,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
3,H Masakadza,DW Steyn,V Sibanda,0,0,0,0,123,0,4,0,4,1,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
4,H Masakadza,DW Steyn,V Sibanda,1,0,1,1,122,1,5,0,5,1,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
5,V Sibanda,DW Steyn,H Masakadza,0,0,0,1,122,0,1,0,6,1,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
6,H Masakadza,M Morkel,V Sibanda,0,0,0,1,122,1,6,0,1,2,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
7,H Masakadza,M Morkel,V Sibanda,1,0,1,2,121,2,7,0,2,2,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
8,V Sibanda,M Morkel,H Masakadza,0,0,0,2,121,0,2,0,3,2,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
9,V Sibanda,M Morkel,H Masakadza,0,0,0,2,121,0,3,1,4,2,bowled,V Sibanda,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
10,BRM Taylor,M Morkel,H Masakadza,1,0,1,3,120,1,1,1,5,2,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
11,H Masakadza,M Morkel,BRM Taylor,0,0,0,3,120,2,8,1,6,2,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
12,BRM Taylor,DW Steyn,H Masakadza,1,0,1,4,119,2,2,1,1,3,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
13,H Masakadza,DW Steyn,BRM Taylor,0,0,0,4,119,2,9,1,2,3,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
14,H Masakadza,DW Steyn,BRM Taylor,0,0,0,4,119,2,10,1,3,3,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
15,H Masakadza,DW Steyn,BRM Taylor,0,0,0,4,119,2,11,1,4,3,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
16,H Masakadza,DW Steyn,BRM Taylor,0,0,0,4,119,2,12,1,5,3,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
17,H Masakadza,DW Steyn,BRM Taylor,0,0,0,4,119,2,13,1,6,3,0,,,-,field,South Africa,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012,09,South Africa_Zimbabwe_2012-09-20,South Africa,Zimbabwe,South Africa,93
