,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Rizwan,B Kumar,Babar Azam,,0,0,0,0,,0,1,0,1,0,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
1,Mohammad Rizwan,B Kumar,Babar Azam,"{'by': 'Pakistan', 'umpire': 'RSA Palliyaguruge', 'batter': 'Mohammad Rizwan', 'decision': 'upheld'}",0,0,0,0,,0,2,0,2,0,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
2,Mohammad Rizwan,B Kumar,Babar Azam,,1,0,1,1,,1,3,0,3,0,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
3,Babar Azam,B Kumar,Mohammad Rizwan,,4,0,4,5,,4,1,0,4,0,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
4,Babar Azam,B Kumar,Mohammad Rizwan,,1,0,1,6,,5,2,0,5,0,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
5,Mohammad Rizwan,B Kumar,Babar Azam,"{'by': 'India', 'umpire': 'RSA Palliyaguruge', 'batter': 'Mohammad Rizwan', 'decision': 'struck down'}",0,0,0,6,,1,4,0,6,0,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
6,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,0,0,0,6,,5,3,0,1,1,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
7,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,0,1,1,7,,5,4,0,2,1,wides,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
8,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,0,0,0,7,,5,5,0,3,1,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
9,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,0,1,1,8,,5,6,0,4,1,wides,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
10,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,0,0,0,8,,5,7,0,5,1,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
11,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,1,0,1,9,,6,8,0,6,1,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
12,Mohammad Rizwan,Arshdeep Singh,Babar Azam,,1,0,1,10,,2,5,0,7,1,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
13,Babar Azam,Arshdeep Singh,Mohammad Rizwan,,4,0,4,14,,10,9,0,8,1,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
14,Mohammad Rizwan,B Kumar,Babar Azam,,0,0,0,14,,2,6,0,1,2,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
15,Mohammad Rizwan,B Kumar,Babar Azam,,1,0,1,15,,3,7,0,2,2,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
16,Babar Azam,B Kumar,Mohammad Rizwan,,0,0,0,15,,10,10,0,3,2,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
17,Babar Azam,B Kumar,Mohammad Rizwan,,0,0,0,15,,10,11,1,4,2,-,caught,Babar Azam,Arshdeep Singh,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
18,Fakhar Zaman,B Kumar,Mohammad Rizwan,,4,0,4,19,,4,1,1,5,2,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
19,Fakhar Zaman,B Kumar,Mohammad Rizwan,,0,0,0,19,,4,2,1,6,2,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
20,Mohammad Rizwan,Arshdeep Singh,Fakhar Zaman,,0,0,0,19,,3,8,1,1,3,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
21,Mohammad Rizwan,Arshdeep Singh,Fakhar Zaman,,0,0,0,19,,3,9,1,2,3,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
22,Mohammad Rizwan,Arshdeep Singh,Fakhar Zaman,,0,0,0,19,,3,10,1,3,3,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
23,Mohammad Rizwan,Arshdeep Singh,Fakhar Zaman,,4,0,4,23,,7,11,1,4,3,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
24,Mohammad Rizwan,Arshdeep Singh,Fakhar Zaman,,0,0,0,23,,7,12,1,5,3,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
