,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,AT Carey,Mahedi Hasan,JR Philippe,0,0,0,0,131,0,1,1,1,bowled,AT Carey,,0,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
1,MR Marsh,Mahedi Hasan,JR Philippe,1,0,1,1,130,1,1,1,2,0,,,0,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
2,JR Philippe,Mahedi Hasan,MR Marsh,1,0,1,2,129,1,1,1,3,0,,,0,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
3,MR Marsh,Mahedi Hasan,JR Philippe,0,0,0,2,129,1,2,1,4,0,,,0,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
4,MR Marsh,Mahedi Hasan,JR Philippe,0,0,0,2,129,1,3,1,5,0,,,0,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
5,MR Marsh,Mahedi Hasan,JR Philippe,0,0,0,2,129,1,4,1,6,0,,,0,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
6,JR Philippe,Nasum Ahmed,MR Marsh,0,0,0,2,129,1,2,1,1,0,,,1,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
7,JR Philippe,Nasum Ahmed,MR Marsh,6,0,6,8,123,7,3,1,2,0,,,1,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
8,JR Philippe,Nasum Ahmed,MR Marsh,2,0,2,10,121,9,4,1,3,0,,,1,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
9,JR Philippe,Nasum Ahmed,MR Marsh,0,0,0,10,121,9,5,2,4,stumped,JR Philippe,Nurul Hasan,1,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
10,MC Henriques,Nasum Ahmed,MR Marsh,1,0,1,11,120,1,1,2,5,0,,,1,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
11,MR Marsh,Nasum Ahmed,MC Henriques,0,0,0,11,120,1,5,2,6,0,,,1,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
12,MC Henriques,Shakib Al Hasan,MR Marsh,0,0,0,11,120,1,2,3,1,bowled,MC Henriques,,2,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
13,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,11,120,0,1,3,2,0,,,2,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
14,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,11,120,0,2,3,3,0,,,2,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
15,MS Wade,Shakib Al Hasan,MR Marsh,0,1,1,12,119,0,3,3,4,0,,,2,wides,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
16,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,12,119,0,4,3,5,0,,,2,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
17,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,12,119,0,5,3,6,0,,,2,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
18,MS Wade,Shakib Al Hasan,MR Marsh,1,0,1,13,118,1,6,3,7,0,,,2,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
19,MS Wade,Mahedi Hasan,MR Marsh,0,0,0,13,118,1,7,3,1,0,,,3,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
