,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
20,MS Wade,Mahedi Hasan,MR Marsh,2,0,2,15,116,3,8,3,2,0,,,3,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
21,MS Wade,Mahedi Hasan,MR Marsh,0,0,0,15,116,3,9,3,3,0,,,3,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
22,MS Wade,Mahedi Hasan,MR Marsh,1,0,1,16,115,4,10,3,4,0,,,3,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
23,MR Marsh,Mahedi Hasan,MS Wade,4,0,4,20,111,5,6,3,5,0,,,3,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
24,MR Marsh,Mahedi Hasan,MS Wade,1,0,1,21,110,6,7,3,6,0,,,3,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
25,MR Marsh,Shakib Al Hasan,MS Wade,0,0,0,21,110,6,8,3,1,0,,,4,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
26,MR Marsh,Shakib Al Hasan,MS Wade,0,0,0,21,110,6,9,3,2,0,,,4,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
27,MR Marsh,Shakib Al Hasan,MS Wade,4,0,4,25,106,10,10,3,3,0,,,4,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
28,MR Marsh,Shakib Al Hasan,MS Wade,0,0,0,25,106,10,11,3,4,0,,,4,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
29,MR Marsh,Shakib Al Hasan,MS Wade,1,0,1,26,105,11,12,3,5,0,,,4,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
30,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,26,105,4,11,3,6,0,,,4,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
31,MR Marsh,Mustafizur Rahman,MS Wade,0,0,0,26,105,11,13,3,1,0,,,5,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
32,MR Marsh,Mustafizur Rahman,MS Wade,0,0,0,26,105,11,14,3,2,0,,,5,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
33,MR Marsh,Mustafizur Rahman,MS Wade,1,0,1,27,104,12,15,3,3,0,,,5,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
34,MS Wade,Mustafizur Rahman,MR Marsh,0,0,0,27,104,4,12,3,4,0,,,5,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
35,MS Wade,Mustafizur Rahman,MR Marsh,1,0,1,28,103,5,13,3,5,0,,,5,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
36,MR Marsh,Mustafizur Rahman,MS Wade,0,0,0,28,103,12,16,3,6,0,,,5,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
37,MS Wade,Mahedi Hasan,MR Marsh,1,0,1,29,102,6,14,3,1,0,,,6,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
38,MR Marsh,Mahedi Hasan,MS Wade,2,0,2,31,100,14,17,3,2,0,,,6,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
39,MR Marsh,Mahedi Hasan,MS Wade,0,0,0,31,100,14,18,3,3,0,,,6,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
40,MR Marsh,Mahedi Hasan,MS Wade,1,0,1,32,99,15,19,3,4,0,,,6,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
41,MS Wade,Mahedi Hasan,MR Marsh,1,0,1,33,98,7,15,3,5,0,,,6,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
42,MR Marsh,Mahedi Hasan,MS Wade,1,0,1,34,97,16,20,3,6,0,,,6,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
43,MR Marsh,Shoriful Islam,MS Wade,4,0,4,38,93,20,21,3,1,0,,,7,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
44,MR Marsh,Shoriful Islam,MS Wade,0,0,0,38,93,20,22,3,2,0,,,7,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
45,MR Marsh,Shoriful Islam,MS Wade,1,0,1,39,92,21,23,3,3,0,,,7,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
46,MS Wade,Shoriful Islam,MR Marsh,1,0,1,40,91,8,16,3,4,0,,,7,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
47,MR Marsh,Shoriful Islam,MS Wade,0,1,1,41,90,21,24,3,5,0,,,7,legbyes,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
48,MS Wade,Shoriful Islam,MR Marsh,1,0,1,42,89,9,17,3,6,0,,,7,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
49,MS Wade,Mahmudullah,MR Marsh,0,0,0,42,89,9,18,3,1,0,,,8,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
50,MS Wade,Mahmudullah,MR Marsh,2,0,2,44,87,11,19,3,2,0,,,8,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
51,MS Wade,Mahmudullah,MR Marsh,1,0,1,45,86,12,20,3,3,0,,,8,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
52,MR Marsh,Mahmudullah,MS Wade,1,0,1,46,85,22,25,3,4,0,,,8,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
53,MS Wade,Mahmudullah,MR Marsh,1,0,1,47,84,13,21,3,5,0,,,8,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
54,MR Marsh,Mahmudullah,MS Wade,1,0,1,48,83,23,26,3,6,0,,,8,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
55,MR Marsh,Nasum Ahmed,MS Wade,1,0,1,49,82,24,27,3,1,0,,,9,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
56,MS Wade,Nasum Ahmed,MR Marsh,0,0,0,49,82,13,22,3,2,0,,,9,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
57,MS Wade,Nasum Ahmed,MR Marsh,0,0,0,49,82,13,23,3,3,0,,,9,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
58,MS Wade,Nasum Ahmed,MR Marsh,0,0,0,49,82,13,24,4,4,caught,MS Wade,Mustafizur Rahman,9,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
59,AC Agar,Nasum Ahmed,MR Marsh,0,1,1,50,81,0,1,4,5,0,,,9,wides,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
60,AC Agar,Nasum Ahmed,MR Marsh,1,0,1,51,80,1,2,4,6,0,,,9,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
61,MR Marsh,Nasum Ahmed,AC Agar,1,0,1,52,79,25,28,4,7,0,,,9,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
62,MR Marsh,Mahedi Hasan,AC Agar,1,0,1,53,78,26,29,4,1,0,,,10,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
63,AC Agar,Mahedi Hasan,MR Marsh,1,0,1,54,77,2,3,4,2,0,,,10,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
64,MR Marsh,Mahedi Hasan,AC Agar,0,3,3,57,74,26,30,4,3,0,,,10,wides,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
65,MR Marsh,Mahedi Hasan,AC Agar,0,0,0,57,74,26,31,4,4,0,,,10,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
66,MR Marsh,Mahedi Hasan,AC Agar,1,0,1,58,73,27,32,4,5,0,,,10,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
67,AC Agar,Mahedi Hasan,MR Marsh,0,0,0,58,73,2,4,4,6,0,,,10,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
68,AC Agar,Mahedi Hasan,MR Marsh,0,0,0,58,73,2,5,4,7,0,,,10,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
69,MR Marsh,Shakib Al Hasan,AC Agar,4,0,4,62,69,31,33,4,1,0,,,11,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
70,MR Marsh,Shakib Al Hasan,AC Agar,1,0,1,63,68,32,34,4,2,0,,,11,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
71,AC Agar,Shakib Al Hasan,MR Marsh,1,0,1,64,67,3,6,4,3,0,,,11,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
72,MR Marsh,Shakib Al Hasan,AC Agar,1,0,1,65,66,33,35,4,4,0,,,11,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
73,AC Agar,Shakib Al Hasan,MR Marsh,2,0,2,67,64,5,7,4,5,0,,,11,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
74,AC Agar,Shakib Al Hasan,MR Marsh,0,0,0,67,64,5,8,4,6,0,,,11,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
75,MR Marsh,Mustafizur Rahman,AC Agar,1,0,1,68,63,34,36,4,1,0,,,12,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
76,AC Agar,Mustafizur Rahman,MR Marsh,0,0,0,68,63,5,9,4,2,0,,,12,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
77,AC Agar,Mustafizur Rahman,MR Marsh,1,0,1,69,62,6,10,4,3,0,,,12,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
78,MR Marsh,Mustafizur Rahman,AC Agar,0,0,0,69,62,34,37,4,4,0,,,12,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
79,MR Marsh,Mustafizur Rahman,AC Agar,1,0,1,70,61,35,38,4,5,0,,,12,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
80,AC Agar,Mustafizur Rahman,MR Marsh,1,0,1,71,60,7,11,4,6,0,,,12,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
81,AC Agar,Nasum Ahmed,MR Marsh,0,0,0,71,60,7,12,4,1,0,,,13,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
82,AC Agar,Nasum Ahmed,MR Marsh,0,0,0,71,60,7,13,5,2,hit wicket,AC Agar,,13,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
83,AJ Turner,Nasum Ahmed,MR Marsh,0,0,0,71,60,0,1,5,3,0,,,13,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
84,AJ Turner,Nasum Ahmed,MR Marsh,1,0,1,72,59,1,2,5,4,0,,,13,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
85,MR Marsh,Nasum Ahmed,AJ Turner,1,0,1,73,58,36,39,5,5,0,,,13,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
86,AJ Turner,Nasum Ahmed,MR Marsh,0,0,0,73,58,1,3,5,6,0,,,13,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
87,MR Marsh,Shakib Al Hasan,AJ Turner,6,0,6,79,52,42,40,5,1,0,,,14,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
88,MR Marsh,Shakib Al Hasan,AJ Turner,1,0,1,80,51,43,41,5,2,0,,,14,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
89,AJ Turner,Shakib Al Hasan,MR Marsh,0,1,1,81,50,1,4,5,3,0,,,14,legbyes,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'AJ Turner', 'decision': 'struck down'}",field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
90,MR Marsh,Shakib Al Hasan,AJ Turner,0,0,0,81,50,43,42,5,4,0,,,14,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
91,MR Marsh,Shakib Al Hasan,AJ Turner,0,0,0,81,50,43,43,5,5,0,,,14,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
92,MR Marsh,Shakib Al Hasan,AJ Turner,1,0,1,82,49,44,44,5,6,0,,,14,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
93,MR Marsh,Nasum Ahmed,AJ Turner,1,0,1,83,48,45,45,5,1,0,,,15,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
94,AJ Turner,Nasum Ahmed,MR Marsh,1,0,1,84,47,2,5,5,2,0,,,15,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
95,MR Marsh,Nasum Ahmed,AJ Turner,0,0,0,84,47,45,46,6,3,caught,MR Marsh,Shoriful Islam,15,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
96,AJ Turner,Nasum Ahmed,MA Starc,1,0,1,85,46,3,6,6,4,0,,,15,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
97,MA Starc,Nasum Ahmed,AJ Turner,1,0,1,86,45,1,1,6,5,0,,,15,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
98,AJ Turner,Nasum Ahmed,MA Starc,0,0,0,86,45,3,7,6,6,0,,,15,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
99,MA Starc,Shoriful Islam,AJ Turner,0,0,0,86,45,1,2,6,1,0,,,16,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
100,MA Starc,Shoriful Islam,AJ Turner,4,0,4,90,41,5,3,6,2,0,,,16,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
101,MA Starc,Shoriful Islam,AJ Turner,0,0,0,90,41,5,4,6,3,0,,,16,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
102,MA Starc,Shoriful Islam,AJ Turner,1,0,1,91,40,6,5,6,4,0,,,16,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
103,AJ Turner,Shoriful Islam,MA Starc,1,0,1,92,39,4,8,6,5,0,,,16,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
104,MA Starc,Shoriful Islam,AJ Turner,3,0,3,95,36,9,6,6,6,0,,,16,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
105,MA Starc,Mustafizur Rahman,AJ Turner,1,0,1,96,35,10,7,6,1,0,,,17,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
106,AJ Turner,Mustafizur Rahman,MA Starc,4,0,4,100,31,8,9,6,2,0,,,17,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
107,AJ Turner,Mustafizur Rahman,MA Starc,0,0,0,100,31,8,10,7,3,caught,AJ Turner,Mahmudullah,17,-,,field,Australia,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-03,Bangladesh,Australia,Bangladesh,False,108
