,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,BA King,MG Bracewell,SSJ Brooks,1,0,1,1,1,1,1,1,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
1,SSJ Brooks,MG Bracewell,BA King,0,0,0,1,0,1,2,1,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
2,SSJ Brooks,MG Bracewell,BA King,0,0,0,1,0,2,3,1,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
3,SSJ Brooks,MG Bracewell,BA King,4,0,4,5,4,3,4,1,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
4,SSJ Brooks,MG Bracewell,BA King,0,0,0,5,4,4,5,1,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
5,SSJ Brooks,MG Bracewell,BA King,2,0,2,7,6,5,6,1,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
6,BA King,MJ Santner,SSJ Brooks,1,0,1,8,2,2,1,2,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
7,SSJ Brooks,MJ Santner,BA King,0,0,0,8,6,6,2,2,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
8,SSJ Brooks,MJ Santner,BA King,0,2,2,10,6,7,3,2,wides,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
9,BA King,MJ Santner,SSJ Brooks,0,0,0,10,2,3,4,2,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
10,BA King,MJ Santner,SSJ Brooks,0,0,0,10,2,4,5,2,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
11,BA King,MJ Santner,SSJ Brooks,0,0,0,10,2,5,6,2,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
12,BA King,MJ Santner,SSJ Brooks,0,0,0,10,2,6,7,2,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
13,SSJ Brooks,TG Southee,BA King,0,0,0,10,6,8,1,3,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
14,SSJ Brooks,TG Southee,BA King,4,0,4,14,10,9,2,3,-,,0,,,bat,New Zealand,2,"Sabina Park, Kingston, Jamaica",2022-08-14,West Indies,West Indies,New Zealand
