,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RR Hendricks,AM Hardie,T Bavuma,1,0,1,1,225,1,1,0,1,1,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
1,T Bavuma,AM Hardie,RR Hendricks,4,0,4,5,221,4,1,0,2,1,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
2,T Bavuma,AM Hardie,RR Hendricks,0,0,0,5,221,4,2,0,3,1,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
3,T Bavuma,AM Hardie,RR Hendricks,0,0,0,5,221,4,3,0,4,1,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
4,T Bavuma,AM Hardie,RR Hendricks,4,0,4,9,217,8,4,0,5,1,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
5,T Bavuma,AM Hardie,RR Hendricks,1,0,1,10,216,9,5,0,6,1,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
6,T Bavuma,JP Behrendorff,RR Hendricks,0,0,0,10,216,9,6,0,1,2,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
7,T Bavuma,JP Behrendorff,RR Hendricks,6,0,6,16,210,15,7,0,2,2,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
8,T Bavuma,JP Behrendorff,RR Hendricks,0,0,0,16,210,15,8,0,3,2,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
9,T Bavuma,JP Behrendorff,RR Hendricks,2,0,2,18,208,17,9,0,4,2,-,0,,,,field,Australia,1,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-01,Australia,South Africa,Australia,164
