,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,MVT Fernando,KL Rahul,2,0,2,2,2,1,1,1,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
1,RG Sharma,MVT Fernando,KL Rahul,4,0,4,6,6,2,2,1,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
2,RG Sharma,MVT Fernando,KL Rahul,0,0,0,6,6,3,3,1,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
3,RG Sharma,MVT Fernando,KL Rahul,3,0,3,9,9,4,4,1,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
4,KL Rahul,MVT Fernando,RG Sharma,0,0,0,9,0,1,5,1,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
5,KL Rahul,MVT Fernando,RG Sharma,1,0,1,10,1,2,6,1,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
6,KL Rahul,A Dananjaya,RG Sharma,1,0,1,11,2,3,1,2,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
7,RG Sharma,A Dananjaya,KL Rahul,0,0,0,11,9,5,2,2,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
8,RG Sharma,A Dananjaya,KL Rahul,1,0,1,12,10,6,3,2,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
9,KL Rahul,A Dananjaya,RG Sharma,0,0,0,12,2,4,4,2,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
10,KL Rahul,A Dananjaya,RG Sharma,0,0,0,12,2,5,5,2,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
11,KL Rahul,A Dananjaya,RG Sharma,1,0,1,13,3,6,6,2,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
12,KL Rahul,PVD Chameera,RG Sharma,1,0,1,14,4,7,1,3,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
13,RG Sharma,PVD Chameera,KL Rahul,1,0,1,15,11,7,2,3,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
14,KL Rahul,PVD Chameera,RG Sharma,0,0,0,15,4,8,3,3,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
15,KL Rahul,PVD Chameera,RG Sharma,4,0,4,19,8,9,4,3,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
16,KL Rahul,PVD Chameera,RG Sharma,1,0,1,20,9,10,5,3,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
17,RG Sharma,PVD Chameera,KL Rahul,0,0,0,20,11,8,6,3,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
18,KL Rahul,A Dananjaya,RG Sharma,4,0,4,24,13,11,1,4,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
19,KL Rahul,A Dananjaya,RG Sharma,0,0,0,24,13,12,2,4,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
20,KL Rahul,A Dananjaya,RG Sharma,1,0,1,25,14,13,3,4,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
21,RG Sharma,A Dananjaya,KL Rahul,4,0,4,29,15,9,4,4,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
22,RG Sharma,A Dananjaya,KL Rahul,1,0,1,30,16,10,5,4,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
23,KL Rahul,A Dananjaya,RG Sharma,1,0,1,31,15,14,6,4,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
24,KL Rahul,AD Mathews,RG Sharma,1,0,1,32,16,15,1,5,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
25,RG Sharma,AD Mathews,KL Rahul,0,0,0,32,16,11,2,5,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
26,RG Sharma,AD Mathews,KL Rahul,1,0,1,33,17,12,3,5,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
27,KL Rahul,AD Mathews,RG Sharma,4,0,4,37,20,16,4,5,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
28,KL Rahul,AD Mathews,RG Sharma,1,0,1,38,21,17,5,5,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
29,RG Sharma,AD Mathews,KL Rahul,0,0,0,38,17,13,6,5,caught,RG Sharma,PVD Chameera,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
30,KL Rahul,PVD Chameera,SS Iyer,1,0,1,39,22,18,1,6,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
31,SS Iyer,PVD Chameera,KL Rahul,1,0,1,40,1,1,2,6,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
32,KL Rahul,PVD Chameera,SS Iyer,0,1,1,41,22,19,3,6,0,,,wides,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
33,KL Rahul,PVD Chameera,SS Iyer,1,0,1,42,23,20,4,6,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
34,SS Iyer,PVD Chameera,KL Rahul,0,0,0,42,1,2,5,6,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
35,SS Iyer,PVD Chameera,KL Rahul,4,0,4,46,5,3,6,6,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
36,SS Iyer,PVD Chameera,KL Rahul,4,0,4,50,9,4,7,6,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
37,KL Rahul,AD Mathews,SS Iyer,0,0,0,50,23,21,1,7,0,,,-,"{'by': 'India', 'umpire': 'Nitin Menon', 'batter': 'KL Rahul', 'decision': 'upheld'}",field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
38,KL Rahul,AD Mathews,SS Iyer,1,0,1,51,24,22,2,7,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
39,SS Iyer,AD Mathews,KL Rahul,0,0,0,51,9,5,3,7,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
40,SS Iyer,AD Mathews,KL Rahul,0,0,0,51,9,6,4,7,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
41,SS Iyer,AD Mathews,KL Rahul,1,0,1,52,10,7,5,7,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
42,KL Rahul,AD Mathews,SS Iyer,1,0,1,53,25,23,6,7,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
43,KL Rahul,NLTC Perera,SS Iyer,2,0,2,55,27,24,1,8,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
44,KL Rahul,NLTC Perera,SS Iyer,4,0,4,59,31,25,2,8,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
45,KL Rahul,NLTC Perera,SS Iyer,4,0,4,63,35,26,3,8,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
46,KL Rahul,NLTC Perera,SS Iyer,1,0,1,64,36,27,4,8,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
47,SS Iyer,NLTC Perera,KL Rahul,0,0,0,64,10,8,5,8,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
48,SS Iyer,NLTC Perera,KL Rahul,1,0,1,65,11,9,6,8,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
49,SS Iyer,AD Mathews,KL Rahul,1,0,1,66,12,10,1,9,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
50,KL Rahul,AD Mathews,SS Iyer,1,0,1,67,37,28,2,9,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
51,SS Iyer,AD Mathews,KL Rahul,1,0,1,68,13,11,3,9,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
52,KL Rahul,AD Mathews,SS Iyer,0,0,0,68,37,29,4,9,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
53,KL Rahul,AD Mathews,SS Iyer,6,0,6,74,43,30,5,9,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
54,KL Rahul,AD Mathews,SS Iyer,0,1,1,75,43,31,6,9,0,,,byes,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
55,KL Rahul,N Pradeep,SS Iyer,1,0,1,76,44,32,1,10,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
56,SS Iyer,N Pradeep,KL Rahul,1,0,1,77,14,12,2,10,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
57,KL Rahul,N Pradeep,SS Iyer,4,0,4,81,48,33,3,10,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
58,KL Rahul,N Pradeep,SS Iyer,1,0,1,82,49,34,4,10,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
59,SS Iyer,N Pradeep,KL Rahul,1,0,1,83,15,13,5,10,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
60,KL Rahul,N Pradeep,SS Iyer,1,0,1,84,50,35,6,10,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
61,KL Rahul,MVT Fernando,SS Iyer,0,0,0,84,50,36,1,11,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
62,KL Rahul,MVT Fernando,SS Iyer,4,0,4,88,54,37,2,11,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
63,KL Rahul,MVT Fernando,SS Iyer,1,0,1,89,55,38,3,11,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
64,SS Iyer,MVT Fernando,KL Rahul,1,0,1,90,16,14,4,11,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
65,KL Rahul,MVT Fernando,SS Iyer,0,0,0,90,55,39,5,11,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
66,KL Rahul,MVT Fernando,SS Iyer,0,0,0,90,55,40,6,11,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
67,SS Iyer,A Dananjaya,KL Rahul,4,0,4,94,20,15,1,12,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
68,SS Iyer,A Dananjaya,KL Rahul,1,0,1,95,21,16,2,12,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
69,KL Rahul,A Dananjaya,SS Iyer,1,0,1,96,56,41,3,12,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
70,SS Iyer,A Dananjaya,KL Rahul,1,0,1,97,22,17,4,12,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
71,KL Rahul,A Dananjaya,SS Iyer,1,0,1,98,57,42,5,12,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
72,SS Iyer,A Dananjaya,KL Rahul,0,0,0,98,22,18,6,12,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
73,KL Rahul,N Pradeep,SS Iyer,0,0,0,98,57,43,1,13,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
74,KL Rahul,N Pradeep,SS Iyer,1,0,1,99,58,44,2,13,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
75,SS Iyer,N Pradeep,KL Rahul,2,0,2,101,24,19,3,13,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
76,SS Iyer,N Pradeep,KL Rahul,0,0,0,101,24,20,4,13,caught,SS Iyer,N Dickwella,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
77,MS Dhoni,N Pradeep,KL Rahul,0,0,0,101,0,1,5,13,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
78,MS Dhoni,N Pradeep,KL Rahul,1,0,1,102,1,2,6,13,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
79,MS Dhoni,A Dananjaya,KL Rahul,1,0,1,103,2,3,1,14,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
80,KL Rahul,A Dananjaya,MS Dhoni,1,0,1,104,59,45,2,14,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
81,MS Dhoni,A Dananjaya,KL Rahul,4,0,4,108,6,4,3,14,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
82,MS Dhoni,A Dananjaya,KL Rahul,1,0,1,109,7,5,4,14,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
83,KL Rahul,A Dananjaya,MS Dhoni,0,0,0,109,59,46,5,14,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
84,KL Rahul,A Dananjaya,MS Dhoni,1,0,1,110,60,47,6,14,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
85,KL Rahul,NLTC Perera,MS Dhoni,1,0,1,111,61,48,1,15,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
86,MS Dhoni,NLTC Perera,KL Rahul,1,0,1,112,8,6,2,15,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
87,KL Rahul,NLTC Perera,MS Dhoni,0,0,0,112,61,49,3,15,bowled,KL Rahul,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
88,MK Pandey,NLTC Perera,MS Dhoni,1,0,1,113,1,1,4,15,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
89,MS Dhoni,NLTC Perera,MK Pandey,1,0,1,114,9,7,5,15,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
90,MK Pandey,NLTC Perera,MS Dhoni,0,0,0,114,1,2,6,15,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
91,MS Dhoni,N Pradeep,MK Pandey,0,1,1,115,9,8,1,16,0,,,legbyes,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
92,MK Pandey,N Pradeep,MS Dhoni,0,0,0,115,1,3,2,16,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
93,MK Pandey,N Pradeep,MS Dhoni,1,0,1,116,2,4,3,16,0,,,-,,field,Sri Lanka,1,Barabati Stadium,2017-12-20,India,Sri Lanka
