,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RR Hendricks,Imad Wasim,JN Malan,4,0,4,4,164,4,1,0,1,1,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
1,RR Hendricks,Imad Wasim,JN Malan,0,0,0,4,164,4,2,0,2,1,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
2,RR Hendricks,Imad Wasim,JN Malan,0,0,0,4,164,4,3,0,3,1,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
3,RR Hendricks,Imad Wasim,JN Malan,1,0,1,5,163,5,4,0,4,1,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
4,JN Malan,Imad Wasim,RR Hendricks,0,0,0,5,163,0,1,0,5,1,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
5,JN Malan,Imad Wasim,RR Hendricks,0,0,0,5,163,0,2,0,6,1,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
6,RR Hendricks,Shaheen Shah Afridi,JN Malan,0,0,0,5,163,5,5,0,1,2,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
7,RR Hendricks,Shaheen Shah Afridi,JN Malan,0,0,0,5,163,5,6,1,2,2,caught and bowled,RR Hendricks,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
8,HE van der Dussen,Shaheen Shah Afridi,JN Malan,0,0,0,5,163,0,1,1,3,2,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
9,HE van der Dussen,Shaheen Shah Afridi,JN Malan,0,0,0,5,163,0,2,1,4,2,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
10,HE van der Dussen,Shaheen Shah Afridi,JN Malan,4,0,4,9,159,4,3,1,5,2,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
11,HE van der Dussen,Shaheen Shah Afridi,JN Malan,0,0,0,9,159,4,4,1,6,2,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
12,JN Malan,Imad Wasim,HE van der Dussen,1,0,1,10,158,1,3,1,1,3,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
13,HE van der Dussen,Imad Wasim,JN Malan,0,1,1,11,157,4,5,1,2,3,0,,,wides,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
14,HE van der Dussen,Imad Wasim,JN Malan,1,0,1,12,156,5,6,1,3,3,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
15,JN Malan,Imad Wasim,HE van der Dussen,1,0,1,13,155,2,4,1,4,3,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
16,HE van der Dussen,Imad Wasim,JN Malan,1,0,1,14,154,6,7,1,5,3,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
17,JN Malan,Imad Wasim,HE van der Dussen,0,0,0,14,154,2,5,1,6,3,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
18,JN Malan,Imad Wasim,HE van der Dussen,0,0,0,14,154,2,6,2,7,3,bowled,JN Malan,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
19,HE van der Dussen,Shaheen Shah Afridi,H Klaasen,0,0,0,14,154,6,8,2,1,4,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
20,HE van der Dussen,Shaheen Shah Afridi,H Klaasen,3,0,3,17,151,9,9,2,2,4,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
21,H Klaasen,Shaheen Shah Afridi,HE van der Dussen,0,0,0,17,151,0,1,2,3,4,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
22,H Klaasen,Shaheen Shah Afridi,HE van der Dussen,0,0,0,17,151,0,2,2,4,4,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
23,H Klaasen,Shaheen Shah Afridi,HE van der Dussen,0,0,0,17,151,0,3,2,5,4,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
24,H Klaasen,Shaheen Shah Afridi,HE van der Dussen,0,0,0,17,151,0,4,2,6,4,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
25,HE van der Dussen,Imad Wasim,H Klaasen,0,0,0,17,151,9,10,2,1,5,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
26,HE van der Dussen,Imad Wasim,H Klaasen,0,0,0,17,151,9,11,2,2,5,0,,,-,,field,South Africa,2,SuperSport Park,2019,02,South Africa_Pakistan_2019-02-06,Pakistan,South Africa,Pakistan,141
