,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,KL Rahul,K Rabada,RG Sharma,4,0,4,4,,4,1,0,1,-,0,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
1,KL Rahul,K Rabada,RG Sharma,1,0,1,5,,5,2,0,2,-,0,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
2,RG Sharma,K Rabada,KL Rahul,0,0,0,5,,0,1,0,3,-,0,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
3,RG Sharma,K Rabada,KL Rahul,0,1,1,6,,0,2,0,4,legbyes,0,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
4,KL Rahul,K Rabada,RG Sharma,0,0,0,6,,5,3,0,5,-,0,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
5,KL Rahul,K Rabada,RG Sharma,0,0,0,6,,5,4,0,6,-,0,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
6,RG Sharma,WD Parnell,KL Rahul,0,0,0,6,,0,3,0,1,-,1,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
7,RG Sharma,WD Parnell,KL Rahul,0,0,0,6,,0,4,0,2,-,1,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
8,RG Sharma,WD Parnell,KL Rahul,4,0,4,10,,4,5,0,3,-,1,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
9,RG Sharma,WD Parnell,KL Rahul,0,0,0,10,,4,6,0,4,-,1,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
10,RG Sharma,WD Parnell,KL Rahul,0,1,1,11,,4,7,0,5,legbyes,1,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
11,KL Rahul,WD Parnell,RG Sharma,4,0,4,15,,9,5,0,6,-,1,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
12,RG Sharma,L Ngidi,KL Rahul,0,0,0,15,,4,8,0,1,-,2,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
13,RG Sharma,L Ngidi,KL Rahul,0,0,0,15,,4,9,0,2,-,2,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
14,RG Sharma,L Ngidi,KL Rahul,6,0,6,21,,10,10,0,3,-,2,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
15,RG Sharma,L Ngidi,KL Rahul,0,0,0,21,,10,11,0,4,-,2,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
16,RG Sharma,L Ngidi,KL Rahul,0,0,0,21,,10,12,0,5,-,2,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
17,RG Sharma,L Ngidi,KL Rahul,0,0,0,21,,10,13,0,6,-,2,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
18,KL Rahul,WD Parnell,RG Sharma,6,0,6,27,,15,6,0,1,-,3,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
19,KL Rahul,WD Parnell,RG Sharma,4,0,4,31,,19,7,0,2,-,3,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
20,KL Rahul,WD Parnell,RG Sharma,1,0,1,32,,20,8,0,3,-,3,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
21,RG Sharma,WD Parnell,KL Rahul,4,0,4,36,,14,14,0,4,-,3,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
22,RG Sharma,WD Parnell,KL Rahul,0,0,0,36,,14,15,0,5,-,3,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
23,RG Sharma,WD Parnell,KL Rahul,0,0,0,36,,14,16,0,6,-,3,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
24,KL Rahul,K Rabada,RG Sharma,0,0,0,36,,20,9,0,1,-,4,0,,,,field,South Africa,1,"Barsapara Cricket Stadium, Guwahati",2022,10,India_South Africa_2022-10-02,India,India,South Africa,True,237
