,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,N Dickwella,L Ngidi,WU Tharanga,0,1,1,1,168,0,1,0,1,legbyes,1,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
1,WU Tharanga,L Ngidi,N Dickwella,1,0,1,2,167,1,1,0,2,-,1,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
2,N Dickwella,L Ngidi,WU Tharanga,2,0,2,4,165,2,2,0,3,-,1,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
3,N Dickwella,L Ngidi,WU Tharanga,4,0,4,8,161,6,3,0,4,-,1,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
4,N Dickwella,L Ngidi,WU Tharanga,0,0,0,8,161,6,4,0,5,-,1,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
5,N Dickwella,L Ngidi,WU Tharanga,1,0,1,9,160,7,5,0,6,-,1,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
6,N Dickwella,D Paterson,WU Tharanga,0,0,0,9,160,7,6,0,1,-,2,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
7,N Dickwella,D Paterson,WU Tharanga,1,0,1,10,159,8,7,0,2,-,2,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
8,WU Tharanga,D Paterson,N Dickwella,0,0,0,10,159,1,2,0,3,-,2,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
9,WU Tharanga,D Paterson,N Dickwella,0,0,0,10,159,1,3,0,4,-,2,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
10,WU Tharanga,D Paterson,N Dickwella,4,0,4,14,155,5,4,0,5,-,2,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
11,WU Tharanga,D Paterson,N Dickwella,4,0,4,18,151,9,5,0,6,-,2,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
12,N Dickwella,L Ngidi,WU Tharanga,0,0,0,18,151,8,8,0,1,-,3,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
13,N Dickwella,L Ngidi,WU Tharanga,0,1,1,19,150,8,9,0,2,byes,3,0,,,bat,South Africa,2,Newlands,2017,01,South Africa_Sri Lanka_2017-01-25,Sri Lanka,Sri Lanka,South Africa,170
