,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,AB de Villiers,B Kumar,HM Amla,0,0,0,0,92,0,1,0,1,-,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
1,AB de Villiers,B Kumar,HM Amla,4,0,4,4,88,4,2,0,2,-,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
2,AB de Villiers,B Kumar,HM Amla,0,0,0,4,88,4,3,0,3,-,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
3,AB de Villiers,B Kumar,HM Amla,4,0,4,8,84,8,4,0,4,-,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
4,AB de Villiers,B Kumar,HM Amla,0,1,1,9,83,8,5,0,5,wides,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
5,AB de Villiers,B Kumar,HM Amla,0,0,0,9,83,8,6,0,6,-,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
6,AB de Villiers,B Kumar,HM Amla,0,0,0,9,83,8,7,0,7,-,1,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
7,HM Amla,R Ashwin,AB de Villiers,1,0,1,10,82,1,1,0,1,-,2,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
8,AB de Villiers,R Ashwin,HM Amla,0,0,0,10,82,8,8,0,2,-,2,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
9,AB de Villiers,R Ashwin,HM Amla,1,0,1,11,81,9,9,0,3,-,2,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
10,HM Amla,R Ashwin,AB de Villiers,1,0,1,12,80,2,2,0,4,-,2,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
11,AB de Villiers,R Ashwin,HM Amla,1,0,1,13,79,10,10,0,5,-,2,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
12,HM Amla,R Ashwin,AB de Villiers,0,0,0,13,79,2,3,1,6,-,2,caught,HM Amla,RG Sharma,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
13,AB de Villiers,Harbhajan Singh,F du Plessis,1,0,1,14,78,11,11,1,1,-,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
14,F du Plessis,Harbhajan Singh,AB de Villiers,1,0,1,15,77,1,1,1,2,-,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
15,AB de Villiers,Harbhajan Singh,F du Plessis,0,1,1,16,76,11,12,1,3,wides,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
16,AB de Villiers,Harbhajan Singh,F du Plessis,0,0,0,16,76,11,13,1,4,-,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
17,AB de Villiers,Harbhajan Singh,F du Plessis,0,0,0,16,76,11,14,1,5,-,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
18,AB de Villiers,Harbhajan Singh,F du Plessis,1,0,1,17,75,12,15,1,6,-,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
19,F du Plessis,Harbhajan Singh,AB de Villiers,0,0,0,17,75,1,2,1,7,-,3,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
20,AB de Villiers,R Ashwin,F du Plessis,1,0,1,18,74,13,16,1,1,-,4,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
21,F du Plessis,R Ashwin,AB de Villiers,0,0,0,18,74,1,3,1,2,-,4,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
22,F du Plessis,R Ashwin,AB de Villiers,0,0,0,18,74,1,4,1,3,-,4,0,,,field,South Africa,2,Barabati Stadium,2015,10,India_South Africa_2015-10-05,South Africa,South Africa,India,96
