,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Rizwan,G Motie,Babar Azam,"{'by': 'Pakistan', 'umpire': 'Rashid Riaz', 'batter': 'Mohammad Rizwan', 'decision': 'upheld'}",0,0,0,0,207,0,1,0,-,1.0,0,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
1,Mohammad Rizwan,G Motie,Babar Azam,,1,0,1,1,206,1,2,0,-,2.0,0,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
2,Babar Azam,G Motie,Mohammad Rizwan,,0,0,0,1,206,0,1,0,-,3.0,0,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
3,Babar Azam,G Motie,Mohammad Rizwan,,0,0,0,1,206,0,2,0,-,4.0,0,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
4,Babar Azam,G Motie,Mohammad Rizwan,,1,0,1,2,205,1,3,0,-,5.0,0,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
5,Mohammad Rizwan,G Motie,Babar Azam,,0,0,0,2,205,1,3,0,-,6.0,0,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
6,Babar Azam,R Shepherd,Mohammad Rizwan,,0,0,0,2,205,1,4,0,-,1.0,1,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
7,Babar Azam,R Shepherd,Mohammad Rizwan,,2,0,2,4,203,3,5,0,-,2.0,1,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
8,Babar Azam,R Shepherd,Mohammad Rizwan,,4,0,4,8,199,7,6,0,-,3.0,1,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
9,Babar Azam,R Shepherd,Mohammad Rizwan,,1,0,1,9,198,8,7,0,-,4.0,1,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
10,Mohammad Rizwan,R Shepherd,Babar Azam,,4,0,4,13,194,5,4,0,-,5.0,1,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
11,Mohammad Rizwan,R Shepherd,Babar Azam,,6,0,6,19,188,11,5,0,-,6.0,1,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
12,Babar Azam,G Motie,Mohammad Rizwan,,0,0,0,19,188,8,8,0,-,1.0,2,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
13,Babar Azam,G Motie,Mohammad Rizwan,,1,0,1,20,187,9,9,0,-,2.0,2,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
14,Mohammad Rizwan,G Motie,Babar Azam,,0,0,0,20,187,11,6,0,-,3.0,2,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
15,Mohammad Rizwan,G Motie,Babar Azam,,4,0,4,24,183,15,7,0,-,4.0,2,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
16,Mohammad Rizwan,G Motie,Babar Azam,,6,0,6,30,177,21,8,0,-,5.0,2,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
17,Mohammad Rizwan,G Motie,Babar Azam,,0,0,0,30,177,21,9,0,-,6.0,2,0,,,bat,West Indies,2,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,Pakistan,West Indies,True,208
