,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Hazratullah,Shaheen Shah Afridi,Mohammad Shahzad,,0,1,1,1,141,0,1,0,1,wides,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
1,Hazratullah,Shaheen Shah Afridi,Mohammad Shahzad,,0,1,1,2,140,0,2,0,2,legbyes,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
2,Mohammad Shahzad,Shaheen Shah Afridi,Hazratullah,,0,0,0,2,140,0,1,0,3,-,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
3,Mohammad Shahzad,Shaheen Shah Afridi,Hazratullah,,1,0,1,3,139,1,2,0,4,-,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
4,Hazratullah,Shaheen Shah Afridi,Mohammad Shahzad,,0,1,1,4,138,0,3,0,5,legbyes,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
5,Mohammad Shahzad,Shaheen Shah Afridi,Hazratullah,,1,0,1,5,137,2,3,0,6,-,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
6,Hazratullah,Shaheen Shah Afridi,Mohammad Shahzad,"{'by': 'Pakistan', 'umpire': 'CM Brown', 'batter': 'Hazratullah', 'decision': 'struck down'}",0,0,0,5,137,0,4,0,7,-,1,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
7,Mohammad Shahzad,Imad Wasim,Hazratullah,,0,1,1,6,136,2,4,0,1,wides,2,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
8,Mohammad Shahzad,Imad Wasim,Hazratullah,,1,0,1,7,135,3,5,0,2,-,2,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
9,Hazratullah,Imad Wasim,Mohammad Shahzad,,0,0,0,7,135,0,5,0,3,-,2,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
10,Hazratullah,Imad Wasim,Mohammad Shahzad,,0,0,0,7,135,0,6,1,4,-,2,caught,Hazratullah,Haris Rauf,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
11,Mohammad Shahzad,Imad Wasim,Rahmanullah Gurbaz,,1,0,1,8,134,4,6,1,5,-,2,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
12,Rahmanullah Gurbaz,Imad Wasim,Mohammad Shahzad,,0,0,0,8,134,0,1,1,6,-,2,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
13,Rahmanullah Gurbaz,Imad Wasim,Mohammad Shahzad,,0,0,0,8,134,0,2,1,7,-,2,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
14,Mohammad Shahzad,Shaheen Shah Afridi,Rahmanullah Gurbaz,,0,0,0,8,134,4,7,1,1,-,3,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
15,Mohammad Shahzad,Shaheen Shah Afridi,Rahmanullah Gurbaz,,0,1,1,9,133,4,8,1,2,wides,3,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
16,Mohammad Shahzad,Shaheen Shah Afridi,Rahmanullah Gurbaz,,4,0,4,13,129,8,9,1,3,-,3,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
17,Mohammad Shahzad,Shaheen Shah Afridi,Rahmanullah Gurbaz,,0,0,0,13,129,8,10,1,4,-,3,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
18,Mohammad Shahzad,Shaheen Shah Afridi,Rahmanullah Gurbaz,,0,0,0,13,129,8,11,2,5,-,3,caught,Mohammad Shahzad,Babar Azam,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
19,Asghar Stanikzai,Shaheen Shah Afridi,Rahmanullah Gurbaz,,0,0,0,13,129,0,1,2,6,-,3,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
20,Asghar Stanikzai,Shaheen Shah Afridi,Rahmanullah Gurbaz,,0,0,0,13,129,0,2,2,7,-,3,0,,,bat,Afghanistan,1,Dubai International Cricket Stadium,2021,10,Afghanistan_Pakistan_2021-10-29,Pakistan,Afghanistan,Pakistan,147
