,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Babar Azam,MA Starc,Fakhar Zaman,1,0,1,1,141,1,1,0,1,0,,,1,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
1,Fakhar Zaman,MA Starc,Babar Azam,0,0,0,1,141,0,1,1,2,caught,Fakhar Zaman,SPD Smith,1,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
2,Haris Sohail,MA Starc,Babar Azam,0,0,0,1,141,0,1,1,3,0,,,1,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
3,Haris Sohail,MA Starc,Babar Azam,0,0,0,1,141,0,2,1,4,0,,,1,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
4,Haris Sohail,MA Starc,Babar Azam,4,0,4,5,137,4,3,1,5,0,,,1,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
5,Haris Sohail,MA Starc,Babar Azam,0,0,0,5,137,4,4,1,6,0,,,1,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
6,Babar Azam,KW Richardson,Haris Sohail,0,0,0,5,137,1,2,1,1,0,,,2,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
7,Babar Azam,KW Richardson,Haris Sohail,4,0,4,9,133,5,3,1,2,0,,,2,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
8,Babar Azam,KW Richardson,Haris Sohail,1,0,1,10,132,6,4,1,3,0,,,2,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
9,Haris Sohail,KW Richardson,Babar Azam,0,0,0,10,132,4,5,1,4,0,,,2,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
10,Haris Sohail,KW Richardson,Babar Azam,0,0,0,10,132,4,6,2,5,caught,Haris Sohail,SPD Smith,2,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
11,Mohammad Rizwan,KW Richardson,Babar Azam,1,0,1,11,131,1,1,2,6,0,,,2,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
12,Mohammad Rizwan,MA Starc,Babar Azam,0,0,0,11,131,1,2,2,1,0,,,3,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
13,Mohammad Rizwan,MA Starc,Babar Azam,1,0,1,12,130,2,3,2,2,0,,,3,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
14,Babar Azam,MA Starc,Mohammad Rizwan,0,0,0,12,130,6,5,2,3,0,,,3,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
15,Babar Azam,MA Starc,Mohammad Rizwan,4,0,4,16,126,10,6,2,4,0,,,3,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
16,Babar Azam,MA Starc,Mohammad Rizwan,1,0,1,17,125,11,7,2,5,0,,,3,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
17,Mohammad Rizwan,MA Starc,Babar Azam,1,0,1,18,124,3,4,2,6,0,,,3,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
18,Mohammad Rizwan,A Zampa,Babar Azam,0,0,0,18,124,3,5,2,1,0,,,4,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
19,Mohammad Rizwan,A Zampa,Babar Azam,0,0,0,18,124,3,6,2,2,0,,,4,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
20,Mohammad Rizwan,A Zampa,Babar Azam,0,0,0,18,124,3,7,2,3,0,,,4,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
21,Mohammad Rizwan,A Zampa,Babar Azam,4,0,4,22,120,7,8,2,4,0,,,4,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
22,Mohammad Rizwan,A Zampa,Babar Azam,6,0,6,28,114,13,9,2,5,0,,,4,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
23,Mohammad Rizwan,A Zampa,Babar Azam,2,0,2,30,112,15,10,2,6,0,,,4,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
24,Babar Azam,PJ Cummins,Mohammad Rizwan,1,0,1,31,111,12,8,2,1,0,,,5,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
25,Mohammad Rizwan,PJ Cummins,Babar Azam,0,0,0,31,111,15,11,2,2,0,,,5,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
26,Mohammad Rizwan,PJ Cummins,Babar Azam,0,0,0,31,111,15,12,2,3,0,,,5,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
27,Mohammad Rizwan,PJ Cummins,Babar Azam,1,0,1,32,110,16,13,2,4,0,,,5,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
28,Babar Azam,PJ Cummins,Mohammad Rizwan,2,0,2,34,108,14,9,2,5,0,,,5,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
29,Babar Azam,PJ Cummins,Mohammad Rizwan,1,0,1,35,107,15,10,2,6,0,,,5,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
30,Babar Azam,KW Richardson,Mohammad Rizwan,1,0,1,36,106,16,11,2,1,0,,,6,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
31,Mohammad Rizwan,KW Richardson,Babar Azam,0,0,0,36,106,16,14,2,2,0,,,6,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
32,Mohammad Rizwan,KW Richardson,Babar Azam,0,0,0,36,106,16,15,2,3,0,,,6,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
33,Mohammad Rizwan,KW Richardson,Babar Azam,0,0,0,36,106,16,16,2,4,0,,,6,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
34,Mohammad Rizwan,KW Richardson,Babar Azam,1,0,1,37,105,17,17,2,5,0,,,6,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
35,Babar Azam,KW Richardson,Mohammad Rizwan,1,0,1,38,104,17,12,2,6,0,,,6,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
