,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,0,,0,1,0,1,0,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
1,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,0,,0,2,0,2,0,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
2,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,0,,0,3,0,3,0,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
3,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,0,,0,4,0,4,0,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
4,MJ Guptill,SS Cottrell,TL Seifert,4,0,4,4,,4,5,0,5,0,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
5,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,4,,4,6,0,6,0,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
6,TL Seifert,KR Mayers,MJ Guptill,1,0,1,5,,1,1,0,1,1,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
7,MJ Guptill,KR Mayers,TL Seifert,0,0,0,5,,4,7,0,2,1,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
8,MJ Guptill,KR Mayers,TL Seifert,0,0,0,5,,4,8,0,3,1,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
9,MJ Guptill,KR Mayers,TL Seifert,4,0,4,9,,8,9,0,4,1,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
10,MJ Guptill,KR Mayers,TL Seifert,4,0,4,13,,12,10,0,5,1,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
11,MJ Guptill,KR Mayers,TL Seifert,0,1,1,14,,12,11,0,6,1,wides,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
12,MJ Guptill,KR Mayers,TL Seifert,0,0,0,14,,12,12,0,7,1,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
13,TL Seifert,SS Cottrell,MJ Guptill,1,0,1,15,,2,2,0,1,2,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
14,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,15,,12,13,0,2,2,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
15,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,15,,12,14,0,3,2,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
16,MJ Guptill,SS Cottrell,TL Seifert,0,0,0,15,,12,15,0,4,2,-,"{'by': 'West Indies', 'umpire': 'SB Haig', 'batter': 'MJ Guptill', 'decision': 'struck down'}",0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
17,MJ Guptill,SS Cottrell,TL Seifert,1,0,1,16,,13,16,0,5,2,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
18,TL Seifert,SS Cottrell,MJ Guptill,1,0,1,17,,3,3,0,6,2,-,,0,,,field,West Indies,1,Bay Oval,2020,11,New Zealand_West Indies_2020-11-29,New Zealand,New Zealand,West Indies,True,238
