,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
20,MDKJ Perera,HB Shipley,BKG Mendis,,0,1,1,46,18,12,2,wides,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
21,MDKJ Perera,HB Shipley,BKG Mendis,,1,0,1,47,19,13,3,-,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
22,BKG Mendis,HB Shipley,MDKJ Perera,,0,0,0,47,25,9,4,-,caught,BKG Mendis,R Ravindra,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
23,DM de Silva,HB Shipley,MDKJ Perera,,1,0,1,48,1,1,5,-,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
24,MDKJ Perera,HB Shipley,DM de Silva,,0,1,1,49,19,14,6,wides,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
25,MDKJ Perera,HB Shipley,DM de Silva,,0,1,1,50,19,15,7,legbyes,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
26,DM de Silva,HB Shipley,MDKJ Perera,,0,0,0,50,1,2,8,-,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
27,DM de Silva,HB Shipley,MDKJ Perera,,1,0,1,51,2,3,9,-,0,,,4,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
28,DM de Silva,BG Lister,MDKJ Perera,,2,0,2,53,4,4,1,-,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
29,DM de Silva,BG Lister,MDKJ Perera,,0,0,0,53,4,5,2,-,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
30,DM de Silva,BG Lister,MDKJ Perera,,4,0,4,57,8,6,3,-,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
31,DM de Silva,BG Lister,MDKJ Perera,,6,0,6,63,14,7,4,-,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
32,DM de Silva,BG Lister,MDKJ Perera,,0,0,0,63,14,8,5,-,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
33,DM de Silva,BG Lister,MDKJ Perera,,0,1,1,64,14,9,6,wides,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
34,DM de Silva,BG Lister,MDKJ Perera,,1,0,1,65,15,10,7,-,0,,,5,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
35,DM de Silva,JDS Neesham,MDKJ Perera,,0,0,0,65,15,11,1,-,caught,DM de Silva,IS Sodhi,6,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
36,KIC Asalanka,JDS Neesham,MDKJ Perera,,4,0,4,69,4,1,2,-,0,,,6,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
37,KIC Asalanka,JDS Neesham,MDKJ Perera,,0,0,0,69,4,2,3,-,0,,,6,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
38,KIC Asalanka,JDS Neesham,MDKJ Perera,,1,0,1,70,5,3,4,-,0,,,6,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
39,MDKJ Perera,JDS Neesham,KIC Asalanka,,2,0,2,72,21,16,5,-,0,,,6,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
40,MDKJ Perera,JDS Neesham,KIC Asalanka,,0,0,0,72,21,17,6,-,0,,,6,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
41,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,73,6,4,1,-,0,,,7,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
42,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,74,22,18,2,-,0,,,7,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
43,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,75,7,5,3,-,0,,,7,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
44,MDKJ Perera,IS Sodhi,KIC Asalanka,,0,0,0,75,22,19,4,-,0,,,7,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
45,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,76,23,20,5,-,0,,,7,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
46,KIC Asalanka,IS Sodhi,MDKJ Perera,,0,0,0,76,7,6,6,-,0,,,7,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
47,MDKJ Perera,JDS Neesham,KIC Asalanka,,1,0,1,77,24,21,1,-,0,,,8,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
48,KIC Asalanka,JDS Neesham,MDKJ Perera,,6,0,6,83,13,7,2,-,0,,,8,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
49,KIC Asalanka,JDS Neesham,MDKJ Perera,,0,0,0,83,13,8,3,-,0,,,8,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
50,KIC Asalanka,JDS Neesham,MDKJ Perera,,0,0,0,83,13,9,4,-,0,,,8,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
51,KIC Asalanka,JDS Neesham,MDKJ Perera,,0,0,0,83,13,10,5,-,0,,,8,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
