,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,RG Sharma,K Rabada,RR Pant,0,0,0,0,227,0,1,0,1,0,,,1,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
1,RG Sharma,K Rabada,RR Pant,0,0,0,0,227,0,2,1,2,bowled,RG Sharma,,1,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
2,SS Iyer,K Rabada,RR Pant,1,0,1,1,226,1,1,1,3,0,,,1,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
3,RR Pant,K Rabada,SS Iyer,0,0,0,1,226,0,1,1,4,0,,,1,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
4,RR Pant,K Rabada,SS Iyer,1,0,1,2,225,1,2,1,5,0,,,1,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
5,SS Iyer,K Rabada,RR Pant,0,0,0,2,225,1,2,1,6,0,,,1,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
6,RR Pant,WD Parnell,SS Iyer,0,0,0,2,225,1,3,1,1,0,,,2,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
7,RR Pant,WD Parnell,SS Iyer,1,0,1,3,224,2,4,1,2,0,,,2,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
8,SS Iyer,WD Parnell,RR Pant,0,1,1,4,223,1,3,1,3,0,,,2,,wides,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
9,SS Iyer,WD Parnell,RR Pant,0,0,0,4,223,1,4,1,4,0,,,2,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
10,SS Iyer,WD Parnell,RR Pant,0,0,0,4,223,1,5,2,5,lbw,SS Iyer,,2,"{'by': 'India', 'umpire': 'VK Sharma', 'batter': 'SS Iyer', 'decision': 'struck down'}",-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
11,KD Karthik,WD Parnell,RR Pant,4,0,4,8,219,4,1,2,6,0,,,2,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
12,KD Karthik,WD Parnell,RR Pant,0,0,0,8,219,4,2,2,7,0,,,2,,-,field,India,2,"Holkar Cricket Stadium, Indore",2022,10,South Africa_India_2022-10-04,South Africa,India,South Africa
