,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Rahmanullah Gurbaz,CA Young,Mohammad Nabi,1,0,1,1,,1,1,0,1,0,,,0,0,bat,Ireland,3,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Afghanistan,Ireland,,8
1,Mohammad Nabi,CA Young,Rahmanullah Gurbaz,1,0,1,2,,1,1,0,2,0,,,0,0,bat,Ireland,3,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Afghanistan,Ireland,,8
2,Rahmanullah Gurbaz,CA Young,Mohammad Nabi,1,0,1,3,,2,2,0,3,0,,,0,0,bat,Ireland,3,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Afghanistan,Ireland,,8
3,Mohammad Nabi,CA Young,Rahmanullah Gurbaz,2,0,2,5,,3,2,0,4,0,,,0,0,bat,Ireland,3,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Afghanistan,Ireland,,8
4,Mohammad Nabi,CA Young,Rahmanullah Gurbaz,1,0,1,6,,4,3,0,5,0,,,0,0,bat,Ireland,3,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Afghanistan,Ireland,,8
5,Rahmanullah Gurbaz,CA Young,Mohammad Nabi,2,0,2,8,,4,3,1,6,run out,Rahmanullah Gurbaz,,0,0,bat,Ireland,3,Greater Noida Sports Complex Ground,2020,03,Afghanistan_Ireland_2020-03-10,tie,Afghanistan,Ireland,,8
