,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
20,RG Sharma,LE Plunkett,KL Rahul,0,0,0,26,133,1,7,1,1,-,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
21,RG Sharma,LE Plunkett,KL Rahul,1,0,1,27,132,2,8,1,2,-,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
22,KL Rahul,LE Plunkett,RG Sharma,1,0,1,28,131,18,11,1,3,-,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
23,RG Sharma,LE Plunkett,KL Rahul,1,0,1,29,130,3,9,1,4,-,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
24,KL Rahul,LE Plunkett,RG Sharma,0,1,1,30,129,18,12,1,5,wides,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
25,KL Rahul,LE Plunkett,RG Sharma,4,0,4,34,125,22,13,1,6,-,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
26,KL Rahul,LE Plunkett,RG Sharma,4,0,4,38,121,26,14,1,7,-,0,,,3,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
27,RG Sharma,CJ Jordan,KL Rahul,0,0,0,38,121,3,10,1,1,-,0,,,4,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
28,RG Sharma,CJ Jordan,KL Rahul,4,0,4,42,117,7,11,1,2,-,0,,,4,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
29,RG Sharma,CJ Jordan,KL Rahul,1,0,1,43,116,8,12,1,3,-,0,,,4,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
30,KL Rahul,CJ Jordan,RG Sharma,1,0,1,44,115,27,15,1,4,-,0,,,4,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
31,RG Sharma,CJ Jordan,KL Rahul,0,0,0,44,115,8,13,1,5,-,0,,,4,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
32,RG Sharma,CJ Jordan,KL Rahul,4,0,4,48,111,12,14,1,6,-,0,,,4,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
33,KL Rahul,LE Plunkett,RG Sharma,0,0,0,48,111,27,16,1,1,-,0,,,5,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
34,KL Rahul,LE Plunkett,RG Sharma,0,0,0,48,111,27,17,1,2,-,0,,,5,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
35,KL Rahul,LE Plunkett,RG Sharma,0,0,0,48,111,27,18,1,3,-,0,,,5,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
36,KL Rahul,LE Plunkett,RG Sharma,4,0,4,52,107,31,19,1,4,-,0,,,5,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
37,KL Rahul,LE Plunkett,RG Sharma,1,0,1,53,106,32,20,1,5,-,0,,,5,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
38,RG Sharma,LE Plunkett,KL Rahul,1,0,1,54,105,13,15,1,6,-,0,,,5,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
39,RG Sharma,AU Rashid,KL Rahul,1,0,1,55,104,14,16,1,1,-,0,,,6,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
40,KL Rahul,AU Rashid,RG Sharma,1,0,1,56,103,33,21,1,2,-,0,,,6,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
41,RG Sharma,AU Rashid,KL Rahul,0,0,0,56,103,14,17,1,3,-,0,,,6,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
42,RG Sharma,AU Rashid,KL Rahul,0,0,0,56,103,14,18,1,4,-,0,,,6,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
43,RG Sharma,AU Rashid,KL Rahul,0,0,0,56,103,14,19,1,5,-,0,,,6,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
44,RG Sharma,AU Rashid,KL Rahul,4,0,4,60,99,18,20,1,6,-,0,,,6,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
45,KL Rahul,MM Ali,RG Sharma,4,0,4,64,95,37,22,1,1,-,0,,,7,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
46,KL Rahul,MM Ali,RG Sharma,6,0,6,70,89,43,23,1,2,-,0,,,7,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
47,KL Rahul,MM Ali,RG Sharma,2,0,2,72,87,45,24,1,3,-,0,,,7,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
48,KL Rahul,MM Ali,RG Sharma,1,0,1,73,86,46,25,1,4,-,0,,,7,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
49,RG Sharma,MM Ali,KL Rahul,1,0,1,74,85,19,21,1,5,-,0,,,7,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
50,KL Rahul,MM Ali,RG Sharma,2,0,2,76,83,48,26,1,6,-,0,,,7,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
51,RG Sharma,AU Rashid,KL Rahul,6,0,6,82,77,25,22,1,1,-,0,,,8,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
52,RG Sharma,AU Rashid,KL Rahul,0,0,0,82,77,25,23,1,2,-,0,,,8,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
