,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,TM Head,TA Boult,SPD Smith,4,0,4,4,211,4,1,0,1,-,1,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
1,TM Head,TA Boult,SPD Smith,0,0,0,4,211,4,2,0,2,-,1,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
2,TM Head,TA Boult,SPD Smith,6,0,6,10,205,10,3,0,3,-,1,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
3,TM Head,TA Boult,SPD Smith,6,0,6,16,199,16,4,0,4,-,1,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
4,TM Head,TA Boult,SPD Smith,0,4,4,20,195,16,5,0,5,legbyes,1,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
5,TM Head,TA Boult,SPD Smith,0,0,0,20,195,16,6,0,6,-,1,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
6,SPD Smith,AF Milne,TM Head,0,0,0,20,195,0,1,0,1,-,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
7,SPD Smith,AF Milne,TM Head,0,0,0,20,195,0,2,0,2,-,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
8,SPD Smith,AF Milne,TM Head,4,0,4,24,191,4,3,0,3,-,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
9,SPD Smith,AF Milne,TM Head,6,0,6,30,185,10,4,0,4,-,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
10,SPD Smith,AF Milne,TM Head,0,0,0,30,185,10,5,0,5,-,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
11,SPD Smith,AF Milne,TM Head,0,1,1,31,184,10,6,0,6,wides,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
12,SPD Smith,AF Milne,TM Head,1,0,1,32,183,11,7,0,7,-,2,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
13,SPD Smith,LH Ferguson,TM Head,0,0,0,32,183,11,8,1,1,-,3,"{'by': 'New Zealand', 'umpire': 'SB Haig', 'batter': 'SPD Smith', 'decision': 'upheld', 'type': 'wicket'}",lbw,SPD Smith,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
14,MR Marsh,LH Ferguson,TM Head,0,0,0,32,183,0,1,1,2,-,3,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
15,MR Marsh,LH Ferguson,TM Head,0,1,1,33,182,0,2,1,3,legbyes,3,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
16,TM Head,LH Ferguson,MR Marsh,0,0,0,33,182,16,7,1,4,-,3,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
