,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Q de Kock,B Kumar,HM Amla,2,0,2,2,158,2,1,0,1,-,0,,,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
1,Q de Kock,B Kumar,HM Amla,0,1,1,3,157,2,2,0,2,wides,0,,,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
2,Q de Kock,B Kumar,HM Amla,0,2,2,5,155,2,3,0,3,legbyes,0,,,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
3,Q de Kock,B Kumar,HM Amla,4,0,4,9,151,6,4,0,4,-,0,,,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
4,Q de Kock,B Kumar,HM Amla,0,0,0,9,151,6,5,1,5,-,caught,Q de Kock,MS Dhoni,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
5,F du Plessis,B Kumar,HM Amla,0,0,0,9,151,0,1,1,6,-,0,,,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
6,F du Plessis,B Kumar,HM Amla,1,0,1,10,150,1,2,1,7,-,0,,,0,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
7,F du Plessis,MM Sharma,HM Amla,2,0,2,12,148,3,3,1,1,-,0,,,1,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
8,F du Plessis,MM Sharma,HM Amla,1,0,1,13,147,4,4,1,2,-,0,,,1,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
9,HM Amla,MM Sharma,F du Plessis,0,0,0,13,147,0,1,1,3,-,0,,,1,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
10,HM Amla,MM Sharma,F du Plessis,0,0,0,13,147,0,2,1,4,-,0,,,1,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
11,HM Amla,MM Sharma,F du Plessis,0,0,0,13,147,0,3,1,5,-,0,,,1,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
12,HM Amla,MM Sharma,F du Plessis,0,0,0,13,147,0,4,1,6,-,0,,,1,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
13,F du Plessis,B Kumar,HM Amla,1,0,1,14,146,5,5,1,1,-,0,,,2,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
14,HM Amla,B Kumar,F du Plessis,1,0,1,15,145,1,5,1,2,-,0,,,2,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
15,F du Plessis,B Kumar,HM Amla,0,0,0,15,145,5,6,1,3,-,0,,,2,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
16,F du Plessis,B Kumar,HM Amla,0,0,0,15,145,5,7,1,4,-,0,,,2,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
17,F du Plessis,B Kumar,HM Amla,1,0,1,16,144,6,8,1,5,-,0,,,2,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
18,HM Amla,B Kumar,F du Plessis,1,0,1,17,143,2,6,1,6,-,0,,,2,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
19,HM Amla,MM Sharma,F du Plessis,4,0,4,21,139,6,7,1,1,-,0,,,3,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
20,HM Amla,MM Sharma,F du Plessis,2,0,2,23,137,8,8,1,2,-,0,,,3,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
21,HM Amla,MM Sharma,F du Plessis,4,0,4,27,133,12,9,1,3,-,0,,,3,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
22,HM Amla,MM Sharma,F du Plessis,1,0,1,28,132,13,10,1,4,-,0,,,3,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
23,F du Plessis,MM Sharma,HM Amla,4,0,4,32,128,10,9,1,5,-,0,,,3,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
24,F du Plessis,MM Sharma,HM Amla,2,0,2,34,126,12,10,1,6,-,0,,,3,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
25,HM Amla,B Kumar,F du Plessis,4,0,4,38,122,17,11,1,1,-,0,,,4,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
26,HM Amla,B Kumar,F du Plessis,0,0,0,38,122,17,12,1,2,-,0,,,4,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
27,HM Amla,B Kumar,F du Plessis,0,0,0,38,122,17,13,1,3,-,0,,,4,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
28,HM Amla,B Kumar,F du Plessis,4,0,4,42,118,21,14,1,4,-,0,,,4,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
29,HM Amla,B Kumar,F du Plessis,1,0,1,43,117,22,15,1,5,-,0,,,4,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
30,F du Plessis,B Kumar,HM Amla,0,0,0,43,117,12,11,1,6,-,0,,,4,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
31,HM Amla,R Ashwin,F du Plessis,0,1,1,44,116,22,16,1,1,wides,0,,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
32,HM Amla,R Ashwin,F du Plessis,0,0,0,44,116,22,17,2,2,-,bowled,HM Amla,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
33,JP Duminy,R Ashwin,F du Plessis,0,0,0,44,116,0,1,2,3,-,0,,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
34,JP Duminy,R Ashwin,F du Plessis,0,0,0,44,116,0,2,2,4,-,0,,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
35,JP Duminy,R Ashwin,F du Plessis,0,0,0,44,116,0,3,2,5,-,0,,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
36,JP Duminy,R Ashwin,F du Plessis,0,0,0,44,116,0,4,2,6,-,0,,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
37,JP Duminy,R Ashwin,F du Plessis,0,0,0,44,116,0,5,2,7,-,0,,,5,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
38,F du Plessis,RA Jadeja,JP Duminy,1,0,1,45,115,13,12,2,1,-,0,,,6,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
39,JP Duminy,RA Jadeja,F du Plessis,1,0,1,46,114,1,6,2,2,-,0,,,6,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
40,F du Plessis,RA Jadeja,JP Duminy,1,0,1,47,113,14,13,2,3,-,0,,,6,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
41,JP Duminy,RA Jadeja,F du Plessis,0,0,0,47,113,1,7,2,4,-,0,,,6,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
42,JP Duminy,RA Jadeja,F du Plessis,0,0,0,47,113,1,8,2,5,-,0,,,6,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
43,JP Duminy,RA Jadeja,F du Plessis,0,0,0,47,113,1,9,2,6,-,0,,,6,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
44,F du Plessis,SK Raina,JP Duminy,0,1,1,48,112,14,14,2,1,wides,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
45,F du Plessis,SK Raina,JP Duminy,1,0,1,49,111,15,15,2,2,-,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
46,JP Duminy,SK Raina,F du Plessis,2,0,2,51,109,3,10,2,3,-,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
47,JP Duminy,SK Raina,F du Plessis,1,0,1,52,108,4,11,2,4,-,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
48,F du Plessis,SK Raina,JP Duminy,0,0,0,52,108,15,16,2,5,-,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
49,F du Plessis,SK Raina,JP Duminy,0,0,0,52,108,15,17,2,6,-,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
50,F du Plessis,SK Raina,JP Duminy,1,0,1,53,107,16,18,2,7,-,0,,,7,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
51,F du Plessis,RA Jadeja,JP Duminy,1,0,1,54,106,17,19,2,1,-,0,,,8,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
52,JP Duminy,RA Jadeja,F du Plessis,1,0,1,55,105,5,12,2,2,-,0,,,8,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
53,F du Plessis,RA Jadeja,JP Duminy,1,0,1,56,104,18,20,2,3,-,0,,,8,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
54,JP Duminy,RA Jadeja,F du Plessis,1,0,1,57,103,6,13,2,4,-,0,,,8,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
55,F du Plessis,RA Jadeja,JP Duminy,1,0,1,58,102,19,21,2,5,-,0,,,8,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
56,JP Duminy,RA Jadeja,F du Plessis,0,0,0,58,102,6,14,2,6,-,0,,,8,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
57,F du Plessis,SK Raina,JP Duminy,0,0,0,58,102,19,22,2,1,-,0,,,9,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
58,F du Plessis,SK Raina,JP Duminy,4,0,4,62,98,23,23,2,2,-,0,,,9,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
59,F du Plessis,SK Raina,JP Duminy,1,0,1,63,97,24,24,2,3,-,0,,,9,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
60,JP Duminy,SK Raina,F du Plessis,1,0,1,64,96,7,15,2,4,-,0,,,9,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
61,F du Plessis,SK Raina,JP Duminy,1,0,1,65,95,25,25,2,5,-,0,,,9,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
62,JP Duminy,SK Raina,F du Plessis,1,0,1,66,94,8,16,2,6,-,0,,,9,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
63,JP Duminy,A Mishra,F du Plessis,1,0,1,67,93,9,17,2,1,-,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
64,F du Plessis,A Mishra,JP Duminy,0,0,0,67,93,25,26,2,2,-,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
65,F du Plessis,A Mishra,JP Duminy,0,1,1,68,92,25,27,2,3,noballs,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
66,F du Plessis,A Mishra,JP Duminy,4,0,4,72,88,29,28,2,4,-,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
67,F du Plessis,A Mishra,JP Duminy,0,0,0,72,88,29,29,2,5,-,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
68,F du Plessis,A Mishra,JP Duminy,1,0,1,73,87,30,30,2,6,-,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
69,JP Duminy,A Mishra,F du Plessis,1,0,1,74,86,10,18,2,7,-,0,,,10,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
70,JP Duminy,SK Raina,F du Plessis,0,1,1,75,85,10,19,2,1,byes,0,,,11,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
71,F du Plessis,SK Raina,JP Duminy,2,0,2,77,83,32,31,2,2,-,0,,,11,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
72,F du Plessis,SK Raina,JP Duminy,4,0,4,81,79,36,32,2,3,-,0,,,11,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
73,F du Plessis,SK Raina,JP Duminy,2,0,2,83,77,38,33,2,4,-,0,,,11,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
74,F du Plessis,SK Raina,JP Duminy,6,0,6,89,71,44,34,2,5,-,0,,,11,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
75,F du Plessis,SK Raina,JP Duminy,1,0,1,90,70,45,35,2,6,-,0,,,11,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
76,F du Plessis,A Mishra,JP Duminy,4,0,4,94,66,49,36,2,1,-,0,,,12,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
77,F du Plessis,A Mishra,JP Duminy,1,0,1,95,65,50,37,2,2,-,0,,,12,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
78,JP Duminy,A Mishra,F du Plessis,6,0,6,101,59,16,20,2,3,-,0,,,12,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
79,JP Duminy,A Mishra,F du Plessis,1,0,1,102,58,17,21,2,4,-,0,,,12,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
80,F du Plessis,A Mishra,JP Duminy,1,0,1,103,57,51,38,2,5,-,0,,,12,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
81,JP Duminy,A Mishra,F du Plessis,4,0,4,107,53,21,22,2,6,-,0,,,12,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
82,F du Plessis,R Ashwin,JP Duminy,0,0,0,107,53,51,39,2,1,-,0,,,13,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
83,F du Plessis,R Ashwin,JP Duminy,6,0,6,113,47,57,40,2,2,-,0,,,13,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
84,F du Plessis,R Ashwin,JP Duminy,1,0,1,114,46,58,41,2,3,-,0,,,13,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
85,JP Duminy,R Ashwin,F du Plessis,1,0,1,115,45,22,23,2,4,-,0,,,13,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
86,F du Plessis,R Ashwin,JP Duminy,0,0,0,115,45,58,42,3,5,-,bowled,F du Plessis,,13,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
87,AB de Villiers,R Ashwin,JP Duminy,1,0,1,116,44,1,1,3,6,-,0,,,13,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
88,AB de Villiers,A Mishra,JP Duminy,2,0,2,118,42,3,2,3,1,-,0,,,14,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
89,AB de Villiers,A Mishra,JP Duminy,0,0,0,118,42,3,3,3,2,-,0,,,14,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
90,AB de Villiers,A Mishra,JP Duminy,2,0,2,120,40,5,4,3,3,-,0,,,14,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
91,AB de Villiers,A Mishra,JP Duminy,4,0,4,124,36,9,5,3,4,-,0,,,14,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
92,AB de Villiers,A Mishra,JP Duminy,1,0,1,125,35,10,6,3,5,-,0,,,14,bat,South Africa,1,Shere Bangla National Stadium,2014,04,India_South Africa_2014-04-04,India,South Africa,India,172
