,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,CH Gayle,Z Khan,ADS Fletcher,0,0,0,0,153,0,1,0,1,1,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
1,CH Gayle,Z Khan,ADS Fletcher,0,0,0,0,153,0,2,0,2,1,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
2,CH Gayle,Z Khan,ADS Fletcher,0,0,0,0,153,0,3,0,3,1,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
3,CH Gayle,Z Khan,ADS Fletcher,4,0,4,4,149,4,4,0,4,1,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
4,CH Gayle,Z Khan,ADS Fletcher,0,0,0,4,149,4,5,0,5,1,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
5,CH Gayle,Z Khan,ADS Fletcher,4,0,4,8,145,8,6,0,6,1,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
6,ADS Fletcher,IK Pathan,CH Gayle,0,1,1,9,144,0,1,0,1,2,wides,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
7,ADS Fletcher,IK Pathan,CH Gayle,0,0,0,9,144,0,2,0,2,2,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
8,ADS Fletcher,IK Pathan,CH Gayle,0,0,0,9,144,0,3,1,3,2,-,caught,ADS Fletcher,Yuvraj Singh,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
9,LMP Simmons,IK Pathan,CH Gayle,1,0,1,10,143,1,1,1,4,2,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
10,CH Gayle,IK Pathan,LMP Simmons,0,0,0,10,143,8,7,1,5,2,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
11,CH Gayle,IK Pathan,LMP Simmons,1,0,1,11,142,9,8,1,6,2,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
12,LMP Simmons,IK Pathan,CH Gayle,1,0,1,12,141,2,2,1,7,2,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
13,LMP Simmons,YK Pathan,CH Gayle,1,0,1,13,140,3,3,1,1,3,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
14,CH Gayle,YK Pathan,LMP Simmons,0,0,0,13,140,9,9,1,2,3,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
15,CH Gayle,YK Pathan,LMP Simmons,1,0,1,14,139,10,10,1,3,3,-,0,,,bat,India,2,Lord's,2009,06,India_West Indies_2009-06-12,West Indies,West Indies,India,156
