,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Soumya Sarkar,TG Southee,Rony Talukdar,,0,0,0,0,,0,1,0,-,1.0,0,,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
1,Soumya Sarkar,TG Southee,Rony Talukdar,,0,0,0,0,,0,2,0,-,2.0,0,,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
2,Soumya Sarkar,TG Southee,Rony Talukdar,,4,0,4,4,,4,3,0,-,3.0,0,,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
3,Soumya Sarkar,TG Southee,Rony Talukdar,"{'by': 'Bangladesh', 'umpire': 'WR Knights', 'batter': 'Soumya Sarkar', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",0,0,0,4,,4,4,1,-,4.0,lbw,Soumya Sarkar,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
4,Nazmul Hossain Shanto,TG Southee,Rony Talukdar,,4,0,4,8,,4,1,1,-,5.0,0,,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
5,Nazmul Hossain Shanto,TG Southee,Rony Talukdar,,0,1,1,9,,4,1,1,wides,5.0,0,,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
6,Nazmul Hossain Shanto,TG Southee,Rony Talukdar,,0,1,1,10,,4,2,1,legbyes,6.0,0,,,0,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
7,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,0,0,0,10,,4,3,1,-,1.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
8,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,0,0,0,10,,4,4,1,-,2.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
9,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,0,1,1,11,,4,4,1,wides,2.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
10,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,0,0,0,11,,4,5,1,-,3.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
11,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,0,0,0,11,,4,6,1,-,4.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
12,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,4,0,4,15,,8,7,1,-,5.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
13,Nazmul Hossain Shanto,AF Milne,Rony Talukdar,,4,0,4,19,,12,8,1,-,6.0,0,,,1,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Fast
14,Rony Talukdar,BV Sears,Nazmul Hossain Shanto,,0,0,0,19,,0,1,1,-,1.0,0,,,2,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Right hand Bat,Left hand Bat,Right arm Medium
15,Rony Talukdar,BV Sears,Nazmul Hossain Shanto,,1,0,1,20,,1,2,1,-,2.0,0,,,2,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Right hand Bat,Left hand Bat,Right arm Medium
16,Nazmul Hossain Shanto,BV Sears,Rony Talukdar,,0,0,0,20,,12,9,1,-,3.0,0,,,2,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
17,Nazmul Hossain Shanto,BV Sears,Rony Talukdar,,0,0,0,20,,12,10,1,-,4.0,0,,,2,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
18,Nazmul Hossain Shanto,BV Sears,Rony Talukdar,,4,0,4,24,,16,11,1,-,5.0,0,,,2,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
19,Nazmul Hossain Shanto,BV Sears,Rony Talukdar,,0,0,0,24,,16,12,1,-,6.0,0,,,2,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
20,Rony Talukdar,TG Southee,Nazmul Hossain Shanto,,1,0,1,25,,2,3,1,-,1.0,0,,,3,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Right hand Bat,Left hand Bat,Right arm Medium
21,Nazmul Hossain Shanto,TG Southee,Rony Talukdar,,1,0,1,26,,17,13,1,-,2.0,0,,,3,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Left hand Bat,Right hand Bat,Right arm Medium
22,Rony Talukdar,TG Southee,Nazmul Hossain Shanto,,0,0,0,26,,2,4,1,-,3.0,0,,,3,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Right hand Bat,Left hand Bat,Right arm Medium
23,Rony Talukdar,TG Southee,Nazmul Hossain Shanto,,0,0,0,26,,2,5,1,-,4.0,0,,,3,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Right hand Bat,Left hand Bat,Right arm Medium
24,Rony Talukdar,TG Southee,Nazmul Hossain Shanto,,0,0,0,26,,2,6,1,-,5.0,0,,,3,field,New Zealand,1,"Bay Oval, Mount Maunganui",2023,12,Bangladesh_New Zealand_2023-12-31,New Zealand,Bangladesh,New Zealand,False,110,Right hand Bat,Left hand Bat,Right arm Medium
