,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Mohammad Naim,AY Patel,Liton Das,0,0,0,0,0,1,1,1,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
1,Mohammad Naim,AY Patel,Liton Das,0,0,0,0,0,2,2,1,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
2,Mohammad Naim,AY Patel,Liton Das,0,0,0,0,0,3,3,1,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
3,Mohammad Naim,AY Patel,Liton Das,0,0,0,0,0,4,4,1,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
4,Mohammad Naim,AY Patel,Liton Das,1,0,1,1,1,5,5,1,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
5,Liton Das,AY Patel,Mohammad Naim,0,0,0,1,0,1,6,1,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
6,Mohammad Naim,CE McConchie,Liton Das,0,0,0,1,1,6,1,2,caught,Mohammad Naim,HM Nicholls,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
7,Shakib Al Hasan,CE McConchie,Liton Das,0,0,0,1,0,1,2,2,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
8,Shakib Al Hasan,CE McConchie,Liton Das,2,0,2,3,2,2,3,2,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
9,Shakib Al Hasan,CE McConchie,Liton Das,0,0,0,3,2,3,4,2,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
10,Shakib Al Hasan,CE McConchie,Liton Das,0,0,0,3,2,4,5,2,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
11,Shakib Al Hasan,CE McConchie,Liton Das,1,0,1,4,3,5,6,2,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
12,Shakib Al Hasan,AY Patel,Liton Das,1,0,1,5,4,6,1,3,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
13,Liton Das,AY Patel,Shakib Al Hasan,1,0,1,6,1,2,2,3,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
14,Shakib Al Hasan,AY Patel,Liton Das,0,0,0,6,4,7,3,3,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
15,Shakib Al Hasan,AY Patel,Liton Das,1,0,1,7,5,8,4,3,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
16,Liton Das,AY Patel,Shakib Al Hasan,0,0,0,7,1,3,5,3,stumped,Liton Das,TWM Latham,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
17,Mushfiqur Rahim,AY Patel,Shakib Al Hasan,0,0,0,7,0,1,6,3,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
18,Shakib Al Hasan,CE McConchie,Mushfiqur Rahim,0,0,0,7,5,9,1,4,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
19,Shakib Al Hasan,CE McConchie,Mushfiqur Rahim,0,0,0,7,5,10,2,4,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
20,Shakib Al Hasan,CE McConchie,Mushfiqur Rahim,3,0,3,10,8,11,3,4,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
21,Mushfiqur Rahim,CE McConchie,Shakib Al Hasan,1,0,1,11,1,2,4,4,0,,,-,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-01,Bangladesh,Bangladesh,New Zealand
