,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,JJ Roy,GF Linde,JC Buttler,0,0,0,0,0,1,1,1,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
1,JJ Roy,GF Linde,JC Buttler,1,0,1,1,1,2,2,1,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
2,JC Buttler,GF Linde,JJ Roy,0,0,0,1,0,1,3,1,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
3,JC Buttler,GF Linde,JJ Roy,0,0,0,1,0,2,4,1,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
4,JC Buttler,GF Linde,JJ Roy,0,0,0,1,0,3,5,1,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
5,JC Buttler,GF Linde,JJ Roy,0,0,0,1,0,4,6,1,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
6,JJ Roy,A Nortje,JC Buttler,0,0,0,1,1,3,1,2,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
7,JJ Roy,A Nortje,JC Buttler,2,0,2,3,3,4,2,2,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
8,JJ Roy,A Nortje,JC Buttler,0,0,0,3,3,5,3,2,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
9,JJ Roy,A Nortje,JC Buttler,1,0,1,4,4,6,4,2,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
10,JC Buttler,A Nortje,JJ Roy,0,0,0,4,0,5,5,2,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
11,JC Buttler,A Nortje,JJ Roy,2,0,2,6,2,6,6,2,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
12,JJ Roy,GF Linde,JC Buttler,2,0,2,8,6,7,1,3,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
13,JJ Roy,GF Linde,JC Buttler,0,0,0,8,6,8,2,3,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
14,JJ Roy,GF Linde,JC Buttler,0,0,0,8,6,9,3,3,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
15,JJ Roy,GF Linde,JC Buttler,4,0,4,12,10,10,4,3,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
16,JJ Roy,GF Linde,JC Buttler,0,0,0,12,10,11,5,3,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
17,JJ Roy,GF Linde,JC Buttler,6,0,6,18,16,12,6,3,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
18,JC Buttler,A Nortje,JJ Roy,6,0,6,24,8,7,1,4,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
19,JC Buttler,A Nortje,JJ Roy,1,0,1,25,9,8,2,4,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
20,JJ Roy,A Nortje,JC Buttler,0,0,0,25,16,13,3,4,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
21,JJ Roy,A Nortje,JC Buttler,0,0,0,25,16,14,4,4,-,lbw,JJ Roy,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
22,DJ Malan,A Nortje,JC Buttler,4,0,4,29,4,1,5,4,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
23,DJ Malan,A Nortje,JC Buttler,0,1,1,30,4,2,6,4,wides,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
24,DJ Malan,A Nortje,JC Buttler,4,0,4,34,8,3,7,4,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
25,JC Buttler,L Sipamla,DJ Malan,1,1,2,36,10,9,1,5,noballs,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
26,DJ Malan,L Sipamla,JC Buttler,6,0,6,42,14,4,2,5,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
27,DJ Malan,L Sipamla,JC Buttler,0,0,0,42,14,5,3,5,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
28,DJ Malan,L Sipamla,JC Buttler,1,0,1,43,15,6,4,5,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
29,JC Buttler,L Sipamla,DJ Malan,0,0,0,43,10,10,5,5,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
30,JC Buttler,L Sipamla,DJ Malan,1,0,1,44,11,11,6,5,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
31,DJ Malan,L Sipamla,JC Buttler,1,0,1,45,16,7,7,5,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
32,DJ Malan,L Ngidi,JC Buttler,0,0,0,45,16,8,1,6,-,0,,,"{'by': 'England', 'umpire': 'BP Jele', 'batter': 'DJ Malan', 'decision': 'upheld'}",bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
33,DJ Malan,L Ngidi,JC Buttler,4,0,4,49,20,9,2,6,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
34,DJ Malan,L Ngidi,JC Buttler,1,0,1,50,21,10,3,6,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
35,JC Buttler,L Ngidi,DJ Malan,1,0,1,51,12,12,4,6,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
36,DJ Malan,L Ngidi,JC Buttler,1,0,1,52,22,11,5,6,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
37,JC Buttler,L Ngidi,DJ Malan,4,0,4,56,16,13,6,6,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
38,DJ Malan,GF Linde,JC Buttler,0,0,0,56,22,12,1,7,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
39,DJ Malan,GF Linde,JC Buttler,1,0,1,57,23,13,2,7,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
40,JC Buttler,GF Linde,DJ Malan,1,0,1,58,17,14,3,7,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
41,DJ Malan,GF Linde,JC Buttler,1,0,1,59,24,14,4,7,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
42,JC Buttler,GF Linde,DJ Malan,1,0,1,60,18,15,5,7,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
43,DJ Malan,GF Linde,JC Buttler,1,0,1,61,25,15,6,7,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
44,DJ Malan,T Shamsi,JC Buttler,4,0,4,65,29,16,1,8,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
45,DJ Malan,T Shamsi,JC Buttler,1,0,1,66,30,17,2,8,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
46,JC Buttler,T Shamsi,DJ Malan,0,0,0,66,18,16,3,8,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
47,JC Buttler,T Shamsi,DJ Malan,1,0,1,67,19,17,4,8,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
48,DJ Malan,T Shamsi,JC Buttler,1,0,1,68,31,18,5,8,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
49,JC Buttler,T Shamsi,DJ Malan,1,0,1,69,20,18,6,8,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
50,JC Buttler,GF Linde,DJ Malan,0,0,0,69,20,19,1,9,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
51,JC Buttler,GF Linde,DJ Malan,0,0,0,69,20,20,2,9,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
52,JC Buttler,GF Linde,DJ Malan,1,0,1,70,21,21,3,9,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
53,DJ Malan,GF Linde,JC Buttler,4,0,4,74,35,19,4,9,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
54,DJ Malan,GF Linde,JC Buttler,2,0,2,76,37,20,5,9,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
55,DJ Malan,GF Linde,JC Buttler,1,0,1,77,38,21,6,9,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
56,DJ Malan,T Shamsi,JC Buttler,4,0,4,81,42,22,1,10,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
57,DJ Malan,T Shamsi,JC Buttler,1,0,1,82,43,23,2,10,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
58,JC Buttler,T Shamsi,DJ Malan,1,0,1,83,22,22,3,10,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
59,DJ Malan,T Shamsi,JC Buttler,1,0,1,84,44,24,4,10,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
60,JC Buttler,T Shamsi,DJ Malan,0,0,0,84,22,23,5,10,-,0,,,,bat,South Africa,2,Newlands,2020-12-01,England,England,South Africa
