,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,WTS Porterfield,S Badree,PR Stirling,0,0,0,0,116,0,1,0,1,0,,,1,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
1,WTS Porterfield,S Badree,PR Stirling,0,0,0,0,116,0,2,0,2,0,,,1,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
2,WTS Porterfield,S Badree,PR Stirling,4,0,4,4,112,4,3,0,3,0,,,1,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
3,WTS Porterfield,S Badree,PR Stirling,0,0,0,4,112,4,4,1,4,lbw,WTS Porterfield,,1,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
4,EC Joyce,S Badree,PR Stirling,0,0,0,4,112,0,1,1,5,0,,,1,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
5,EC Joyce,S Badree,PR Stirling,0,0,0,4,112,0,2,1,6,0,,,1,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
6,PR Stirling,R Rampaul,EC Joyce,0,4,4,8,108,0,1,1,1,0,,,2,legbyes,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
7,PR Stirling,R Rampaul,EC Joyce,0,0,0,8,108,0,2,2,2,caught,PR Stirling,AD Russell,2,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
8,GC Wilson,R Rampaul,EC Joyce,4,0,4,12,104,4,1,2,3,0,,,2,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
9,GC Wilson,R Rampaul,EC Joyce,1,0,1,13,103,5,2,2,4,0,,,2,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
10,EC Joyce,R Rampaul,GC Wilson,0,0,0,13,103,0,3,2,5,0,,,2,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
11,EC Joyce,R Rampaul,GC Wilson,0,0,0,13,103,0,4,2,6,0,,,2,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
12,GC Wilson,S Badree,EC Joyce,4,0,4,17,99,9,3,2,1,0,,,3,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
13,GC Wilson,S Badree,EC Joyce,0,0,0,17,99,9,4,2,2,0,,,3,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
14,GC Wilson,S Badree,EC Joyce,1,0,1,18,98,10,5,2,3,0,,,3,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
15,EC Joyce,S Badree,GC Wilson,0,0,0,18,98,0,5,2,4,0,,,3,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
16,EC Joyce,S Badree,GC Wilson,0,0,0,18,98,0,6,2,5,0,,,3,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
17,EC Joyce,S Badree,GC Wilson,0,0,0,18,98,0,7,2,6,0,,,3,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
18,GC Wilson,R Rampaul,EC Joyce,1,0,1,19,97,11,6,2,1,0,,,4,-,bat,West Indies,2,"Sabina Park, Kingston",2014,02,West Indies_Ireland_2014-02-19,Ireland,Ireland,West Indies
