,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,MD Gunathilaka,Imad Wasim,WIA Fernando,0,0,0,0,190,0,1,0,1,-,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
1,MD Gunathilaka,Imad Wasim,WIA Fernando,0,0,0,0,190,0,2,0,2,-,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
2,MD Gunathilaka,Imad Wasim,WIA Fernando,0,0,0,0,190,0,3,0,3,-,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
3,MD Gunathilaka,Imad Wasim,WIA Fernando,0,0,0,0,190,0,4,0,4,-,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
4,MD Gunathilaka,Imad Wasim,WIA Fernando,0,4,4,4,186,0,5,0,5,wides,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
5,WIA Fernando,Imad Wasim,MD Gunathilaka,0,0,0,4,186,0,1,0,6,-,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
6,WIA Fernando,Imad Wasim,MD Gunathilaka,1,0,1,5,185,1,2,0,7,-,0,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
7,WIA Fernando,Faheem Ashraf,MD Gunathilaka,4,0,4,9,181,5,3,0,1,-,1,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
8,WIA Fernando,Faheem Ashraf,MD Gunathilaka,1,0,1,10,180,6,4,0,2,-,1,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
9,MD Gunathilaka,Faheem Ashraf,WIA Fernando,2,0,2,12,178,2,6,0,3,-,1,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
10,MD Gunathilaka,Faheem Ashraf,WIA Fernando,4,0,4,16,174,6,7,0,4,-,1,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
11,MD Gunathilaka,Faheem Ashraf,WIA Fernando,0,0,0,16,174,6,8,0,5,-,1,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
12,MD Gunathilaka,Faheem Ashraf,WIA Fernando,1,0,1,17,173,7,9,0,6,-,1,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
13,MD Gunathilaka,Imad Wasim,WIA Fernando,1,0,1,18,172,8,10,0,1,-,2,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
14,WIA Fernando,Imad Wasim,MD Gunathilaka,0,0,0,18,172,6,5,0,2,-,2,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
15,WIA Fernando,Imad Wasim,MD Gunathilaka,1,0,1,19,171,7,6,0,3,-,2,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
16,MD Gunathilaka,Imad Wasim,WIA Fernando,4,0,4,23,167,12,11,0,4,-,2,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
17,MD Gunathilaka,Imad Wasim,WIA Fernando,1,0,1,24,166,13,12,0,5,-,2,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
18,WIA Fernando,Imad Wasim,MD Gunathilaka,1,0,1,25,165,8,7,0,6,-,2,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
19,WIA Fernando,Mohammad Hasnain,MD Gunathilaka,1,0,1,26,164,9,8,0,1,-,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
20,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,0,1,1,27,163,13,13,0,2,wides,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
21,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,0,4,4,31,159,13,14,0,3,legbyes,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
22,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,0,1,1,32,158,13,15,0,4,wides,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
23,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,4,0,4,36,154,17,16,0,5,-,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
24,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,4,0,4,40,150,21,17,0,6,-,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
25,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,0,0,0,40,150,21,18,0,7,-,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
26,MD Gunathilaka,Mohammad Hasnain,WIA Fernando,1,0,1,41,149,22,19,0,8,-,3,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
27,MD Gunathilaka,Mohammad Amir,WIA Fernando,1,0,1,42,148,23,20,0,1,-,4,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
28,WIA Fernando,Mohammad Amir,MD Gunathilaka,1,0,1,43,147,10,9,0,2,-,4,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
29,MD Gunathilaka,Mohammad Amir,WIA Fernando,4,0,4,47,143,27,21,0,3,-,4,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
30,MD Gunathilaka,Mohammad Amir,WIA Fernando,2,0,2,49,141,29,22,0,4,-,4,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
31,MD Gunathilaka,Mohammad Amir,WIA Fernando,0,1,1,50,140,29,23,0,5,legbyes,4,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
32,WIA Fernando,Mohammad Amir,MD Gunathilaka,0,0,0,50,140,10,10,0,6,-,4,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
33,MD Gunathilaka,Shadab Khan,WIA Fernando,4,0,4,54,136,33,24,0,1,-,5,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
34,MD Gunathilaka,Shadab Khan,WIA Fernando,4,0,4,58,132,37,25,0,2,-,5,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
35,MD Gunathilaka,Shadab Khan,WIA Fernando,2,0,2,60,130,39,26,0,3,-,5,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
36,MD Gunathilaka,Shadab Khan,WIA Fernando,0,0,0,60,130,39,27,0,4,-,5,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
37,MD Gunathilaka,Shadab Khan,WIA Fernando,4,0,4,64,126,43,28,0,5,-,5,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
38,MD Gunathilaka,Shadab Khan,WIA Fernando,0,0,0,64,126,43,29,0,6,-,5,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
39,WIA Fernando,Faheem Ashraf,MD Gunathilaka,1,0,1,65,125,11,11,0,1,-,6,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
40,MD Gunathilaka,Faheem Ashraf,WIA Fernando,0,0,0,65,125,43,30,0,2,-,6,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
41,MD Gunathilaka,Faheem Ashraf,WIA Fernando,1,0,1,66,124,44,31,0,3,-,6,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
42,WIA Fernando,Faheem Ashraf,MD Gunathilaka,1,0,1,67,123,12,12,0,4,-,6,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
43,MD Gunathilaka,Faheem Ashraf,WIA Fernando,0,0,0,67,123,44,32,0,5,-,6,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
44,MD Gunathilaka,Faheem Ashraf,WIA Fernando,1,0,1,68,122,45,33,0,6,-,6,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
45,MD Gunathilaka,Shadab Khan,WIA Fernando,1,0,1,69,121,46,34,0,1,-,7,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
46,WIA Fernando,Shadab Khan,MD Gunathilaka,0,0,0,69,121,12,13,0,2,-,7,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
47,WIA Fernando,Shadab Khan,MD Gunathilaka,0,0,0,69,121,12,14,0,3,-,7,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
48,WIA Fernando,Shadab Khan,MD Gunathilaka,1,0,1,70,120,13,15,0,4,-,7,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
49,MD Gunathilaka,Shadab Khan,WIA Fernando,6,0,6,76,114,52,35,0,5,-,7,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
50,MD Gunathilaka,Shadab Khan,WIA Fernando,1,0,1,77,113,53,36,0,6,-,7,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
51,MD Gunathilaka,Imad Wasim,WIA Fernando,1,0,1,78,112,54,37,0,1,-,8,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
52,WIA Fernando,Imad Wasim,MD Gunathilaka,1,0,1,79,111,14,16,0,2,-,8,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
53,MD Gunathilaka,Imad Wasim,WIA Fernando,1,0,1,80,110,55,38,0,3,-,8,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
54,WIA Fernando,Imad Wasim,MD Gunathilaka,0,0,0,80,110,14,17,0,4,-,8,,0,,,field,Pakistan,1,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Sri Lanka,Pakistan,165
