,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,SR Watson,S Dhawan,0,0,0,0,201,0,1,0,1,-,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
1,RG Sharma,SR Watson,S Dhawan,0,0,0,0,201,0,2,0,2,-,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
2,RG Sharma,SR Watson,S Dhawan,0,0,0,0,201,0,3,0,3,-,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
3,RG Sharma,SR Watson,S Dhawan,0,1,1,1,200,0,4,0,4,wides,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
4,RG Sharma,SR Watson,S Dhawan,0,0,0,1,200,0,5,0,5,-,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
5,RG Sharma,SR Watson,S Dhawan,1,0,1,2,199,1,6,0,6,-,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
6,S Dhawan,SR Watson,RG Sharma,0,0,0,2,199,0,1,0,7,-,0,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
7,RG Sharma,CJ McKay,S Dhawan,6,0,6,8,193,7,7,0,1,-,1,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
8,RG Sharma,CJ McKay,S Dhawan,1,0,1,9,192,8,8,0,2,-,1,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
9,S Dhawan,CJ McKay,RG Sharma,2,0,2,11,190,2,2,0,3,-,1,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
10,S Dhawan,CJ McKay,RG Sharma,1,0,1,12,189,3,3,0,4,-,1,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
11,RG Sharma,CJ McKay,S Dhawan,0,0,0,12,189,8,9,1,5,-,1,caught,RG Sharma,BJ Haddin,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
12,SK Raina,CJ McKay,S Dhawan,2,0,2,14,187,2,1,1,6,-,1,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
13,S Dhawan,SR Watson,SK Raina,1,0,1,15,186,4,4,1,1,-,2,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
14,SK Raina,SR Watson,S Dhawan,0,0,0,15,186,2,2,1,2,-,2,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
15,SK Raina,SR Watson,S Dhawan,1,0,1,16,185,3,3,1,3,-,2,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
16,S Dhawan,SR Watson,SK Raina,4,0,4,20,181,8,5,1,4,-,2,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
17,S Dhawan,SR Watson,SK Raina,1,0,1,21,180,9,6,1,5,-,2,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
18,SK Raina,SR Watson,S Dhawan,4,0,4,25,176,7,4,1,6,-,2,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
19,S Dhawan,CJ McKay,SK Raina,4,0,4,29,172,13,7,1,1,-,3,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
20,S Dhawan,CJ McKay,SK Raina,4,0,4,33,168,17,8,1,2,-,3,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
21,S Dhawan,CJ McKay,SK Raina,1,0,1,34,167,18,9,1,3,-,3,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
22,SK Raina,CJ McKay,S Dhawan,4,0,4,38,163,11,5,1,4,-,3,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
23,SK Raina,CJ McKay,S Dhawan,1,0,1,39,162,12,6,1,5,-,3,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
24,S Dhawan,CJ McKay,SK Raina,0,0,0,39,162,18,10,1,6,-,3,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
25,SK Raina,JP Faulkner,S Dhawan,0,0,0,39,162,12,7,1,1,-,4,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
26,SK Raina,JP Faulkner,S Dhawan,1,0,1,40,161,13,8,1,2,-,4,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
27,S Dhawan,JP Faulkner,SK Raina,1,0,1,41,160,19,11,1,3,-,4,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
28,SK Raina,JP Faulkner,S Dhawan,0,1,1,42,159,13,9,1,4,legbyes,4,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
29,S Dhawan,JP Faulkner,SK Raina,1,0,1,43,158,20,12,1,5,-,4,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
30,SK Raina,JP Faulkner,S Dhawan,0,1,1,44,157,13,10,1,6,legbyes,4,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
31,SK Raina,NM Coulter-Nile,S Dhawan,0,0,0,44,157,13,11,1,1,-,5,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
32,SK Raina,NM Coulter-Nile,S Dhawan,6,0,6,50,151,19,12,1,2,-,5,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
33,SK Raina,NM Coulter-Nile,S Dhawan,0,0,0,50,151,19,13,2,3,-,5,caught,SK Raina,SR Watson,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
34,S Dhawan,NM Coulter-Nile,V Kohli,1,0,1,51,150,21,13,2,4,-,5,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
35,V Kohli,NM Coulter-Nile,S Dhawan,0,0,0,51,150,0,1,2,5,-,5,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
36,V Kohli,NM Coulter-Nile,S Dhawan,2,0,2,53,148,2,2,2,6,-,5,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
37,S Dhawan,JP Faulkner,V Kohli,1,0,1,54,147,22,14,2,1,-,6,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
38,V Kohli,JP Faulkner,S Dhawan,1,0,1,55,146,3,3,2,2,-,6,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
39,S Dhawan,JP Faulkner,V Kohli,1,0,1,56,145,23,15,2,3,-,6,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
40,V Kohli,JP Faulkner,S Dhawan,1,0,1,57,144,4,4,2,4,-,6,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
41,S Dhawan,JP Faulkner,V Kohli,1,0,1,58,143,24,16,2,5,-,6,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
42,V Kohli,JP Faulkner,S Dhawan,1,0,1,59,142,5,5,2,6,-,6,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
43,V Kohli,MC Henriques,S Dhawan,4,0,4,63,138,9,6,2,1,-,7,0,,,field,India,2,Saurashtra Cricket Association Stadium,2013,10,India_Australia_2013-10-10,India,India,Australia,202
