,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,TM Head,DL Chahar,JR Philippe,2,0,2,2,172,2,1,0,1,1,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
1,TM Head,DL Chahar,JR Philippe,0,0,0,2,172,2,2,0,2,1,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
2,TM Head,DL Chahar,JR Philippe,1,0,1,3,171,3,3,0,3,1,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
3,JR Philippe,DL Chahar,TM Head,0,0,0,3,171,0,1,0,4,1,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
4,JR Philippe,DL Chahar,TM Head,0,0,0,3,171,0,2,0,5,1,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
5,JR Philippe,DL Chahar,TM Head,4,0,4,7,167,4,3,0,6,1,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
6,TM Head,Mukesh Kumar,JR Philippe,0,0,0,7,167,3,4,0,1,2,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
7,TM Head,Mukesh Kumar,JR Philippe,4,0,4,11,163,7,5,0,2,2,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
8,TM Head,Mukesh Kumar,JR Philippe,0,1,1,12,162,7,6,0,3,2,wides,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
9,TM Head,Mukesh Kumar,JR Philippe,0,1,1,13,161,7,7,0,4,2,wides,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
10,TM Head,Mukesh Kumar,JR Philippe,0,1,1,14,160,7,8,0,5,2,legbyes,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
11,JR Philippe,Mukesh Kumar,TM Head,0,0,0,14,160,4,4,0,6,2,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
12,JR Philippe,Mukesh Kumar,TM Head,4,0,4,18,156,8,5,0,7,2,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
13,JR Philippe,Mukesh Kumar,TM Head,0,0,0,18,156,8,6,0,8,2,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
14,TM Head,DL Chahar,JR Philippe,4,0,4,22,152,11,9,0,1,3,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
15,TM Head,DL Chahar,JR Philippe,4,0,4,26,148,15,10,0,2,3,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
16,TM Head,DL Chahar,JR Philippe,0,0,0,26,148,15,11,0,3,3,-,,0,,,field,Australia,2,"Shaheed Veer Narayan Singh International Stadium, Raipur",2023,12,India_Australia_2023-12-01,India,Australia,India,154
