,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,MS Wade,DL Chahar,DJM Short,0,0,0,0,161,0,1,0,1,-,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
1,MS Wade,DL Chahar,DJM Short,4,0,4,4,157,4,2,0,2,-,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
2,MS Wade,DL Chahar,DJM Short,0,0,0,4,157,4,3,0,3,-,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
3,MS Wade,DL Chahar,DJM Short,0,1,1,5,156,4,4,0,4,wides,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
4,MS Wade,DL Chahar,DJM Short,4,0,4,9,152,8,5,0,5,-,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
5,MS Wade,DL Chahar,DJM Short,4,0,4,13,148,12,6,0,6,-,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
6,MS Wade,DL Chahar,DJM Short,0,0,0,13,148,12,7,0,7,-,1,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
7,DJM Short,Washington Sundar,MS Wade,1,0,1,14,147,1,1,0,1,-,2,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
8,MS Wade,Washington Sundar,DJM Short,0,0,0,14,147,12,8,0,2,-,2,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
9,MS Wade,Washington Sundar,DJM Short,6,0,6,20,141,18,9,0,3,-,2,0,,,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-06,India,Australia,India,194
