,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,FH Allen,HH Pandya,DP Conway,0,0,0,0,234,0,1,0,1,0,,,0,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
1,FH Allen,HH Pandya,DP Conway,2,0,2,2,232,2,2,0,2,0,,,0,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
2,FH Allen,HH Pandya,DP Conway,1,0,1,3,231,3,3,0,3,0,,,0,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
3,DP Conway,HH Pandya,FH Allen,1,0,1,4,230,1,1,0,4,0,,,0,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
4,FH Allen,HH Pandya,DP Conway,0,0,0,4,230,3,4,1,5,caught,FH Allen,SA Yadav,0,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
5,MS Chapman,HH Pandya,DP Conway,0,0,0,4,230,0,1,1,6,0,,,0,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
6,DP Conway,Arshdeep Singh,MS Chapman,0,0,0,4,230,1,2,2,1,caught,DP Conway,HH Pandya,1,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
7,GD Phillips,Arshdeep Singh,MS Chapman,0,0,0,4,230,0,1,2,2,0,,,1,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
8,GD Phillips,Arshdeep Singh,MS Chapman,0,0,0,4,230,0,2,2,3,0,,,1,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
9,GD Phillips,Arshdeep Singh,MS Chapman,0,0,0,4,230,0,3,2,4,0,,,1,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
10,GD Phillips,Arshdeep Singh,MS Chapman,1,0,1,5,229,1,4,2,5,0,,,1,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
11,MS Chapman,Arshdeep Singh,GD Phillips,0,0,0,5,229,0,2,3,6,caught,MS Chapman,Ishan Kishan,1,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
12,GD Phillips,HH Pandya,DJ Mitchell,1,0,1,6,228,2,5,3,1,0,,,2,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
13,DJ Mitchell,HH Pandya,GD Phillips,1,0,1,7,227,1,1,3,2,0,,,2,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
14,GD Phillips,HH Pandya,DJ Mitchell,0,0,0,7,227,2,6,3,3,0,,,2,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
15,GD Phillips,HH Pandya,DJ Mitchell,0,0,0,7,227,2,7,4,4,caught,GD Phillips,SA Yadav,2,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
16,MG Bracewell,HH Pandya,DJ Mitchell,0,0,0,7,227,0,1,4,5,0,,,2,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
17,MG Bracewell,HH Pandya,DJ Mitchell,6,0,6,13,221,6,2,4,6,0,,,2,,-,bat,India,2,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,New Zealand,India,False,66
