,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JN Malan,Shaheen Shah Afridi,AK Markram,0,0,0,0,,0,1,0,-,1.0,0,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
1,JN Malan,Shaheen Shah Afridi,AK Markram,0,0,0,0,,0,2,0,-,2.0,0,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
2,JN Malan,Shaheen Shah Afridi,AK Markram,0,0,0,0,,0,3,0,-,3.0,0,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
3,JN Malan,Shaheen Shah Afridi,AK Markram,0,0,0,0,,0,4,0,-,4.0,0,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
4,JN Malan,Shaheen Shah Afridi,AK Markram,0,0,0,0,,0,5,0,-,5.0,0,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
5,JN Malan,Shaheen Shah Afridi,AK Markram,4,0,4,4,,4,6,0,-,6.0,0,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
6,AK Markram,Mohammad Nawaz (3),JN Malan,0,0,0,4,,0,1,0,-,1.0,1,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
7,AK Markram,Mohammad Nawaz (3),JN Malan,6,0,6,10,,6,2,0,-,2.0,1,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
8,AK Markram,Mohammad Nawaz (3),JN Malan,4,0,4,14,,10,3,0,-,3.0,1,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
9,AK Markram,Mohammad Nawaz (3),JN Malan,1,0,1,15,,11,4,0,-,4.0,1,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
10,JN Malan,Mohammad Nawaz (3),AK Markram,1,0,1,16,,5,7,0,-,5.0,1,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
11,AK Markram,Mohammad Nawaz (3),JN Malan,0,0,0,16,,11,5,1,-,6.0,1,"{'by': 'South Africa', 'umpire': 'AT Holdstock', 'batter': 'AK Markram', 'decision': 'struck down', 'umpires_call': True}",lbw,AK Markram,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
12,JN Malan,Shaheen Shah Afridi,HE van der Dussen,0,0,0,16,,5,8,1,-,1.0,2,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
13,JN Malan,Shaheen Shah Afridi,HE van der Dussen,1,0,1,17,,6,9,1,-,2.0,2,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
14,HE van der Dussen,Shaheen Shah Afridi,JN Malan,1,0,1,18,,1,1,1,-,3.0,2,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
15,JN Malan,Shaheen Shah Afridi,HE van der Dussen,4,0,4,22,,10,10,1,-,4.0,2,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
16,JN Malan,Shaheen Shah Afridi,HE van der Dussen,0,0,0,22,,10,11,1,-,5.0,2,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
17,JN Malan,Shaheen Shah Afridi,HE van der Dussen,1,0,1,23,,11,12,1,-,6.0,2,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
18,JN Malan,Mohammad Nawaz (3),HE van der Dussen,0,0,0,23,,11,13,1,-,1.0,3,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
19,JN Malan,Mohammad Nawaz (3),HE van der Dussen,6,0,6,29,,17,14,1,-,2.0,3,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
20,JN Malan,Mohammad Nawaz (3),HE van der Dussen,1,0,1,30,,18,15,1,-,3.0,3,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
21,HE van der Dussen,Mohammad Nawaz (3),JN Malan,0,0,0,30,,1,2,1,-,4.0,3,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
22,HE van der Dussen,Mohammad Nawaz (3),JN Malan,0,0,0,30,,1,3,1,-,5.0,3,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
23,HE van der Dussen,Mohammad Nawaz (3),JN Malan,0,0,0,30,,1,4,1,-,6.0,3,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
24,JN Malan,Haris Rauf,HE van der Dussen,0,0,0,30,,18,16,1,-,1.0,4,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
25,JN Malan,Haris Rauf,HE van der Dussen,4,0,4,34,,22,17,1,-,2.0,4,,0,,,field,Pakistan,1,"SuperSport Park, Centurion",2021,04,South Africa_Pakistan_2021-04-16,Pakistan,South Africa,Pakistan,False,144
