,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
10,Liton Das,B Fernando,Soumya Sarkar,,0,0,0,8,166,3,7,0,4,-,1,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
11,Liton Das,B Fernando,Soumya Sarkar,,4,0,4,12,162,7,8,0,5,-,1,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
12,Liton Das,B Fernando,Soumya Sarkar,,0,1,1,13,161,7,9,0,6,legbyes,1,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
13,Liton Das,AD Mathews,Soumya Sarkar,,0,0,0,13,161,7,10,0,1,-,2,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
14,Liton Das,DM de Silva,Soumya Sarkar,,0,0,0,13,161,7,11,1,2,-,2,"{'role': [{'in': 'DM de Silva', 'out': 'AD Mathews', 'reason': 'injury', 'role': 'bowler'}]}",caught,Liton Das,MD Shanaka,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
15,Nazmul Hossain Shanto,DM de Silva,Soumya Sarkar,,0,0,0,13,161,0,1,1,3,-,2,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
16,Nazmul Hossain Shanto,DM de Silva,Soumya Sarkar,,0,0,0,13,161,0,2,1,4,-,2,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
17,Nazmul Hossain Shanto,DM de Silva,Soumya Sarkar,,0,0,0,13,161,0,3,1,5,-,2,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
18,Nazmul Hossain Shanto,DM de Silva,Soumya Sarkar,,0,1,1,14,160,0,4,1,6,wides,2,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
19,Nazmul Hossain Shanto,DM de Silva,Soumya Sarkar,,1,0,1,15,159,1,5,1,7,-,2,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
20,Nazmul Hossain Shanto,N Thushara,Soumya Sarkar,,0,0,0,15,159,1,6,1,1,-,3,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
21,Nazmul Hossain Shanto,N Thushara,Soumya Sarkar,,0,0,0,15,159,1,7,2,2,-,3,,bowled,Nazmul Hossain Shanto,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
22,Towhid Hridoy,N Thushara,Soumya Sarkar,,0,0,0,15,159,0,1,3,3,-,3,,bowled,Towhid Hridoy,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
23,Mahmudullah,N Thushara,Soumya Sarkar,"{'by': 'Bangladesh', 'umpire': 'Tanvir Ahmed', 'batter': 'Mahmudullah', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",0,0,0,15,159,0,1,4,4,-,3,,lbw,Mahmudullah,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
24,Jaker Ali,N Thushara,Soumya Sarkar,,0,0,0,15,159,0,1,4,5,-,3,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
25,Jaker Ali,N Thushara,Soumya Sarkar,,0,0,0,15,159,0,2,4,6,-,3,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
26,Soumya Sarkar,B Fernando,Jaker Ali,,0,0,0,15,159,3,5,4,1,-,4,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
27,Soumya Sarkar,B Fernando,Jaker Ali,,4,0,4,19,155,7,6,4,2,-,4,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
28,Soumya Sarkar,B Fernando,Jaker Ali,,0,0,0,19,155,7,7,4,3,-,4,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
29,Soumya Sarkar,B Fernando,Jaker Ali,,0,0,0,19,155,7,8,4,4,-,4,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
30,Soumya Sarkar,B Fernando,Jaker Ali,,0,0,0,19,155,7,9,4,5,-,4,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
31,Soumya Sarkar,B Fernando,Jaker Ali,,4,0,4,23,151,11,10,4,6,-,4,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
32,Jaker Ali,N Thushara,Soumya Sarkar,,0,0,0,23,151,0,3,4,1,-,5,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
33,Jaker Ali,N Thushara,Soumya Sarkar,,1,0,1,24,150,1,4,4,2,-,5,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
34,Soumya Sarkar,N Thushara,Jaker Ali,,0,0,0,24,150,11,11,5,3,-,5,,bowled,Soumya Sarkar,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
35,Mahedi Hasan,N Thushara,Jaker Ali,,1,0,1,25,149,1,1,5,4,-,5,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
36,Jaker Ali,N Thushara,Mahedi Hasan,,0,0,0,25,149,1,5,5,5,-,5,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
37,Jaker Ali,N Thushara,Mahedi Hasan,,0,0,0,25,149,1,6,5,6,-,5,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
38,Mahedi Hasan,PWH de Silva,Jaker Ali,,1,0,1,26,148,2,2,5,1,-,6,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
39,Jaker Ali,PWH de Silva,Mahedi Hasan,,1,0,1,27,147,2,7,5,2,-,6,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
40,Mahedi Hasan,PWH de Silva,Jaker Ali,,0,0,0,27,147,2,3,5,3,-,6,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
41,Mahedi Hasan,PWH de Silva,Jaker Ali,,0,0,0,27,147,2,4,5,4,-,6,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
42,Mahedi Hasan,PWH de Silva,Jaker Ali,,1,0,1,28,146,3,5,5,5,-,6,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
43,Jaker Ali,PWH de Silva,Mahedi Hasan,,0,0,0,28,146,2,8,5,6,-,6,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
44,Mahedi Hasan,M Theekshana,Jaker Ali,,1,0,1,29,145,4,6,5,1,-,7,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
45,Jaker Ali,M Theekshana,Mahedi Hasan,,1,0,1,30,144,3,9,5,2,-,7,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
46,Mahedi Hasan,M Theekshana,Jaker Ali,,1,0,1,31,143,5,7,5,3,-,7,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
