,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
96,Rishad Hossain,B Fernando,Taskin Ahmed,,0,0,0,107,67,45,26,7,3,-,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
97,Rishad Hossain,B Fernando,Taskin Ahmed,,6,0,6,113,61,51,27,7,4,-,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
98,Rishad Hossain,B Fernando,Taskin Ahmed,,0,1,1,114,60,51,28,7,5,wides,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
99,Rishad Hossain,B Fernando,Taskin Ahmed,,1,0,1,115,59,52,29,7,6,-,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
100,Taskin Ahmed,B Fernando,Rishad Hossain,,0,0,0,115,59,13,7,7,7,-,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
101,Rishad Hossain,M Theekshana,Taskin Ahmed,,0,0,0,115,59,52,30,7,1,-,16,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
102,Rishad Hossain,M Theekshana,Taskin Ahmed,,1,0,1,116,58,53,31,7,2,-,16,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
103,Taskin Ahmed,M Theekshana,Rishad Hossain,"{'by': 'Bangladesh', 'umpire': 'Sharfuddoula', 'batter': 'Taskin Ahmed', 'decision': 'upheld', 'type': 'wicket'}",0,0,0,116,58,13,8,7,3,-,16,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
104,Taskin Ahmed,M Theekshana,Rishad Hossain,,1,0,1,117,57,14,9,7,4,-,16,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
105,Rishad Hossain,M Theekshana,Taskin Ahmed,,0,0,0,117,57,53,32,8,5,-,16,,caught,Rishad Hossain,S Samarawickrama,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
106,Shoriful Islam,M Theekshana,Taskin Ahmed,,4,0,4,121,53,4,1,8,6,-,16,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
107,Taskin Ahmed,N Thushara,Shoriful Islam,,6,0,6,127,47,20,10,8,1,-,17,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
108,Taskin Ahmed,N Thushara,Shoriful Islam,,6,0,6,133,41,26,11,8,2,-,17,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
109,Taskin Ahmed,N Thushara,Shoriful Islam,,0,0,0,133,41,26,12,8,3,-,17,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
110,Taskin Ahmed,N Thushara,Shoriful Islam,,0,0,0,133,41,26,13,8,4,-,17,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
111,Taskin Ahmed,N Thushara,Shoriful Islam,,1,0,1,134,40,27,14,8,5,-,17,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
112,Shoriful Islam,N Thushara,Taskin Ahmed,,0,0,0,134,40,4,2,9,6,-,17,,caught,Shoriful Islam,MD Shanaka,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
113,Taskin Ahmed,B Fernando,Mustafizur Rahman,,2,0,2,136,38,29,15,9,1,-,18,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
114,Taskin Ahmed,B Fernando,Mustafizur Rahman,,1,0,1,137,37,30,16,9,2,-,18,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
115,Mustafizur Rahman,B Fernando,Taskin Ahmed,,1,0,1,138,36,1,1,9,3,-,18,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
116,Taskin Ahmed,B Fernando,Mustafizur Rahman,,1,0,1,139,35,31,17,9,4,-,18,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
117,Mustafizur Rahman,B Fernando,Taskin Ahmed,,0,0,0,139,35,1,2,9,5,-,18,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
118,Mustafizur Rahman,B Fernando,Taskin Ahmed,,6,0,6,145,29,7,3,9,6,-,18,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
119,Taskin Ahmed,MD Shanaka,Mustafizur Rahman,,0,1,1,146,28,31,18,9,1,wides,19,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
120,Taskin Ahmed,MD Shanaka,Mustafizur Rahman,,0,0,0,146,28,31,19,9,2,-,19,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
121,Taskin Ahmed,MD Shanaka,Mustafizur Rahman,,0,0,0,146,28,31,20,9,3,-,19,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
122,Taskin Ahmed,MD Shanaka,Mustafizur Rahman,,0,0,0,146,28,31,21,9,4,-,19,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
123,Taskin Ahmed,MD Shanaka,Mustafizur Rahman,,0,0,0,146,28,31,22,10,5,-,19,,caught,Taskin Ahmed,DM de Silva,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
